,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,a,文山區,興隆路四段2之5號十一樓,1100303,47000000,539169.3684,87.17112424148611,房地(土地+建物)+車位,住宅大樓,106,3,2,3,升降機械
1,a,士林區,溪洲段一小段258地號,1100301,2859500,175055.3332,16.33483509315899,土地,其他,,0,0,0,
2,a,大安區,敦化南路一段205號地下三層,1100302,2800000,232044.1213336676,12.066670699981849,車位,其他,73,0,0,0,坡道平面
3,a,士林區,永新段二小段518地號,1100201,3636000,901042.0712,4.035327668060612,土地,其他,,0,0,0,
4,a,中山區,吉林段一小段126-2地號,1100201,480000,438339.1626,1.0950424715713047,土地,其他,,0,0,0,
5,a,北投區,崇仰段三小段209地號,1100203,78200000,1193397.1058,65.52722444184094,土地,其他,,0,0,0,
6,a,北投區,軟橋段31地號,1100208,72000000,1384869.0418,51.99047550836803,土地,其他,,0,0,0,
7,a,士林區,福華路158號等共用部分,1100204,2550000,132377.3555276382,19.263113315990076,車位,其他,93,0,0,0,坡道平面
8,a,中山區,林森北路259巷9號地下一層之57,1100203,450000,154638.7124,2.9100087100828707,房地(土地+建物),華廈,73,0,0,0,
9,a,中山區,林森北路259巷9號地下一樓之51,1100203,450000,154638.7124,2.9100087100828707,房地(土地+建物),華廈,73,0,0,0,
10,a,南港區,南港段二小段901地號,1100202,1857854,769636.5212,2.4139369024527,土地,其他,,0,0,0,
11,a,松山區,民權東路五段44號地下之1之2,1100203,2500000,268502.2742040286,9.310908100913545,車位,其他,71,0,0,0,坡道平面
12,a,中山區,新生北路二段31之1號七樓之5,1100203,11700018,498104.7208,23.489072701838165,房地(土地+建物),住宅大樓,66,1,1,1,
13,a,文山區,木柵段三小段482地號,1100204,4840000,1600007.2,3.024986387561256,土地,其他,,0,0,0,
14,a,信義區,基隆路二段149之55號地下,1100204,2800000,198376.33947706816,14.114586484360819,車位,其他,79,0,0,0,坡道平面
15,a,南港區,興華路64巷11號地下三層,1100203,1600000,109508.90269151141,14.610684251920864,車位,其他,97,0,0,0,坡道平面
16,a,士林區,富安段一小段269地號,1100202,72680000,230004.3408,315.9940362308153,土地,其他,,0,0,0,
17,a,北投區,光明路246號八樓之7,1100208,5000000,389010.015,12.853139526497793,房地(土地+建物),華廈,64,1,1,1,
18,a,信義區,和平東路三段199號,1100202,3000000,510679.7116374871,5.874523564643959,車位,其他,101,0,0,0,其他
19,a,內湖區,碧山段二小段684地號,1100203,150000,9917.4,15.12493193780628,土地,其他,,0,0,0,
20,a,內湖區,康樂街129之1號,1100205,2100000,192677.76852622814,10.899025954383205,車位,其他,101,0,0,0,坡道平面
21,a,北投區,豐年路二段96號四樓,1100202,8200000,353423.078,23.201654081004865,房地(土地+建物),公寓,66,2,1,1,
22,a,中正區,重慶南路三段161之2號,1100202,1000000,205456.80546923555,4.867203097586061,車位,其他,101,0,0,0,升降機械
23,a,大安區,光復南路390號地下樓,1100203,2100000,111377.82769132039,18.854740153669308,車位,其他,,0,0,0,升降平面
24,a,中正區,羅斯福路二段116號九樓之7,1100202,8900000,1044060.8966,8.524406985246726,房地(土地+建物),住宅大樓,96,1,1,1,
25,a,信義區,莊敬路478號地下,1100202,2500000,311867.92452830187,8.01621392703733,車位,其他,,0,0,0,坡道平面
26,a,萬華區,中華路一段172巷2、2之1號,1100208,208358868,15495901.1362,13.446063327885625,房地(土地+建物),透天厝,,0,0,0,
27,a,大安區,羅斯福路三段261之1號七樓之2,1100204,11000000,899425.535,12.230028581521204,房地(土地+建物),住宅大樓,98,1,1,1,
28,a,信義區,信義路五段150巷2、6號門牌房屋地下三層,1100205,32330000,217250.76532167903,148.814205336076,車位,其他,84,0,0,0,坡道平面
29,a,文山區,木柵段三小段440地號,1100219,5971350,1400006.3,4.26523080646137,土地,其他,,0,0,0,
30,a,中山區,中山北路二段59巷18號二樓之1,1100201,12400000,658717.0138,18.824472027019628,房地(土地+建物),公寓,78,2,1,2,
31,a,大同區,重慶北路三段236巷5弄2號四樓之1,1100205,13620000,574795.975,23.695364255116782,房地(土地+建物)+車位,華廈,108,1,1,1,升降機械
32,a,中山區,松江路132巷17之1號二樓,1100204,11800000,648194.6524,18.204408130041525,房地(土地+建物),公寓,59,2,1,1,
33,a,內湖區,大湖山莊街219巷34弄3之3號,1100206,6000000,510944.44800000003,11.742959579042141,房地(土地+建物),華廈,81,1,1,1,
34,a,內湖區,港墘路221巷41號地下一層,1100205,1300000,120379.27170868347,10.799201403593683,車位,其他,90,0,0,0,坡道平面
35,a,大同區,迪化段一小段406-1地號,1100204,1500000,93560.7516,16.032363724619756,土地,其他,,0,0,0,
36,a,中山區,德惠街45號七樓之12,1100208,4700000,566640.5664,8.294499685859414,房地(土地+建物),華廈,68,0,0,0,
37,a,士林區,芝玉路二段61巷2號等共用部分,1100217,1100000,153110.73684210528,7.1843426704579825,車位,其他,91,0,0,0,升降機械
38,a,士林區,富安段一小段274地號,1100217,42992400,220007.6016,195.41324793933848,土地,其他,,0,0,0,
39,a,士林區,福華路287號三樓,1100207,26000000,783150.6316,33.19923262639938,房地(土地+建物)+車位,華廈,88,2,2,1,塔式車位
40,a,中山區,錦州街30巷2號,1100203,300000,73626.7776,4.074604509107295,建物,透天厝,39,0,0,0,
41,a,內湖區,行愛路78巷28號二樓之2,1100208,52000000,420256.4366,123.73397638045836,房地(土地+建物)+車位,華廈,92,0,0,0,坡道平面
42,a,松山區,復興北路201號九樓之3,1100204,16500000,741613.2546,22.248793286332937,房地(土地+建物),住宅大樓,73,0,0,0,
43,a,內湖區,內湖路二段428之1號,1100204,1100000,264849.2352512746,4.153306310121605,車位,其他,107,0,0,0,升降機械
44,a,中山區,五常街15號等共有部分,1100204,2000000,188257.40318906607,10.62375219311513,車位,其他,108,0,0,0,坡道平面
45,a,信義區,和段一小段76-1地號,1100218,1214900,17861.2374,68.01880366922394,土地,其他,,0,0,0,
46,a,文山區,一壽街62號房屋地下二層,1100205,900000,134018.9189189189,6.715469780385989,車位,其他,81,0,0,0,坡道機械
47,a,士林區,富安段三小段24地號,1100217,17260000,220020.8248,78.44711979281699,土地,其他,,0,0,0,
48,a,中山區,植福路286巷26號三十六樓,1100209,340000000,2292443.3738,148.31336899563595,房地(土地+建物)+車位,住宅大樓,103,0,0,0,坡道平面
49,a,士林區,中洲段905地號,1100205,101406,124159.23640000001,0.8167414921375917,土地,其他,,0,0,0,
50,a,中正區,臨沂街29巷1、3、5、5之1號房屋地下二層,1100219,2850000,368604.4600938968,7.731865206606569,車位,其他,81,0,0,0,升降平面
51,a,萬華區,康定路82號六樓之1,1100218,27000000,595480.3656,45.34154534683116,房地(土地+建物)+車位,住宅大樓,102,2,2,2,坡道機械
52,a,士林區,中洲段390地號,1100204,33895125,225002.6654,150.64321544699354,土地,其他,,0,0,0,
