,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,c,中正區,觀海街199號11樓,1100202,1600000,164569.3356,9.72234586818129,房地(土地+建物),住宅大樓,88,1,1,1,
1,c,暖暖區,碇內街298號5樓,1100202,2500000,83454.921,29.95629221193559,房地(土地+建物),華廈,85,3,2,2,
2,c,信義區,深澳坑路168巷46弄15號4樓 ,1100201,1250000,60439.9414,20.681687821755563,房地(土地+建物),公寓,84,3,2,2,
3,c,安樂區,基金一路110之84號8樓,1100205,2150000,150774.2322,14.259731047066808,房地(土地+建物),住宅大樓,82,1,1,1,
4,c,中正區,新豐街182號3樓,1100207,1650000,174324.7514,9.465093090618915,房地(土地+建物),住宅大樓,85,1,0,1,
5,c,暖暖區,源遠路260巷26弄9之1號,1100201,2750000,128311.3212,21.432247554473783,房地(土地+建物),公寓,67,3,2,1,
6,c,安樂區,基金一路208巷174弄7號3樓,1100206,3400000,121603.853,27.959640390670845,房地(土地+建物),公寓,83,3,2,2,
7,c,中正區,義一路99號四樓之2,1100217,12380000,334854.3994,36.97129266386458,房地(土地+建物),華廈,85,3,2,2,
8,c,安樂區,基金一路186之1號11樓,1100205,6300000,145101.4794,43.417889507748185,房地(土地+建物)+車位,住宅大樓,84,3,1,2,坡道平面
9,c,中正區,新豐街251巷2弄3號地下一層等共有部分,1100201,1000000,96604.32495616599,10.351503418234618,車位,其他,,0,0,0,坡道平面
10,c,中正區,新豐街251巷2弄3號地下一層等共有部分,1100201,1100000,106264.75745178259,10.351503418234618,車位,其他,,0,0,0,坡道平面
11,c,中正區,新豐街251巷2弄3號地下一層等共有部分,1100201,1090000,105298.71420222093,10.351503418234618,車位,其他,,0,0,0,坡道平面
12,c,中正區,新豐街251巷2弄3號地下一層等共有部分,1100201,1080000,104332.67095265927,10.351503418234616,車位,其他,,0,0,0,坡道平面
13,c,中正區,新豐街251巷2弄3號地下一層等共有部分,1100201,2110000,101917.56282875512,20.703006836469235,車位,其他,,0,0,0,坡道平面
14,c,中正區,新豐街251巷2弄3號地下一層等共有部分,1100201,2000000,96604.32495616599,20.703006836469235,車位,其他,,0,0,0,坡道平面
15,c,七堵區,明德二路15之11號10樓之3,1100217,2500000,167230.50460000001,14.94942568031933,房地(土地+建物),住宅大樓,84,1,1,1,
16,c,安樂區,麥金路201號4樓等共有部分,1100205,1200000,294503.3407572383,4.074656664045012,車位,其他,105,0,0,0,坡道平面
17,c,安樂區,基金一路220巷33號,1100218,22500000,186222.3256,120.82332194867617,房地(土地+建物),透天厝,104,4,2,3,
18,c,安樂區,中和路168巷10弄10號2樓,1100208,3350000,94978.93980000001,35.27097698767953,房地(土地+建物),公寓,84,3,2,2,
19,c,中正區,觀海街119號2樓,1100207,1600000,164007.34960000002,9.755660364625513,房地(土地+建物),住宅大樓,88,0,0,0,
20,c,中正區,調和街226巷3號4樓,1100206,2820000,111845.1314,25.21343544150014,房地(土地+建物),華廈,85,2,1,1,
21,c,信義區,東明路143之3號,1100220,2200000,106793.869,20.600433532378155,房地(土地+建物),公寓,59,3,2,1,
22,c,信義區,崇法街89巷9號四樓,1100217,6150000,154113.0902,39.9057600624246,房地(土地+建物)+車位,華廈,109,2,1,1,坡道平面
23,c,中正區,觀海街15號3樓,1100208,3600000,110426.94320000001,32.6007394180952,房地(土地+建物)+車位,住宅大樓,88,3,1,2,坡道平面
24,c,仁愛區,南新街298號,1100218,1600000,67362.2866,23.75216283112337,建物,公寓,69,3,1,1,
25,c,暖暖區,碇內街247號5樓,1100221,3980000,101567.3992,39.18580205212147,房地(土地+建物),華廈,84,4,2,2,
26,c,安樂區,樂利三街8巷18號15樓,1100203,8180000,154116.396,53.07676673155528,房地(土地+建物)+車位,住宅大樓,84,3,2,2,坡道平面
