,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,g,員山鄉,隘界一段377-3地號,1100202,1000000,2565.3008,389.8178334486155,土地,其他,,0,0,0,
1,g,壯圍鄉,壯濱三段1325地號,1100204,2500000,9107.479,274.49967219249146,土地,其他,86,0,0,0,
2,g,礁溪鄉,大忠路30巷6號六樓之三,1100207,1760000,134711.35,13.064971882473154,房地(土地+建物),華廈,82,1,1,1,
3,g,礁溪鄉,奇立丹路195巷2弄16之3號四樓,1100205,1610000,110033.553,14.631900507656969,房地(土地+建物),華廈,84,1,1,1,
4,g,壯圍鄉,復興段899-1地號,1100201,600000,10171.946600000001,58.98575991344665,土地,其他,,0,0,0,
5,g,宜蘭市,慈安段83地號,1100218,326000,19695.9564,16.551620717438226,土地,其他,,0,0,0,
6,g,礁溪鄉,大忠路96號三樓之十二,1100218,4250000,207098.45260000002,20.52164053687381,房地(土地+建物),華廈,88,1,1,1,
7,g,礁溪鄉,化龍街1號八樓之十一,1100201,2300000,120823.6842,19.036002876661165,房地(土地+建物),華廈,82,1,1,1,
8,g,宜蘭市,民權新路47巷8弄4號,1100203,5600000,196417.4128,28.51071053309384,房地(土地+建物),公寓,72,3,2,2,
9,g,壯圍鄉,壯濱路六段235巷16號四樓,1100204,3700000,90645.03600000001,40.81856175775582,房地(土地+建物),華廈,82,4,2,2,
10,g,礁溪鄉,健康路66號二樓之十五,1100205,5500000,535863.5684,10.263806543934477,房地(土地+建物),住宅大樓,104,1,1,1,
11,g,蘇澳鎮,天主巷2號,1100219,2200000,37451.4082,58.742784470251244,房地(土地+建物),透天厝,54,3,2,2,
12,g,羅東鎮,中山路三段366號,1100217,4000000,201052.1444,19.895336167327148,房地(土地+建物),透天厝,87,3,1,1,
13,g,蘇澳鎮,漁港路5號,1100218,4000000,238513.47,16.770541303180906,建物,透天厝,58,0,0,0,
14,g,宜蘭市,大福路一段145巷23號,1100201,4400000,134681.5978,32.669645087920095,房地(土地+建物),透天厝,69,3,1,2,
15,g,頭城鎮,朝陽路1號十一樓之六,1100203,8360000,313373.311,26.6774473337329,房地(土地+建物),住宅大樓,106,0,0,0,
16,g,壯圍鄉,古結路58之17號,1100208,8800000,173223.92,50.801298111715745,房地(土地+建物),透天厝,109,4,2,4,
17,g,羅東鎮,維揚段794-1地號,1100220,650000,48836.5834,13.309694387834673,土地,其他,,0,0,0,
18,g,蘇澳鎮,大同路134號,1100204,5700000,110879.83780000001,51.407001607284094,房地(土地+建物),透天厝,72,0,0,2,
19,g,羅東鎮,豐年路98號,1100219,17980000,270963.2028,66.35587346991603,房地(土地+建物),透天厝,102,5,2,4,
20,g,礁溪鄉,信義路34巷6號五樓之十八,1100208,3700000,222348.108,16.64057334816629,房地(土地+建物),住宅大樓,97,1,1,1,
21,g,礁溪鄉,德陽路231巷14弄31號八樓之八,1100208,6050000,244827.548,24.711271461984335,房地(土地+建物),住宅大樓,103,1,1,1,
22,g,宜蘭市,嵐峰路二段12號七樓,1100202,5550000,127623.7148,43.48721559075007,房地(土地+建物)+車位,華廈,83,3,2,2,坡道平面
23,g,礁溪鄉,化龍街6號三樓之三,1100208,3000000,172896.6458,17.35140659391554,房地(土地+建物),華廈,86,1,1,1,
24,g,三星鄉,牛頭路20之4號,1100210,2250000,40443.1572,55.633638809978954,房地(土地+建物),透天厝,72,0,0,0,
25,g,三星鄉,尾塹一路111號,1100202,58000000,363399.9824,159.6037501624271,房地(土地+建物),透天厝,88,3,3,4,
26,g,羅東鎮,宜蘭縣羅東鎮純精路二段1號十二樓之10,1100202,2330000,87828.4944,26.52897577167166,房地(土地+建物),住宅大樓,85,1,1,1,
27,g,冬山鄉,和平路60號,1100201,12000000,229171.27920000002,52.36258244004251,房地(土地+建物),透天厝,107,3,2,4,
28,g,員山鄉,隘界二段721-8地號,1100226,1400000,1851.248,756.246596890314,土地,其他,,0,0,0,
29,g,五結鄉,中興路三段27號,1100205,13980000,220681.9848,63.34907678426862,房地(土地+建物),透天厝,108,2,3,4,
30,g,三星鄉,大洲三段443地號,1100206,2513000,8297.558,302.8601909140014,土地,其他,,0,0,0,
31,g,三星鄉,行健段31地號,1100203,2080000,14234.774800000001,146.12103311954044,土地,其他,,0,0,0,
