,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,i,嘉義市,北港路248-12號6樓2,1100202,4500000,130641.9102,34.445301611947805,房地(土地+建物),華廈,83,3,2,2,
1,i,嘉義市,埤子頭段339-25地號,1100202,333078,27996.820200000002,11.89699393076075,土地,其他,,0,0,0,
2,i,嘉義市,新民路707巷11號6樓12,1100202,2500000,110003.8008,22.72648746514948,房地(土地+建物),華廈,86,1,1,1,
3,i,嘉義市,光正街86巷20號,1100204,3350000,151828.7824,22.06432763963205,房地(土地+建物),透天厝,65,2,2,2,
4,i,嘉義市,湖內段1098-24地號,1100202,65578,108393.8762,0.6049972775122512,土地,其他,,0,0,0,
5,i,嘉義市,中興路49號6樓2,1100218,1550000,137742.7686,11.25285933885316,房地(土地+建物),華廈,77,1,1,1,
6,i,嘉義市,芳安路337巷24號四樓1,1100204,3880000,93808.6866,41.360775218443365,房地(土地+建物),公寓,69,4,2,2,
7,i,嘉義市,荖藤里1鄰荖藤宅24號,1100202,17000000,328933.7116,51.682145673997866,房地(土地+建物),透天厝,64,0,0,0,
8,i,嘉義市,盧東段768地號,1100209,3310000,20003.395800000002,165.47190452533061,土地,其他,,0,0,0,
9,i,嘉義市,台斗坑段463-42地號,1100205,960000,81372.267,11.79763124947717,土地,其他,,0,0,0,
10,i,嘉義市,北社尾段保安小段560-10地號,1100202,10254000,299978.2094,34.18248285603641,土地,其他,,0,0,0,
11,i,嘉義市,興業東路302號九樓3,1100201,5460000,161230.4776,33.86456507029537,房地(土地+建物),華廈,75,3,2,1,
12,i,嘉義市,林森東路684巷2弄1號,1100202,6500000,277045.8748,23.461818389074963,房地(土地+建物),透天厝,64,3,2,3,
13,i,嘉義市,興美三街165號,1100202,9750000,184086.7788,52.9641512745075,房地(土地+建物),透天厝,109,4,1,3,
14,i,嘉義市,興美三街167號,1100202,9600000,181253.7082,52.96443364020511,房地(土地+建物),透天厝,109,4,1,3,
15,i,嘉義市,興美三街169號,1100202,9750000,184086.7788,52.9641512745075,房地(土地+建物),透天厝,109,3,1,3,
16,i,嘉義市,興美三街171號,1100202,9600000,181253.7082,52.96443364020511,房地(土地+建物),透天厝,109,5,1,5,
17,i,嘉義市,興美三街161號,1100202,9700000,183141.32,52.964563103509356,房地(土地+建物),透天厝,109,4,1,3,
18,i,嘉義市,興美三街163號,1100202,9700000,183141.32,52.964563103509356,房地(土地+建物),透天厝,109,4,1,3,
19,i,嘉義市,興美三街173號,1100202,9750000,184086.7788,52.9641512745075,房地(土地+建物),透天厝,109,4,1,3,
20,i,嘉義市,興美三街175號,1100202,9680000,182764.4588,52.96434582279955,房地(土地+建物),透天厝,109,3,1,2,
21,i,嘉義市,興美三街177號,1100202,9580000,174172.6846,55.00288418933861,房地(土地+建物),透天厝,109,3,1,3,
22,i,嘉義市,興美三街159號,1100202,9680000,178780.9698,54.14446521253853,房地(土地+建物),透天厝,109,5,1,3,
23,i,嘉義市,志昇街25號十四樓,1100210,8100000,145812.2264,55.550897205146846,房地(土地+建物)+車位,住宅大樓,93,3,2,2,坡道平面
24,i,嘉義市,姜文街236號,1100203,8000000,118430.285,67.55028918489894,房地(土地+建物),透天厝,88,5,2,3,
25,i,嘉義市,光彩街505號6樓3,1100203,900000,67881.2972,13.258438437738047,房地(土地+建物),華廈,82,0,0,0,
26,i,嘉義市,竹子腳20之73號8樓2,1100205,3720000,76985.4704,48.32080625956661,房地(土地+建物)+車位,華廈,81,3,2,2,坡道平面
27,i,嘉義市,八德路354號2樓1,1100217,3500000,94367.3668,37.08909253998597,房地(土地+建物),華廈,82,1,0,1,
28,i,嘉義市,建成街22巷8號,1100201,2880000,158810.632,18.134805987045,房地(土地+建物),透天厝,65,5,2,4,
29,i,嘉義市,北社尾路335巷70號,1100213,8150000,156413.927,52.1053345844325,房地(土地+建物),透天厝,81,4,3,4,
30,i,嘉義市,大統路152號,1100201,8100000,158367.6548,51.146807788682366,房地(土地+建物),住宅大樓,83,3,2,3,
31,i,嘉義市,大雅路一段368巷51號,1100218,7300000,152291.5944,47.934359271505535,房地(土地+建物),透天厝,87,4,2,3,
32,i,嘉義市,武昌街27巷8號3樓3,1100216,3230000,128367.51980000001,25.16212827849619,房地(土地+建物),華廈,81,2,2,1,
33,i,嘉義市,康樂街121之1號6樓6,1100210,950000,116704.6574,8.14020640790639,房地(土地+建物),華廈,80,1,1,1,
34,i,嘉義市,後庄段999-9地號,1100220,151200,55537.44,2.7224877488051304,土地,其他,,0,0,0,
35,i,嘉義市,光彩街505號6樓16,1100224,1000000,89636.767,11.156136409962219,房地(土地+建物),華廈,82,1,1,1,
36,i,嘉義市,民生南路481-2號,1100203,18620000,279320.2652,66.6618298771399,房地(土地+建物),透天厝,95,4,2,4,
37,i,嘉義市,吳鳳南路365巷76弄23號4樓3,1100209,5500000,116162.5062,47.347463307398925,房地(土地+建物)+車位,住宅大樓,82,3,2,2,坡道平面
38,i,嘉義市,建國路86巷1號,1100218,3910000,254642.4682,15.354862162775722,房地(土地+建物),透天厝,79,2,2,1,
39,i,嘉義市,雙園街185巷8號,1100202,13140000,205518.2802,63.93591843612556,房地(土地+建物),透天厝,109,5,2,5,
40,i,嘉義市,湖子內段湖美小段38地號,1100213,8050000,149984.146,53.67233947513359,土地,其他,,0,0,0,
41,i,嘉義市,保建街36之1號9樓6,1100218,4000000,118106.3166,33.86779060722989,房地(土地+建物),住宅大樓,82,3,2,2,
42,i,嘉義市,溪東段171地號,1100225,4120000,39834.89,103.42692047097407,土地,其他,,0,0,0,
43,i,嘉義市,小雅路201號6樓17,1100104,1100000,61279.6146,17.950504538584354,房地(土地+建物),住宅大樓,82,0,0,0,
