,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,j,竹北市,麻園段357地號,1100301,5475000,49996.919200000004,109.5067473677458,土地,其他,,0,0,0,
1,j,竹北市,華城段822地號,1100201,18000000,17755.4518,1013.7731330497601,土地,其他,,0,0,0,
2,j,新埔鎮,仰德段1123-3地號,1100202,259740,77917.706,3.333517031417737,土地,其他,,0,0,0,
3,j,湖口鄉,中義段271-2地號,1100202,6386136,178499.9768,35.77667691887341,土地,其他,,0,0,0,
4,j,竹東鎮,志學段558地號,1100206,1150000,31147.247600000002,36.92140040007901,土地,其他,,0,0,0,
5,j,竹東鎮,上坪81號,1100201,2950000,67686.255,43.583442458147516,房地(土地+建物),透天厝,,3,2,2,
6,j,竹北市,光明九路68號三樓之八,1100201,3100000,340464.342,9.10521196372453,房地(土地+建物),華廈,95,1,1,1,
7,j,橫山鄉,油羅段585-11地號,1100201,1020000,2261.1672,451.0944613029943,土地,其他,,0,0,0,
8,j,新埔鎮,燒炭窩段837地號,1100202,1520000,18495.951,82.1801485092602,土地,其他,,0,0,0,
9,j,湖口鄉,德和路76巷22號,1100205,4900000,110592.2332,44.3069088869796,房地(土地+建物)+車位,華廈,93,0,0,0,一樓平面
10,j,新豐鄉,中崙段1135-19地號,1100202,600000,31990.2266,18.755728351108335,土地,其他,,0,0,0,
11,j,竹東鎮,民德路66號十樓之6,1100205,2520000,153220.5242,16.44688277342416,房地(土地+建物),住宅大樓,85,3,2,2,
12,j,新豐鄉,崁頭段1422地號,1100218,5000000,8264.5,604.9972775122512,土地,其他,,0,0,0,
13,j,尖石鄉,秀巒段335地號,1100218,300000,416.5308,720.2348541812514,土地,其他,,0,0,0,
14,j,新埔鎮,新竹縣新埔鎮中正路170巷12號五樓,1100206,5250000,126469.9906,41.511824070618694,房地(土地+建物),華廈,84,2,1,2,
15,j,竹北市,興隆路五段251號,1100205,840000,79818.10865191148,10.523927642325608,車位,其他,107,0,0,0,坡道平面
16,j,竹北市,興隆路五段251號,1100204,770000,73166.59959758552,10.523927642325608,車位,其他,107,0,0,0,坡道平面
17,j,竹北市,貓兒錠段後面小段368地號,1100208,180000,21861.255400000002,8.23374489280245,土地,其他,,0,0,0,
18,j,關西鎮,中正路70之1號六樓,1100203,3100000,69706.0988,44.472435746181795,房地(土地+建物)+車位,華廈,87,3,2,2,升降機械
19,j,竹東鎮,竹東段竹東小段42-66地號,1100206,2150000,187038.85820000002,11.494937579767582,土地,其他,,0,0,0,
20,j,橫山鄉,沙坑段1214地號,1100203,5650000,7176.8918,787.2488756205018,土地,其他,,0,0,0,
21,j,新豐鄉,埔和段43地號,1100216,4200000,88479.73700000001,47.46849552683457,土地,其他,,0,0,0,
22,j,湖口鄉,明德街200巷17號三樓,1100203,5600000,158294.9272,35.377002277050856,房地(土地+建物)+車位,華廈,105,2,1,1,坡道平面
23,j,峨眉鄉,中盛段445地號,1100206,133000,2988.4432,44.50477760460697,土地,其他,,0,0,0,
24,j,峨眉鄉,中盛段435地號,1100206,5700000,4971.9232,1146.4376601794654,土地,其他,,0,0,0,
25,j,湖口鄉,達生路1號十樓之2,1100201,3800000,118486.4836,32.07116866450748,房地(土地+建物)+車位,華廈,85,3,2,2,坡道機械
26,j,湖口鄉,德和路76巷22號七樓之5,1100216,1020000,112136.0418,9.096094205101503,房地(土地+建物),華廈,93,0,0,0,
27,j,竹東鎮,柯子湖段596-5地號,1100204,4950000,52446.517,94.38186333708299,土地,其他,,0,0,0,
28,j,關西鎮,中正路70號6樓,1100203,2560000,70506.1024,36.30891387920487,房地(土地+建物)+車位,華廈,87,2,2,2,升降機械
29,j,新埔鎮,廣興段530地號,1100208,614000,5652.918000000001,108.61647029021117,土地,其他,,0,0,0,
30,j,竹北市,文興路263號七樓,1100201,18500000,267647.4854,69.12076895604564,房地(土地+建物)+車位,住宅大樓,103,0,0,0,坡道平面
31,j,竹北市,中華路348號十二樓之五,1100209,1550000,150086.6258,10.32736922252802,房地(土地+建物),住宅大樓,85,1,0,1,
32,j,湖口鄉,貴州街100巷3號十四樓之5,1100206,9900000,165607.3568,59.779952964021945,房地(土地+建物)+車位,住宅大樓,109,4,2,2,坡道平面
33,j,湖口鄉,貴州街100巷5號十樓之7,1100207,8250000,167319.7612,49.30678803765828,房地(土地+建物)+車位,住宅大樓,109,3,2,2,坡道平面
34,j,湖口鄉,貴州街100巷3號四樓之7,1100207,7600000,149891.5836,50.703313805005386,房地(土地+建物)+車位,住宅大樓,109,3,2,2,坡道平面
35,j,竹東鎮,明星段73地號,1100221,2570000,70000.315,36.71412050074346,土地,其他,,0,0,0,
36,j,竹東鎮,重光段42-8地號,1100218,11250000,74998.68460000001,150.00263084614153,土地,其他,,0,0,0,
37,j,竹北市,莊敬三路268號八樓,1100204,14200000,257330.0836,55.18204401655897,房地(土地+建物)+車位,住宅大樓,104,3,2,2,坡道平面
38,j,竹北市,勝利八街一段227號七樓之一,1100202,14180000,293379.8326,48.33324729356328,房地(土地+建物)+車位,住宅大樓,105,3,2,2,坡道平面
39,j,竹北市,東海窟段東海窟小段3-3地號,1100201,7500000,74998.68460000001,100.00175389742768,土地,其他,,0,0,0,
40,j,寶山鄉,明湖段1717地號,1100224,18000000,200000.9,89.9995950018225,土地,其他,,0,0,0,
41,j,湖口鄉,信昌六街236巷2號,1100207,12800000,165607.3568,77.29125231711927,房地(土地+建物),透天厝,104,4,2,4,
42,j,芎林鄉,新鳳段78地號,1100206,15665000,31798.4902,492.6334521379257,土地,其他,,0,0,0,
