,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,k,頭份市,尖山下段1082-3地號,1100302,396124,4000.018,99.03055436250537,土地,其他,,0,0,0,
1,k,三義鄉,雙連潭段627-13地號,1100301,2400000,1507.4448,1592.0980987164505,土地,其他,,0,0,0,
2,k,銅鑼鄉,老雞隆段493地號,1100302,1900000,3953.7368,480.5580381577246,土地,其他,,0,0,0,
3,k,獅潭鄉,八角林段702-77地號,1100201,380000,628.102,604.9972775122512,土地,其他,,0,0,0,
4,k,西湖鄉,新五湖段1521地號,1100202,581940,3966.96,146.6967148647831,土地,其他,,0,0,0,
5,k,泰安鄉,梅園段777地號,1100201,50000,360.3322,138.76084346611265,土地,其他,,0,0,0,
6,k,西湖鄉,二湖段1652地號,1100202,1040000,3920.6788,265.2601891284744,土地,其他,,0,0,0,
7,k,竹南鎮,正南里27鄰南大路1號四樓之二,1100201,10660000,212992.69400000002,50.04866504951573,房地(土地+建物)+車位,華廈,109,4,2,3,一樓平面
8,k,頭屋鄉,8鄰象山路130號,1100201,1142000,12300.881800000001,92.83887273837554,房地(土地+建物),透天厝,68,4,1,3,
9,k,三灣鄉,大坪林段511-13地號,1100202,190000,1947.1162,97.5802060503631,土地,其他,,0,0,0,
10,k,三灣鄉,大坪林段511-14地號,1100202,1280000,1213.2286,1055.0361242720458,土地,其他,,0,0,0,
11,k,造橋鄉,西坑段1079地號,1100205,3200000,7176.8918,445.87546937798334,土地,其他,,0,0,0,
12,k,卓蘭鎮,上庄段726-5地號,1100205,2895000,99980.6152,28.955612987666434,土地,其他,107,0,0,0,
13,k,卓蘭鎮,上新里4鄰民有街8號,1100205,4905000,84615.2568,57.96826938188764,房地(土地+建物),透天厝,107,4,1,3,
14,k,頭份市,山下里6鄰山下街322號,1100207,7100000,147868.434,48.01565694541676,房地(土地+建物),透天厝,89,8,2,4,
15,k,苗栗市,南勢坑段下南勢坑小段635-27地號,1100204,2700000,15550.4832,173.6280452044088,土地,其他,,0,0,0,
16,k,苗栗市,府東路95巷8之1號,1100206,3800000,152304.8176,24.949965863719335,房地(土地+建物),透天厝,67,3,2,1,
17,k,竹南鎮,頂埔里12鄰中華路246巷7號,1100204,7880000,122235.2608,64.46585010272257,房地(土地+建物),透天厝,81,5,3,4,
18,k,苗栗市,福星段田寮小段183地號,1100203,7000000,14535.6026,481.5761817814144,土地,其他,,0,0,0,
19,k,苑裡鎮,新復南段358地號,1100217,3784000,10247.98,369.243499694574,土地,其他,,0,0,0,
20,k,頭份市,興隆里5鄰花園東路100巷125號七樓,1100219,4000000,126559.2472,31.605750575292614,房地(土地+建物)+車位,華廈,109,2,2,1,坡道平面
21,k,竹南鎮,佳興里23鄰環市路三段582號八樓之一,1100222,3850000,133117.95440000002,28.92171846655119,房地(土地+建物),住宅大樓,101,2,2,1,
22,k,竹南鎮,開元里10鄰迎薰南路145號三樓,1100203,4500000,167035.4624,26.940387001317394,房地(土地+建物)+車位,華廈,108,2,2,1,一樓平面
23,k,竹南鎮,成功段142-2地號,1100204,12600000,17388.508,724.6165110888179,土地,其他,,0,0,0,
24,k,苗栗市,維新段316-1地號,1100208,1566600,104985.59640000001,14.922046963768068,土地,其他,,0,0,0,
25,k,苗栗市,綠苗里3鄰僑育街7號四樓之三,1100209,4880000,149693.2356,32.600003470029876,房地(土地+建物)+車位,華廈,106,2,1,1,升降機械
26,k,苑裡鎮,貓盂段貓盂小段682地號,1100205,4000000,19044.7138,210.03203524119115,土地,其他,,0,0,0,
27,k,頭份市,園段1068地號,1100219,470000,22958.781,20.471470153402308,土地,其他,,0,0,0,
28,k,卓蘭鎮,大坪林段925地號,1100222,1700000,991.74,1714.1589529513783,土地,其他,,0,0,0,
29,k,通霄鎮,新埔里6鄰新埔42號,1100217,4200000,57821.747800000005,72.637029488064,房地(土地+建物),透天厝,74,6,2,3,
30,k,造橋鄉,造橋村5鄰平仁路97號,1100223,2800000,129385.7062,21.64072123756743,房地(土地+建物),透天厝,67,4,3,2,
31,k,竹南鎮,崎頂里16鄰和仁街12巷26號,1100219,8000000,171528.0446,46.639603562530205,房地(土地+建物),透天厝,109,4,2,3,
32,k,竹南鎮,大埔里2鄰科專二路225巷1弄2號,1100201,15000000,143432.0504,104.57913665856651,房地(土地+建物)+車位,透天厝,106,5,2,4,坡道平面
33,k,銅鑼鄉,東田洋段148地號,1100227,3346283,98390.5254,34.01021578445601,土地,其他,,0,0,0,
34,k,頭份市,東庄里6鄰昌隆一街362號十樓,1100222,6300000,141121.2962,44.642447097931345,房地(土地+建物)+車位,住宅大樓,106,2,2,2,坡道平面
35,k,三灣鄉,灣銅段371-4地號,1100223,908000,49993.6134,18.162319909446673,土地,其他,,0,0,0,
36,k,頭份市,仁愛里13鄰銀河北路15號八樓之十五,1100219,1100000,69134.1954,15.911084140569892,房地(土地+建物)+車位,華廈,86,1,1,1,升降機械
37,k,苗栗市,勝利段1583地號,1100219,2200000,81716.0702,26.922488986750125,土地,其他,,0,0,0,
38,k,頭屋鄉,明德段883-1地號,1100224,200000,49563.8594,4.035198275943782,土地,其他,,0,0,0,
39,k,竹南鎮,正南里27鄰南大路1號三樓之三,1100206,10610000,211994.3424,50.04850544539815,房地(土地+建物)+車位,華廈,109,4,2,3,一樓平面
40,k,三義鄉,雙潭段49地號,1100224,5500000,7193.4208,764.5875520030748,土地,其他,,0,0,0,
41,k,銅鑼鄉,西田洋段72-1地號,1100218,135000,95359.10680000001,1.41570117978496,土地,其他,,0,0,0,
42,k,銅鑼鄉,新雞隆段2609-2地號,1100223,3600000,3233.0724,1113.4919218016894,土地,其他,,0,0,0,
