,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,m,草屯鎮,山茶段433地號,1101231,2600000,2922.3272,889.701878694487,土地,其他,,0,0,0,
1,m,竹山鎮,民生巷57之4號,1100202,4200000,75626.7866,55.53587807735837,房地(土地+建物),透天厝,83,4,2,3,
2,m,南投市,東施厝坪段201-6地號,1100203,210300,10426.4932,20.169772901209008,土地,其他,,0,0,0,
3,m,南投市,東施厝坪段201-6地號,1100203,210300,10426.4932,20.169772901209008,土地,其他,,0,0,0,
4,m,南投市,東施厝坪段201-6地號,1100203,70200,10443.0222,6.722191972358347,土地,其他,,0,0,0,
5,m,南投市,東施厝坪段201-6地號,1100203,70200,10443.0222,6.722191972358347,土地,其他,,0,0,0,
6,m,南投市,彰南路三段168之6號,1100201,11000000,220053.8828,49.98775690769134,房地(土地+建物),透天厝,109,4,2,3,
7,m,南投市,福順段489地號,1100202,100000,55187.025200000004,1.8120201195407066,土地,其他,,0,0,0,
8,m,中寮鄉,中寮段711-7地號,1100201,3400000,1864.4712,1823.5733542035941,土地,其他,,0,0,0,
9,m,草屯鎮,炎峰街2之5號,1100201,11750000,207019.1134,56.758044255057655,房地(土地+建物),透天厝,71,5,2,3,
10,m,名間鄉,北大庄段1038地號,1100208,9300000,8469.4596,1098.0629744074818,土地,其他,,0,0,0,
11,m,草屯鎮,中興段1926-4地號,1100204,1250000,375657.8888,3.327495674303539,土地,其他,,0,0,0,
12,m,草屯鎮,中興段1926-1地號,1100204,20550000,314510.5062,65.33962966226659,土地,其他,,0,0,0,
13,m,埔里鎮,過坑路18號,1100217,1800000,68436.6716,26.301688231138346,房地(土地+建物),透天厝,,2,1,1,
14,m,埔里鎮,西安路一段537巷407號,1100203,6600000,141035.3454,46.7967797808506,房地(土地+建物),透天厝,93,4,1,3,
15,m,竹山鎮,瑞山段1086地號,1100218,840000,396.696,2117.490471292879,土地,其他,,0,0,0,
16,m,鹿谷鄉,頂城段639地號,1100201,7300000,26469.5406,275.78869275880066,土地,其他,,0,0,0,
17,m,竹山鎮,菜園路25之1號,1100204,3060000,109871.56880000001,27.85069907912337,房地(土地+建物),透天厝,50,2,5,1,
18,m,南投市,三塊厝段57-1地號,1100201,4400000,149954.3938,29.342254591542353,土地,其他,,0,0,0,
19,m,草屯鎮,新興段839-3地號,1100202,4768295,87349.1534,54.588909158219735,土地,其他,,0,0,0,
20,m,草屯鎮,新興段839地號,1100202,4651241,87349.1534,53.24883892921623,土地,其他,,0,0,0,
21,m,埔里鎮,漢陽三街37巷1號六樓之1,1100205,3700000,111762.48640000001,33.10592059269003,房地(土地+建物),華廈,84,3,2,2,
22,m,集集鎮,文心街34號,1100201,6000000,174602.4386,34.36378121697093,房地(土地+建物),透天厝,80,4,2,2,
23,m,中寮鄉,龍眼林段130-11地號,1100209,500000,1900.835,263.042294570544,土地,其他,,0,0,0,
24,m,埔里鎮,樹人一街243巷11號四樓之1,1100204,3800000,123422.043,30.788665522251968,房地(土地+建物),住宅大樓,85,2,2,2,
25,m,名間鄉,小崎段372地號,1100204,1954310,46000.207,42.484808818360314,土地,其他,,0,0,0,
26,m,南投市,半山段252-32地號,1100213,3860000,155613.9234,24.804978344244997,土地,其他,,0,0,0,
27,m,鹿谷鄉,頂堀段589地號,1100208,1150000,52241.5574,22.013126277893086,土地,其他,,0,0,0,
28,m,水里鄉,下城段43地號,1100202,3600000,522.3164,6892.374047607925,土地,其他,,0,0,0,
29,m,竹山鎮,新大坑段1027地號,1100217,80000,3054.5592,26.19035833386369,土地,其他,,0,0,0,
30,m,竹山鎮,圓山段55地號,1100206,500000,307.43940000000003,1626.3367675060515,土地,其他,,0,0,0,
31,m,鹿谷鄉,小半天段523-2地號,1100225,120000,396.696,302.49863875612556,土地,其他,,0,0,0,
