,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,n,永靖鄉,竹子段749地號,1101017,1000000,4403.3256,227.10108014724145,土地,其他,,0,0,0,
1,n,竹塘鄉,文化街31號,1100301,6000000,177541.2948,33.79495461469396,房地(土地+建物),透天厝,58,3,2,2,
2,n,福興鄉,福寶段581地號,1100226,5500000,17391.8138,316.2407362019941,土地,其他,,0,0,0,
3,n,田中鎮,大崙段553地號,1100201,145000,6062.8372,23.91619553960644,土地,其他,,0,0,0,
4,n,鹿港鎮,鹿昇段551地號,1100201,10200000,25976.9764,392.655397723655,土地,其他,,0,0,0,
5,n,鹿港鎮,郭厝段515地號,1100201,135000,55438.266,2.4351410991101345,土地,其他,,0,0,0,
6,n,鹿港鎮,郭厝段516地號,1100201,78000,55934.136,1.394497270861572,土地,其他,,0,0,0,
7,n,福興鄉,福安段177地號,1100202,5287520,9256.24,571.2384294270676,土地,其他,,0,0,0,
8,n,和美鎮,和中段941地號,1100202,400000,281945.0704,1.4187160620773172,土地,其他,,0,0,0,
9,n,埤頭鄉,光華段326-14地號,1100205,106240,31927.416400000002,3.3275476684045127,土地,其他,,0,0,0,
10,n,福興鄉,文昌段1829-1地號,1100204,1350000,8155.4086,165.53431792491673,土地,其他,,0,0,0,
11,n,鹿港鎮,崙尾巷113之15號,1100202,3000000,102390.5434,29.29958080484218,房地(土地+建物),透天厝,69,3,2,2,
12,n,大城鄉,楓港段763-1地號,1100205,17550,8925.66,1.9662411519148164,土地,其他,,0,0,0,
13,n,員林市,民生路39之1號,1100203,3500000,152523.0004,22.947358698826122,房地(土地+建物),透天厝,78,1,2,2,
14,n,員林市,溝皂段585地號,1100202,1943287,30674.518200000002,63.35183448781927,土地,其他,,0,0,0,
15,n,員林市,水源段112地號,1100201,1368420,136833.6736,10.000608505185962,土地,其他,,0,0,0,
16,n,和美鎮,犁盛段68地號,1100204,3200000,11857.9046,269.86218121538946,土地,其他,,0,0,0,
17,n,和美鎮,嘉寶里厚北路296巷2號,1100201,1000000,38261.3292,26.13604965924707,建物,透天厝,69,5,2,3,
18,n,福興鄉,中興段874地號,1100208,11495000,20000.09,574.7474136366386,土地,其他,,0,0,0,
19,n,溪湖鎮,庭忠段514地號,1100203,661913,52995.279800000004,12.490036895701039,土地,其他,,0,0,0,
20,n,芳苑鄉,南新巷8之2號,1100201,1500000,58968.8604,25.437154284907972,房地(土地+建物),透天厝,75,4,2,2,
21,n,溪湖鎮,大竹段654地號,1100203,68888000,242007.7006,284.6520992067969,土地,其他,,0,0,0,
22,n,社頭鄉,山腳段22地號,1100203,1810000,9547.1504,189.58536570241944,土地,其他,,0,0,0,
23,n,田尾鄉,芳圃段854-36地號,1100201,5000000,98182.26000000001,50.9256967602905,土地,其他,,0,0,0,
24,n,花壇鄉,新灣子口段1097地號,1100201,684000,40020.014800000004,17.09144795218816,土地,其他,,0,0,0,
25,n,鹿港鎮,鹿昇段62-1地號,1100217,181592,16198.42,11.21047608346987,土地,其他,,0,0,0,
26,n,社頭鄉,新埤清段672-2地號,1100203,3928284,8925.66,440.11131949906223,土地,其他,,0,0,0,
27,n,和美鎮,大雅段437地號,1100203,149400,35001.8104,4.26835064508549,土地,其他,,0,0,0,
28,n,花壇鄉,溪南段1875地號,1100218,963830,70026.7614,13.763738044295733,土地,其他,,0,0,0,
29,n,芳苑鄉,芳信段288地號,1100208,80870350,20000.09,4043.499304253131,土地,其他,,0,0,0,
30,n,芳苑鄉,崙腳段159地號,1100218,400000,2866.1286,139.56107901089993,土地,其他,,0,0,0,
31,n,社頭鄉,新山清段479地號,1100218,159957,8991.776,17.78925542629176,土地,其他,,0,0,0,
32,n,員林市,南平四街10號,1100202,25280000,184873.55920000002,136.74210692645116,房地(土地+建物),透天厝,105,4,3,6,
33,n,福興鄉,秀安段2389地號,1100206,1804950,26998.4686,66.85379184803097,土地,其他,,0,0,0,
34,n,和美鎮,嘉慶段19地號,1100204,3800000,259759.84660000002,14.628896843520078,土地,其他,,0,0,0,
35,n,芬園鄉,大德段556-4地號,1100201,7497920,32000.144,234.30894560974477,土地,其他,,0,0,0,
36,n,彰化市,安溪路328巷169號,1100201,5150000,117177.38680000001,43.95045956085445,房地(土地+建物),透天厝,95,4,2,4,
37,n,和美鎮,和東段53地號,1100217,2500000,35705.9458,70.01635005002444,土地,其他,,0,0,0,
38,n,田尾鄉,曾厝崙段105地號,1100220,3600000,37507.6068,95.98053054134074,土地,其他,,0,0,0,
39,n,埤頭鄉,新埤頭段221地號,1100204,3494117,40000.18,87.35253191360638,土地,其他,,0,0,0,
40,n,竹塘鄉,五庄子段194-2地號,1100209,5825600,5289.28,1101.3975437110535,土地,其他,,0,0,0,
41,n,芳苑鄉,平上巷12之1號,1100205,2500000,28357.1524,88.16117939966357,房地(土地+建物),透天厝,84,8,3,6,
42,n,彰化市,線東段212地號,1100209,1670000,6618.2116000000005,252.33402933203283,土地,其他,,0,0,0,
43,n,二林鎮,西庄巷123號,1100202,2800000,42228.2892,66.30626182222888,房地(土地+建物),透天厝,85,4,2,3,
44,n,大城鄉,臺西段1079-1地號,1100222,1500000,3517.3712,426.4548478704778,土地,其他,,0,0,0,
45,n,二水鄉,山腳路二段472之2號,1100202,6200000,60595.314,102.31814295078989,房地(土地+建物),透天厝,84,10,3,7,
46,n,田中鎮,香山段179地號,1100222,2326000,84608.6452,27.491280524605305,土地,其他,,0,0,0,
47,n,田中鎮,復興段228-4地號,1100201,3600000,112271.5796,32.06510510341123,土地,其他,,0,0,0,
48,n,北斗鎮,文昌段319-4地號,1100218,4865000,114975.724,42.313279975519,土地,其他,,0,0,0,
49,n,員林市,莒光路736巷20號,1100201,6000000,190903.3384,31.429518468808503,房地(土地+建物),透天厝,77,6,1,2,
50,n,伸港鄉,嘉二路75巷9號,1100205,7160000,168334.6418,42.53432284310715,房地(土地+建物),透天厝,84,4,2,3,
51,n,線西鄉,中央路二段622號,1100203,7000000,156906.4912,44.612558387259384,房地(土地+建物),透天厝,74,4,1,3,
52,n,彰化市,國聖路175巷136弄9號,1100204,6600000,114063.3232,57.862596098725625,房地(土地+建物),透天厝,86,4,2,3,
53,n,彰化市,中華西路571巷3號十一樓,1100201,4800000,146327.9312,32.80303330086307,房地(土地+建物),住宅大樓,83,3,2,2,
54,n,彰化市,長壽街78號五樓1,1100209,2100000,85273.111,24.62675485124496,房地(土地+建物),公寓,70,1,1,1,
55,n,員林市,復興路59巷30號,1100201,17200000,199971.1478,86.01240823602454,房地(土地+建物),透天厝,104,6,2,6,
56,n,二水鄉,惠園段1095地號,1100203,1350000,3391.7508000000003,398.0245246791126,土地,其他,,0,0,0,
57,n,竹塘鄉,新田段1457地號,1100209,2000000,3226.4608000000003,619.8742597461589,土地,其他,,0,0,0,
58,n,二林鎮,新萬合段505地號,1100219,165000,6290.9374,26.22820567249644,土地,其他,,0,0,0,
59,n,北斗鎮,大安段517-17地號,1100220,215130,70975.526,3.031044813954602,土地,其他,,0,0,0,
60,n,溪湖鎮,三塊厝段1145地號,1100222,324000,17937.270800000002,18.062948572979117,土地,其他,,0,0,0,
61,n,溪湖鎮,三塊厝段1147地號,1100222,512000,19110.8298,26.791092033062846,土地,其他,,0,0,0,
62,n,溪湖鎮,庭忠段229地號,1100203,3120000,37249.7544,83.75894150861838,土地,其他,,0,0,0,
63,n,竹塘鄉,仁愛街10巷20號,1100218,2000000,55798.5982,35.843194354656745,房地(土地+建物),透天厝,82,0,0,0,
64,n,田中鎮,民光段387地號,1100222,2004400,22512.498,89.03498847617888,土地,其他,,0,0,0,
65,n,田中鎮,民光段385地號,1100222,247000,14644.694,16.86617692387427,土地,其他,,0,0,0,
66,n,溪州鄉,榮光段1106地號,1100209,3530000,4664.4838,756.7825618774793,土地,其他,,0,0,0,
67,n,福興鄉,秀厝二街177之2號,1100217,6700000,148440.3374,45.13597932579208,房地(土地+建物),透天厝,109,4,2,3,
68,n,鹿港鎮,鹿福段791地號,1100226,3980000,138278.3082,28.782533224542302,土地,其他,,0,0,0,
69,n,伸港鄉,伸股段20地號,1100208,26662000,145997.3512,182.61975152875237,土地,其他,,0,0,0,
70,n,彰化市,竹中段557-2地號,1100220,388400,43494.4106,8.929883050306238,土地,其他,,0,0,0,
71,n,彰化市,民生路23號四樓之2,1100210,4000000,185822.3238,21.52593896256075,房地(土地+建物),華廈,72,2,2,1,
72,n,芬園鄉,竹林段838地號,1100201,8260000,19504.22,423.4980942585758,土地,其他,,0,0,0,
73,n,彰化市,公園路二段163巷22號,1100220,236000,54254.789600000004,4.349846377433929,房地(土地+建物),透天厝,66,3,2,2,
74,n,伸港鄉,大同六街169號,1100201,16400000,191276.8938,85.73957718671402,房地(土地+建物),透天厝,109,4,3,5,
75,n,和美鎮,嘉安段970地號,1100203,8131000,46998.558600000004,173.0053057414403,土地,其他,,0,0,0,
76,n,福興鄉,元興段973地號,1100201,3617484,14469.4866,250.00776461550473,土地,其他,,0,0,0,
77,n,鹿港鎮,建國段86地號,1100210,2160000,125273.291,17.24230267088617,土地,其他,,0,0,0,
78,n,鹿港鎮,建國段86地號,1100210,432000,150327.9492,2.873717111814361,土地,其他,,0,0,0,
79,n,福興鄉,秀安段317地號,1100217,3830400,9256.24,413.81813781837985,土地,其他,,0,0,0,
80,n,埤頭鄉,彰興段1127地號,1100225,250000,5576.8846,44.82789548845963,土地,其他,,0,0,0,
81,n,北斗鎮,斗苑路一段275巷48號,1100219,3780000,113064.9716,33.43210497918703,房地(土地+建物),透天厝,67,3,2,2,
82,n,社頭鄉,新山清段479地號,1100222,639875,8991.776,71.16224870370436,土地,其他,,0,0,0,
83,n,芳苑鄉,安家新1街25號,1100202,2300000,53980.4082,42.60805126701506,房地(土地+建物),透天厝,92,2,1,2,
84,n,二林鎮,中正路48巷12號,1100202,2500000,102740.95820000001,24.333041503597734,房地(土地+建物),透天厝,80,2,2,2,
85,n,芬園鄉,彰崙段29地號,1100223,100000,2773.5662,36.0546649292164,土地,其他,,0,0,0,
86,n,埔鹽鄉,義和段1020地號,1100205,3530000,7900.862,446.78669238875455,土地,其他,,0,0,0,
87,n,溪湖鎮,大庭段120地號,1100218,3657800,46344.010200000004,78.9271360897465,土地,其他,,0,0,0,
88,n,北斗鎮,中山路一段104巷7號,1100209,1500000,92238.4316,16.262201925818523,房地(土地+建物),透天厝,69,2,2,2,
89,n,埤頭鄉,芙朝段291-9地號,1100218,114950,20000.09,5.747474136366386,土地,其他,,0,0,0,
90,n,溪湖鎮,光平段160地號,1100201,326700,180000.81,1.8149918325367536,土地,其他,,0,0,0,
91,n,溪湖鎮,鎮安段357地號,1100217,9869062,24998.459600000002,394.78680518378815,土地,其他,,0,0,0,
92,n,埔鹽鄉,光明段343-6地號,1100216,2685000,30261.2932,88.72720614596867,土地,其他,,0,0,0,
93,n,埔鹽鄉,光明段636地號,1100218,1030000,50972.1302,20.2071209494007,土地,其他,,0,0,0,
94,n,田中鎮,斗中路一段111巷22號,1100205,5200000,104145.9232,49.92994291302225,房地(土地+建物),透天厝,70,4,2,3,
95,n,北斗鎮,光復段1106-5地號,1100202,726000,200000.9,3.629983665073507,土地,其他,,0,0,0,
96,n,北斗鎮,中華段250地號,1100207,5556925,110000.495,50.51727267227297,土地,其他,,0,0,0,
97,n,田尾鄉,三豐段1104地號,1100206,6650000,13487.664,493.04312444319487,土地,其他,,0,0,0,
98,n,員林市,香山段82地號,1100209,6950000,42033.247,165.34530392096522,土地,其他,,0,0,0,
99,n,員林市,復興段1135地號,1100203,41861740,308381.553,135.7465762551627,土地,其他,,0,0,0,
100,n,員林市,復興段1135-1地號,1100203,41861740,307621.219,136.08209516912422,土地,其他,,0,0,0,
101,n,福興鄉,元興段961地號,1100218,10000000,9940.5406,1005.9815056738463,土地,其他,,0,0,0,
102,n,福興鄉,文昌段1137-1地號,1100224,13700000,24519.1186,558.7476541673076,土地,其他,,0,0,0,
103,n,福興鄉,福安段743-2地號,1100224,68783,4297.54,16.005202976586606,土地,其他,,0,0,0,
104,n,鹿港鎮,鹿興段65地號,1100208,209812,170000.765,1.234182681472051,土地,其他,,0,0,0,
105,n,伸港鄉,文工一街232巷3號,1100202,6500000,177584.2702,36.60234092062057,房地(土地+建物),透天厝,109,4,2,3,
106,n,彰化市,太極新村28號二樓,1100223,4400000,167709.8456,26.23578827026241,房地(土地+建物)+車位,華廈,98,3,2,2,坡道平面
107,n,花壇鄉,中山路二段569之8號,1100202,23000000,249396.1636,92.22274981298068,房地(土地+建物),透天厝,107,4,2,4,
108,n,和美鎮,福馬段919地號,1100226,528000,149954.3938,3.5210705509850824,土地,其他,,0,0,0,
109,n,鹿港鎮,鹿興段65地號,1100208,1201200,164427.1862,7.305361283376386,土地,其他,,0,0,0,
110,n,福興鄉,福安段745-2地號,1100224,71771,4482.6648000000005,16.01078893965036,土地,其他,,0,0,0,
111,n,鹿港鎮,中山路442號,1100222,15000000,399026.58900000004,37.59147990010259,房地(土地+建物),透天厝,79,10,2,3,
112,n,鹿港鎮,治平街43號,1100219,8850000,199511.6416,44.35831377571102,房地(土地+建物),透天厝,83,7,3,6,
113,n,福興鄉,文昌段1605-4地號,1100211,1923900,60000.270000000004,32.06485570814931,土地,其他,,0,0,0,
114,n,鹿港鎮,文開段97地號,1100226,6019999,319079.1218,18.866790675741417,土地,其他,,0,0,0,
115,n,員林市,成功東路152號,1100220,12000000,268963.1938,44.615770025854,房地(土地+建物),透天厝,77,3,3,4,
116,n,大村鄉,新興段751地號,1100205,15800000,16122.3866,980.0037917463163,土地,其他,,0,0,0,
117,n,員林市,南平西街86巷10號六樓,1100222,1360000,105983.948,12.83213189982317,房地(土地+建物),華廈,81,1,1,1,
118,n,員林市,惠明街53巷1弄28號,1100201,11360000,223921.6688,50.732026341525724,房地(土地+建物),透天厝,109,6,1,3,
119,n,員林市,員集路二段326巷1弄17號,1100202,833000,35339.002,23.571689998489486,房地(土地+建物),透天厝,69,3,2,2,
120,n,大村鄉,南勢段570-1地號,1100204,11291000,21487.7,525.4634046454483,土地,其他,,0,0,0,
121,n,大村鄉,南勢段570地號,1100204,11291000,21487.7,525.4634046454483,土地,其他,,0,0,0,
122,n,田中鎮,明禮段85地號,1100201,1500000,5590.1078,268.33114023310964,土地,其他,,0,0,0,
123,n,竹塘鄉,面前厝段334-3地號,1100203,3880000,3626.4626000000003,1069.913143458311,土地,其他,,0,0,0,
124,n,埔鹽鄉,新永昌段400地號,1100222,2650000,34472.8824,76.87201694512206,土地,其他,,0,0,0,
125,n,員林市,出水段897地號,1100222,817000,2998.3606,272.48223579245274,土地,其他,,0,0,0,
126,n,溪湖鎮,庭忠段501地號,1100201,2967071,52000.234000000004,57.058800927703516,土地,其他,,0,0,0,
127,n,大城鄉,臺山段1410地號,1100224,185000,1487.6100000000001,124.3605514886294,土地,其他,,0,0,0,
