,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,o,新竹市,光武段329地號,1100201,1720000,379066.16860000003,4.537466391032607,土地,其他,,0,0,0,
1,o,新竹市,民族路245號3樓,1100201,14500000,151782.5012,95.53143402804855,房地(土地+建物)+車位,華廈,83,0,0,0,升降機械
2,o,新竹市,中華路一段105巷1弄45號,1100201,3000000,165316.44640000002,18.147014802999053,房地(土地+建物),透天厝,69,3,2,2,
3,o,新竹市,曲溪段466地號,1100205,1000000,180252.0508,5.547787087923662,土地,其他,,0,0,0,
4,o,新竹市,湖港段1252地號,1100205,216000,19963.7262,10.819623442842047,土地,其他,,0,0,0,
5,o,新竹市,光復路二段659號七樓之3,1100205,2880000,232949.80860000002,12.363178219842503,房地(土地+建物),華廈,95,1,1,1,
6,o,新竹市,延平路一段357巷19之1號四樓,1100206,10700000,243726.7166,43.901629453124954,房地(土地+建物)+車位,華廈,107,2,2,2,坡道機械
7,o,新竹市,千甲段647-27地號,1100201,3258817,165002.3954,19.750119336752366,土地,其他,,0,0,0,
8,o,新竹市,金竹路102巷8之9號六樓,1100205,2100000,147924.6326,14.196418561867024,房地(土地+建物),華廈,81,1,1,1,
9,o,新竹市,經國路二段111號8樓之12,1100208,1250000,149881.6662,8.339912623682855,房地(土地+建物),住宅大樓,86,1,1,1,
10,o,新竹市,大庄段493地號,1100204,343200,64978.8048,5.281722263995844,土地,其他,,0,0,0,
11,o,新竹市,牛埔路14巷6號二樓之1,1100208,5180000,284877.315,18.183266014003255,房地(土地+建物)+車位,華廈,109,2,2,1,其他
12,o,新竹市,牛埔路14巷6號二樓之2,1100217,7250000,275673.9678,26.299182537467,房地(土地+建物)+車位,華廈,109,3,2,2,其他
13,o,新竹市,牛埔路14巷6號四樓之1,1100202,5350000,294226.1174,18.183294016440705,房地(土地+建物)+車位,華廈,109,2,2,1,其他
14,o,新竹市,復興段441-8地號,1100205,64180000,349965.2112,183.38965687455735,土地,其他,,0,0,0,
15,o,新竹市,光復路二段659號二樓之13,1100220,2250000,221369.5912,10.163997628595702,房地(土地+建物),華廈,95,1,1,1,
16,o,新竹市,民富段943-1地號,1100224,223489,160959.402,1.388480556109422,土地,其他,,0,0,0,
