,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,p,台西鄉,崙豐段393地號,1100225,700000,35722.4748,19.595506860011835,土地,其他,,0,0,0,
1,p,斗南鎮,埤麻段739地號,1100203,700000,36079.5012,19.40159860081436,土地,其他,,0,0,0,
2,p,虎尾鎮,泰安段538地號,1100201,3100000,5596.7194,553.8959126662666,土地,其他,,0,0,0,
3,p,麥寮鄉,許厝寮段許厝寮小段211-1地號,1100204,1776000,36998.5136,48.00192838017147,土地,其他,,0,0,0,
4,p,四湖鄉,溪尾段新溪小段382地號,1100202,1000000,1656.2058,603.7896981160192,土地,其他,,0,0,0,
5,p,四湖鄉,國中段209地號,1100202,4560000,2631.4168,1732.906774783835,土地,其他,,0,0,0,
6,p,斗南鎮,中興路170巷10弄1號,1100204,3900000,94820.2614,41.13044978380538,房地(土地+建物),透天厝,69,3,1,2,
7,p,二崙鄉,大義崙段820-4地號,1100204,1820000,4360.3502,417.3976668204311,土地,其他,,0,0,0,
8,p,台西鄉,明德段1780地號,1100209,1770000,2723.9792,649.7846973280853,土地,其他,,0,0,0,
9,p,台西鄉,泉州段721地號,1100216,580229,1917.364,302.6180735634965,土地,其他,,0,0,0,
10,p,四湖鄉,三崙段2944地號,1100204,121453,10998.3966,11.042791455619994,土地,其他,,0,0,0,
11,p,元長鄉,青山段664地號,1100205,6000000,3133.8984,1914.548346557757,土地,其他,,0,0,0,
12,p,北港鎮,正義街180巷3號,1100205,8400000,177594.1876,47.29884526919055,房地(土地+建物),透天厝,108,4,2,3,
13,p,虎尾鎮,中溪段124地號,1100219,2877000,42000.189,68.49969175138712,土地,其他,,0,0,0,
14,p,大埤鄉,蘆竹巷段1940地號,1100204,5908600,5123.99,1153.1248109383507,土地,其他,,0,0,0,
15,p,土庫鎮,大荖段1143-1地號,1100208,2720000,5778.5384,470.70726396834186,土地,其他,,0,0,0,
16,p,土庫鎮,溪心路102號,1100202,8600000,191164.4966,44.98743309012537,房地(土地+建物),透天厝,87,0,0,0,
17,p,北港鎮,三王段632地號,1100208,1620000,2975.2200000000003,544.497549761026,土地,其他,,0,0,0,
18,p,崙背鄉,頂街83號,1100204,5600000,99772.3498,56.1277749920249,房地(土地+建物),透天厝,109,5,2,4,
19,p,虎尾鎮,中溪段188地號,1100205,19905000,60942.423,326.6197669889167,土地,其他,,0,0,0,
20,p,虎尾鎮,安慶段722-1地號,1100206,8131500,24998.459600000002,325.2800424550959,土地,其他,,0,0,0,
21,p,虎尾鎮,蕃薯段67-106地號,1100209,51800,2314.06,22.384899267953294,土地,其他,,0,0,0,
22,p,大埤鄉,埤頭段1043地號,1100217,2128000,4628.12,459.79793090931094,土地,其他,,0,0,0,
23,p,麥寮鄉,雷厝段591-1地號,1100218,3000000,3854.5628,778.2983844497228,土地,其他,,0,0,0,
24,p,麥寮鄉,新麥寮段520地號,1100208,3315620,22000.099000000002,150.70932180805184,土地,其他,,0,0,0,
25,p,斗六市,上海路206號五樓,1100218,4200000,108992.226,38.53485844027078,房地(土地+建物)+車位,華廈,82,3,2,2,坡道機械
26,p,虎尾鎮,高北段413地號,1100202,24197200,122000.549,198.33681240237698,土地,其他,,0,0,0,
27,p,北港鎮,聖平段916地號,1100219,800000,1705.7928,468.9901376063963,土地,其他,,0,0,0,
28,p,大埤鄉,埔羌崙段969地號,1100208,2250000,3970.2658,566.7126870951562,土地,其他,,0,0,0,
29,p,台西鄉,明德段2006地號,1100218,500000,1355.378,368.9007789708849,土地,其他,,0,0,0,
30,p,莿桐鄉,中正路75之13號四樓,1100210,2300000,64803.5974,35.49185681472677,房地(土地+建物)+車位,華廈,85,3,1,2,升降機械
