,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,q,東石鄉,下揖子寮段下揖小段311地號,1100303,700000,1748.7682,400.2817526073496,土地,其他,,0,0,0,
1,q,朴子市,鎮安段1291地號,1100202,500000,97230.1896,5.142435719368381,土地,其他,,0,0,0,
2,q,朴子市,牛挑灣段松梅小段1791地號,1100203,62400,15867.84,3.932482303829633,土地,其他,,0,0,0,
3,q,朴子市,南通路三段966號,1100201,1200000,34833.2146,34.449878191833605,房地(土地+建物),透天厝,61,3,1,2,
4,q,太保市,南新段843-2地號,1100204,8464700,48132.448000000004,175.8626529861934,土地,其他,,0,0,0,
5,q,民雄鄉,頂寮段中廣小段524-2地號,1100203,2553754,3434.7262,743.5102105081913,土地,其他,,0,0,0,
6,q,民雄鄉,興南村4鄰建國路三段243之2號,1100202,8800000,131693.1546,66.82200017706919,房地(土地+建物),透天厝,83,5,2,4,
7,q,大林鎮,明和段771-4地號,1100202,500000,43729.1224,11.43402777275951,土地,其他,,0,0,0,
8,q,東石鄉,東石段800地號,1100203,5560720,10000.045,556.0694976872604,土地,其他,,0,0,0,
9,q,東石鄉,下揖子寮段184-3地號,1100204,43673,11005.0082,3.9684659208159427,土地,其他,,0,0,0,
10,q,朴子市,菜埔段永和小段541地號,1100205,698775,22000.099000000002,31.762357069393186,土地,其他,,0,0,0,
11,q,鹿草鄉,鹿西段976地號,1100201,2435234,84198.726,28.922456617692767,土地,其他,,0,0,0,
12,q,鹿草鄉,鹿西段1002地號,1100201,614286,34998.5046,17.551778483701273,土地,其他,,0,0,0,
13,q,鹿草鄉,鹿西段1017地號,1100201,2371085,40059.6844,59.18880878652155,土地,其他,,0,0,0,
14,q,布袋鎮,樹林頭段林頭小段523地號,1100208,822921,1818.19,452.60451327969025,土地,其他,,0,0,0,
15,q,中埔鄉,安家厝段470-1地號,1100208,12648000,12000.054,1053.9952570213434,土地,其他,,0,0,0,
16,q,溪口鄉,坪頂村溪民路25巷60號,1100202,7850000,150499.85080000001,52.159520147510996,房地(土地+建物),透天厝,109,4,3,5,
17,q,番路鄉,大湖段108-35地號,1100201,130000,429.754,302.49863875612556,土地,其他,,0,0,0,
18,q,竹崎鄉,山子門段72-4地號,1100205,300000,1358.6838,220.80192609936174,土地,其他,,0,0,0,
19,q,中埔鄉,護生段296地號,1100208,2000000,81947.4762,24.405876699836668,土地,其他,,0,0,0,
20,q,中埔鄉,灣潭子段5-13地號,1100216,100000,578.515,172.85636500350034,土地,其他,,0,0,0,
21,q,中埔鄉,吳鳳廟段32-8地號,1100216,1050000,15646.3514,67.10829720978911,土地,其他,,0,0,0,
22,q,六腳鄉,灣內段灣內小段240-2地號,1100218,464035,26000.117000000002,17.84741968661141,土地,其他,,0,0,0,
23,q,中埔鄉,灣潭子段400-10地號,1100216,145000,476.03520000000003,304.5993237474876,土地,其他,,0,0,0,
