編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLSJLHGGFAA77EA,華興段一小段,39.60,都市：其他:第三種住宅區。,10000,362,持分移轉,00100000
RPOOMLQLKHGGFEA37DA,溪洲段一小段,.62,都市：其他:產業服務區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,48,2,持分移轉,00080000
RPOOMLQLKHGGFEA37DA,溪洲段一小段,.08,都市：其他:堤防用地(公共設施用地)。77/1/22,48,2,持分移轉,00080001
RPOOMLQLKHGGFEA37DA,溪洲段一小段,.25,都市：其他:道路用地(公共設施用地)(將來採區段徵收方式辦理整體開發)。100/6/8,48,2,持分移轉,00250001
RPOOMLQLKHGGFEA37DA,溪洲段一小段,36.00,都市：其他:道路用地(公共設施用地)(將來採區段徵收方式辦理整體開發)。100/6/8,48,3,持分移轉,00660002
RPOOMLQLKHGGFEA37DA,溪洲段一小段,3.33,都市：其他:道路用地(公共設施用地)(將來採區段徵收方式辦理整體開發)。100/6/8,48,2,持分移轉,02560000
RPOOMLQLKHGGFEA37DA,溪洲段一小段,.50,都市：其他:道路用地(公共設施用地)(將來採區段徵收方式辦理整體開發)。100/6/8,48,2,持分移轉,02580000
RPOOMLQLKHGGFEA37DA,溪洲段一小段,9.04,都市：其他:產業服務區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,48,2,持分移轉,02690000
RPOOMLQLKHGGFEA37DA,溪洲段一小段,1.88,都市：其他:道路用地(公共設施用地)(將來採區段徵收方式辦理整體開發)。100/6/8,48,2,持分移轉,03120000
RPOOMLQLKHGGFEA37DA,溪洲段一小段,1.79,都市：其他:產業服務區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,48,2,持分移轉,04500000
RPOOMLQLKHGGFEA37DA,溪洲段一小段,.50,都市：其他:產業服務區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,48,2,持分移轉,04510000
RPSOMLTJLHGGFFA18EA,仁愛段六小段,.32,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區及第肆之壹種住宅區)。,10000,5,持分移轉,05950000
RPXNMLLJKHGGFEA47DA,永新段二小段,11.64,都市：其他:第三種住宅區。,78400000000,697760000,持分移轉,05180000
RPXNMLLJKHGGFEA47DA,永新段二小段,1.70,都市：其他:第三之二種住宅區。,78400000000,697760000,持分移轉,05180001
RPSOMLTJLHGGFFA18EA,仁愛段六小段,.60,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第貳種商業區)。,10000,5,持分移轉,05950001
