編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLKJIPFFCA57CC,37,61.94,商業用,鋼筋混凝土造,72年9月3日,十四層,,
RPQNMLLKJIPFFCA57CC,37,3.54,共有部分,鋼筋混凝土造,72年9月3日,十四層,,
RPVQMLLKJIPFFCA38CC,13,21.29,住家用,鋼筋混凝土造,97年1月4日,十二層,,
RPVQMLLKJIPFFCA38CC,13,4.40,共有部分,鋼筋混凝土造,97年1月4日,十二層,,
RPVQMLLKJIPFFCA38CC,13,6.67,共有部分,鋼筋混凝土造,97年1月4日,十二層,,
RPQOMLLKJIPFFCA67CC,23,237.68,商業用,鋼筋混凝土造,86年12月4日,九層,,
RPQOMLLKJIPFFCA67CC,23,101.09,共有部分,鋼筋混凝土造,86年12月4日,九層,,
RPPPMLLKJIPFFCA67CC,,16.61,,加強磚造,,二層,,
RPQPMLLKJIPFFCA77CC,47,31.11,住家用,鋼筋混凝土造,62年10月12日,四層,,
RPTNMLLKJIPFFCA87CC,30,108.34,商業用,鋼筋混凝土造,79年7月24日,六層,,
RPTNMLLKJIPFFCA87CC,30,7.89,共有部分,鋼筋混凝土造,79年7月24日,六層,,
RPVRMLLKJIPFFCA48CC,43,20.33,住家用,鋼筋混凝土造,66年6月28日,四層,,
RPSPMLLKJIPFFCA97CC,47,31.11,住家用,鋼筋混凝土造,62年10月12日,四層,,
RPTOMLLKJIPFFBA87CC,15,81.43,一般事務所,鋼骨造,94年12月8日,十三層,,
RPTOMLLKJIPFFBA87CC,15,21.54,共有部分,鋼骨造,94年12月8日,十三層,,
RPTOMLLKJIPFFBA87CC,15,20.28,共有部分,鋼骨造,94年12月8日,十三層,,
RPXPMLLKJIPFFBA38CC,39,66.97,住家用,鋼筋混凝土造,70年9月30日,五層,,
RPOPMLLKJIPFFBA47CC,33,124.53,商業用,鋼筋混凝土造,77年3月8日,五層,,
RPUOMLLKJIPFFCA08CC,9,55.70,住家用,鋼筋混凝土造,100年7月26日,十三層,,
RPUOMLLKJIPFFCA08CC,9,13.05,本共有部分之項目有機車坡道、電梯廳、廳廊、門廳、陽台、管委會使用空間、停獎管理員室、消防給水、電氣弱電、消防水箱、戶外安全梯、發電機室排風管道、發電機室進風管道、停車空間排風管道、停車空間進風管道、機車位、台電配電室、弱電管道、機車坡道、行動不便機車位、機電設備空間、汙物處理室、安全梯、設備空間、停車空間排風機室、行動不便停車車位、機房、汙物處理室、安全梯、設備空間、停車空間排風機室、停車空間進風機室、蓄水池、進風機室、排風機室、排風管道、進風機室、消防泵浦室等３８項。,鋼筋混凝土造,100年7月26日,十三層,,
RPUOMLLKJIPFFCA08CC,9,21.01,本共有部分之項目有安全梯、排煙室兼梯廳、排風管道、進風管道、戶外安全梯、梯廳、屋頂水箱（１）、蓄水池等８項。,鋼筋混凝土造,100年7月26日,十三層,,
RPOQMLLKJIPFFBA57CC,42,59.84,住家用,鋼筋混凝土造,68年4月3日,十二層,,
RPPQMLLKJIPFFBA67CC,45,54.69,住家用,鋼筋混凝土造,64年5月30日,四層,,
RPRQMLLKJIPFFBA87CC,,100.84,,鋼筋混凝土造,,四層,,
RPUQMLLKJIPFFBA18CC,37,155.55,商業用,鋼筋混凝土造,72年11月11日,十二層,,
RPUQMLLKJIPFFBA18CC,37,22.31,共有部分,鋼筋混凝土造,72年11月11日,十二層,,
RPUQMLLKJIPFFBA18CC,37,1.48,共有部分,鋼筋混凝土造,72年11月11日,十二層,,
RPXOMLLKJIPFFEA58CC,12,31.21,策略性產業（資訊服務業）,鋼筋混凝土造,97年5月2日,十三層,,
RPRNMLLKJIPFFEA87CC,33,134.87,住家用,鋼筋混凝土造,77年1月19日,七層,,
RPXOMLLKJIPFFEA58CC,12,.78,共有部分,鋼筋混凝土造,97年5月2日,十三層,,
RPRNMLLKJIPFFEA87CC,33,11.98,共有部分,鋼筋混凝土造,77年1月19日,七層,,
RPXOMLLKJIPFFEA58CC,12,.98,共有部分,鋼筋混凝土造,97年5月2日,十三層,,
RPSNMLLKJIPFFEA97CC,19,122.24,住家用,鋼筋混凝土造,91年1月25日,七層,,
RPXOMLLKJIPFFEA58CC,12,3.22,共有部分,鋼筋混凝土造,97年5月2日,十三層,,
RPSNMLLKJIPFFEA97CC,19,48.53,共有部分,鋼筋混凝土造,91年1月25日,七層,,
