編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLLKJIPFFIB18CB,新三和段,15.26,都市：商,10000,35,持分移轉,00660000
RPOPMLLKJIPFFIB18CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPTOMLLKJIPFFIB58CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPROMLLKJIPFFIB38CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPXOMLLKJIPFFIB98CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPRPMLLKJIPFFIB48CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPTPMLLKJIPFFAB97DB,下橋子頭段,21.87,都市：住,10000,53,持分移轉,02710003
RPSPMLLKJIPFFIB58CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPXOMLLKJIPFFAB28DB,下橋子頭段,21.87,都市：住,10000,53,持分移轉,02710003
RPPRMLLKJIPFFAB77DB,下橋子頭段,21.87,都市：住,10000,53,持分移轉,02710003
RPQPMLLKJIPFFIB38CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPRRMLLKJIPFFAB97DB,下橋子頭段,21.87,都市：住,10000,53,持分移轉,02710003
RPTQMLLKJIPFFAB08DB,下橋子頭段,21.87,都市：住,10000,53,持分移轉,02710003
RPXQMLLKJIPFFAB48DB,下橋子頭段,21.87,都市：住,10000,53,持分移轉,02710003
RPSRMLLKJIPFFAB08DB,下橋子頭段,21.87,都市：住,10000,53,持分移轉,02710003
RPURMLLKJIPFFAB28DB,下橋子頭段,21.87,都市：住,10000,53,持分移轉,02710003
RPPTMLLKJIPFFAB97DB,下橋子頭段,28.06,都市：住,10000,68,持分移轉,02710003
RPSTMLLKJIPFFAB28DB,下橋子頭段,36.72,都市：住,10000,89,持分移轉,02710003
RPWTMLLKJIPFFAB68DB,下橋子頭段,33.83,都市：住,10000,82,持分移轉,02710003
RPQSMLLKJIPFFAB97DB,下橋子頭段,21.87,都市：住,10000,53,持分移轉,02710003
RPOUMLLKJIPFFAB97DB,下橋子頭段,33.83,都市：住,10000,82,持分移轉,02710003
RPTUMLLKJIPFFAB48DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPSUMLLKJIPFFAB38DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPXUMLLKJIPFFAB88DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPOVMLLKJIPFFAB08DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPPVMLLKJIPFFAB18DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPQVMLLKJIPFFAB28DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPRVMLLKJIPFFAB38DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPUVMLLKJIPFFAB68DB,下橋子頭段,28.06,都市：住,10000,68,持分移轉,02710003
RPWVMLLKJIPFFAB88DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPVVMLLKJIPFFAB78DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPXVMLLKJIPFFAB98DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPOWMLLKJIPFFAB18DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPQWMLLKJIPFFAB38DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPPWMLLKJIPFFAB28DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPSWMLLKJIPFFAB58DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPTWMLLKJIPFFAB68DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPUWMLLKJIPFFAB78DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPVWMLLKJIPFFAB88DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPPNNLLKJIPFFAB47DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPXWMLLKJIPFFAB09DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPWWMLLKJIPFFAB98DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPQNNLLKJIPFFAB57DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPONNLLKJIPFFAB37DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPRNNLLKJIPFFAB67DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPXNMLNKJIPFFAB38DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPUNMLNKJIPFFAB08DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPWQMLNKJIPFFAB58DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPUQMLNKJIPFFAB38DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPPOMLNKJIPFFAB67DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPVQMLNKJIPFFAB48DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPORMLNKJIPFFAB87DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPXQMLNKJIPFFAB68DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPRPMLNKJIPFFIB68CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPQPMLNKJIPFFIB58CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPSPMLNKJIPFFIB78CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPTPMLNKJIPFFIB88CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPXPMLNKJIPFFIB66CB,新三和段,24.85,都市：商,10000,57,持分移轉,00660000
RPUPMLNKJIPFFIB98CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPOQMLNKJIPFFIB48CB,新三和段,24.85,都市：商,10000,57,持分移轉,00660000
RPPQMLNKJIPFFIB58CB,新三和段,24.85,都市：商,10000,57,持分移轉,00660000
RPWPMLNKJIPFFIB56CB,新三和段,16.13,都市：商,10000,37,持分移轉,00660000
RPRQMLNKJIPFFIB78CB,新三和段,24.85,都市：商,10000,57,持分移轉,00660000
RPQQMLNKJIPFFIB68CB,新三和段,24.85,都市：商,10000,57,持分移轉,00660000
RPTQMLNKJIPFFIB98CB,新三和段,24.85,都市：商,10000,57,持分移轉,00660000
RPUQMLNKJIPFFIB09CB,新三和段,24.85,都市：商,10000,57,持分移轉,00660000
RPVQMLNKJIPFFIB56CB,新三和段,24.85,都市：商,10000,57,持分移轉,00660000
RPTNMLOKJIPFFAB08DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPUNMLOKJIPFFAB18DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPVNMLOKJIPFFAB28DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPWNMLOKJIPFFAB38DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPSNMLPKJIPFFAB08DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPOOMLOKJIPFFAB67DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPUOMLOKJIPFFAB28DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPQOMLOKJIPFFAB87DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPROMLOKJIPFFAB97DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPXNMLOKJIPFFAB48DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPPNMLPKJIPFFAB77DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPPOMLOKJIPFFAB77DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPTOMLOKJIPFFAB18DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPSOMLOKJIPFFAB08DB,下橋子頭段,21.04,都市：住,10000,51,持分移轉,02710003
RPOOMLPKJIPFFAB77DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPQOMLPKJIPFFAB97DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPTOMLPKJIPFFAB28DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPUNMLPKJIPFFAB28DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPSOMLPKJIPFFAB18DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPVOMLPKJIPFFAB48DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPROMLPKJIPFFAB08DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPWOMLPKJIPFFAB58DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPUOMLPKJIPFFAB38DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPPOMLPKJIPFFAB87DB,下橋子頭段,19.80,都市：住,10000,48,持分移轉,02710003
RPPPMLPKJIPFFAB97DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPQPMLPKJIPFFAB08DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPTPMLPKJIPFFAB38DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPXPMLPKJIPFFAB78DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPRPMLPKJIPFFAB18DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPOQMLPKJIPFFAB97DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPQQMLPKJIPFFAB18DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPSQMLPKJIPFFAB38DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPRQMLPKJIPFFAB28DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPPQMLPKJIPFFAB08DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPTQMLPKJIPFFAB48DB,下橋子頭段,20.63,都市：住,10000,50,持分移轉,02710003
RPQNMLQKJIPFFAB97DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPSNMLQKJIPFFAB18DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPTNMLQKJIPFFAB28DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPUNMLQKJIPFFAB38DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPRNMLQKJIPFFAB08DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPWNMLQKJIPFFAB58DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPXNMLQKJIPFFAB68DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPOOMLQKJIPFFAB87DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPPOMLQKJIPFFAB97DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPROMLQKJIPFFAB18DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPQOMLQKJIPFFAB08DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPWOMLQKJIPFFAB68DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPSOMLQKJIPFFAB28DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPXOMLQKJIPFFAB78DB,下橋子頭段,19.39,都市：住,10000,47,持分移轉,02710003
RPUPMLQKJIPFFAB58DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
RPSPMLQKJIPFFAB38DB,下橋子頭段,20.22,都市：住,10000,49,持分移轉,02710003
