編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUQMLLKJIPFFBB28CC,坡道平面,0,28.35,
RPSQMLLKJIPFFBB08CC,坡道平面,0,28.35,
RPVQMLLKJIPFFBB38CC,坡道平面,0,28.35,
RPWQMLLKJIPFFBB48CC,坡道平面,0,28.35,
RPQUMLLKJIPFFAB18CC,坡道機械,0,,
RPPPMLLKJIPFFIB38CC,坡道平面,0,29.78,
RPOPMLMKJIPFFAB57CC,坡道平面,0,,
RPWPMLMKJIPFFCB58CC,坡道平面,0,,
RPPPMLMKJIPFFAB67CC,坡道平面,0,,
RPXNMLMKJIPFFBB38CC,坡道平面,0,35.56,
RPUQMLMKJIPFFBB38CC,坡道平面,0,30.20,
RPORMLNKJIPFFCB08CC,坡道平面,0,35.97,
RPQNMLOKJIPFFAB77CC,坡道平面,0,,
RPSNMLQKJIPFFCB38CC,坡道平面,0,29.09,地下一樓
RPXQMLQKJIPFFCB56CC,坡道機械,2000,,
RPVRMLQKJIPFFCB09CC,坡道平面,0,,
RPWRMLQKJIPFFCB56CC,坡道平面,0,,
RPWTMLQKJIPFFCB76CC,坡道平面,2000,39.36,
RPTTMLQKJIPFFAB88CC,坡道平面,1011,23.88,
RPOOMLNKJIPFFBB67CC,坡道平面,0,,
RPXPMLQKJIPFFHB96CC,升降平面,1012,6.52,
RPPNMLQKJIPFFFB38CC,坡道平面,0,31.68,
RPWPMLQKJIPFFFB66CC,坡道平面,1240,33.76,
RPXNMLRKJIPFFHB86CC,坡道平面,0,,
RPXNMLRKJIPFFHB86CC,坡道平面,0,,
RPTQMLRKJIPFFHB76CC,坡道機械,0,,
RPPPMLRKJIPFFBB28CC,坡道平面,0,,
RPSPMLRKJIPFFBB58CC,坡道平面,0,,
RPSPMLRKJIPFFBB58CC,坡道機械,0,,
RPOOMLRKJIPFFDB28CC,坡道平面,0,,
RPVPMLRKJIPFFCB98CC,坡道機械,0,,
RPSOMLRKJIPFFCB58CC,坡道平面,0,33.83,
RPWPMLRKJIPFFCB09CC,坡道平面,0,30.86,
RPURMLRKJIPFFCB09CC,坡道機械,0,,
RPUTMLRKJIPFFCB66CC,坡道平面,0,29.46,
RPUTMLRKJIPFFCB66CC,坡道平面,0,29.46,
RPUTMLRKJIPFFCB66CC,坡道平面,0,29.46,
RPUOMLSKJIPFFCB88CC,坡道平面,0,,
RPUOMLSKJIPFFCB88CC,坡道平面,0,,
RPUOMLSKJIPFFCB88CC,坡道平面,0,,
RPUOMLSKJIPFFCB88CC,坡道平面,0,,
RPWOMLSKJIPFFCB09CC,坡道平面,0,,
RPTOMLLKJIPFFJB78CC,坡道平面,0,,
RPSPMLSKJIPFFCB78CC,坡道平面,1400,,
RPSPMLSKJIPFFCB78CC,坡道平面,1400,,
RPSPMLSKJIPFFCB78CC,坡道平面,1400,,
RPSPMLSKJIPFFCB78CC,坡道平面,1400,,
RPSPMLSKJIPFFCB78CC,坡道平面,1400,,
RPWNMLTKJIPFFJB27DC,坡道平面,0,24.76,
RPSOMLTKJIPFFJB86CC,坡道平面,1000,,
RPSOMLTKJIPFFFB09CC,坡道平面,0,35.20,
RPOQMLTKJIPFFFB88CC,坡道平面,745,32.26,
RPTOMLTKJIPFFAB68CC,坡道機械,2000,,
RPWOMLTKJIPFFAB98CC,坡道平面,0,21.57,
RPSNMLKLJIPFFCB87CC,坡道平面,0,29.31,
RPSQMLKLJIPFFCB18CC,坡道平面,0,34.86,
