編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLMLKHGGFBC07DA,坡道平面,1000000,34.22,地下二樓
SPQOMLMLKHGGFBC17DA,坡道平面,1100000,34.22,地下二樓
TPQOMLMLKHGGFBC27DA,坡道平面,1090000,34.22,地下二樓
UPQOMLMLKHGGFBC37DA,坡道平面,1080000,34.22,地下二樓
VPQOMLMLKHGGFBC47DA,坡道平面,1080000,34.22,地下二樓
VPQOMLMLKHGGFBC47DA,坡道平面,1030000,34.22,地下二樓
WPQOMLMLKHGGFBC57DA,坡道平面,1000000,34.22,地下一樓
WPQOMLMLKHGGFBC57DA,坡道平面,1000000,34.22,地下一樓
RPOPMLOLKHGGFCC27DA,坡道平面,1200000,13.47,二樓含以上
RPQOMLMJLHGGFBC96DA,坡道平面,0,,地下二樓
RPTNMLPJLHGGFBC47DA,坡道平面,0,35.43,地下三樓
RPXNMLMJLHGGFCC67DA,坡道平面,0,,地下一樓
RPWOMLRKKHGGFCC18DA,坡道平面,0,,地下三樓
RPTOMLMJLHGGFCC37DA,坡道機械,700000,15.16,地下二樓
RPQPMLRJJHGGFBC37DA,坡道平面,1100000,25.92,地下一樓
RPTOMLLKJHGGFBC07DA,坡道平面,900000,25.92,地下一樓
RPTOMLLKJHGGFBC07DA,坡道平面,900000,25.92,地下一樓
RPPOMLOJJHGGFBC86DA,坡道平面,950000,,地下二樓
RPXNMLSJJHGGFBC97DA,升降機械,1100000,10.64,地下二樓
RPPNMLQLKHGGFCC47EA,坡道平面,0,,地下一樓
RPXNMLNKJHGGFBC57DA,坡道平面,0,,一樓
RPRNMLLLJHGGFBC96EA,坡道平面,500000,38.04,地下一樓
RPOOMLPLJHGGFBC07DA,坡道平面,0,,地下二樓
RPOOMLPLJHGGFBC07DA,坡道平面,0,,地下二樓
RPXNMLMLJHGGFBC57DA,坡道平面,0,21.86,地下二樓
RPPNMLSJLHGGFCC57EA,一樓平面,0,,一樓
RPQNMLNJLHGGFCC17EA,坡道機械,900000,15.16,地下二樓
RPXOMLKLJHGGFCC57DA,坡道平面,1600000,33.29,地下二樓
RPPNMLQLJHGGFCC37EA,坡道平面,760000,,地下一樓
RPOOMLSJJHGGFBC17DA,坡道機械,1100000,10.64,地下二樓
RPTNMLQLJHGGFBC57DA,坡道平面,0,,地下一樓
RPOOMLMLJHGGFCC86DA,坡道平面,1400000,15.87,地下一樓
RPPOMLQLJHGGFCC37DA,坡道平面,0,,地下一樓
RPPOMLPLJHGGFBC17DA,坡道平面,0,36.54,地下一樓
RPWNMLRLJHGGFCC08DA,坡道機械,600000,18.48,地下二樓
RPTNMLSLJHGGFBC87EA,坡道平面,0,,地下二樓
RPWNMLRLJHGGFBC97DA,坡道平面,650000,,地下四樓
RPROMLMLJHGGFCC17DA,坡道平面,0,36.95,地下一樓
