編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSJLHGGFED77DA,白沙屯段,2570.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,26060000
RPPSMLOJLHGGFBD57DA,安東段,186.32,都市：其他:住宅區,1,1,全筆移轉,03220000
RPPNMLTJLHGGFJD38DA,楠中段,90.79,都市：其他:住宅區,1,1,全筆移轉,02870000
RPTNMLSJLHGGFJD68DA,灣丘段,585.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03320004
RPWOMLOJLHGGFCD97DA,省躬段,12.00,都市：其他:細部計畫道路用地,2,1,持分移轉,06410001
RPWOMLOJLHGGFCD97DA,省躬段,14.50,都市：其他:細部計畫道路用地,2,1,持分移轉,06410002
RPWOMLOJLHGGFCD97DA,省躬段,11.33,都市：其他:細部計畫道路用地,144,12,持分移轉,06440001
RPWOMLOJLHGGFCD97DA,省躬段,3.00,都市：其他:細部計畫道路用地,64,8,持分移轉,06440005
RPWOMLOJLHGGFCD97DA,省躬段,1.75,都市：其他:細部計畫道路用地,64,8,持分移轉,06440006
RPWOMLOJLHGGFCD97DA,省躬段,24.00,都市：其他:細部計畫道路用地,6,3,持分移轉,06450000
RPPNMLRJKHGGFHD87DA,竹子腳段,24.00,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,12520002
RPOOMLOJKHGGFGD47DA,溪底寮段三寮灣小段,281.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05920000
RPXNMLOJKHGGFAD67DA,南門段,44.25,都市：其他:住宅區,1,1,全筆移轉,17180000
RPXNMLOJKHGGFAD67DA,南門段,33.83,都市：其他:住宅區,1,1,全筆移轉,17210000
RPXNMLOJKHGGFAD67DA,南門段,18.00,都市：其他:住宅區,2,1,持分移轉,17220000
RPROMLNJKHGGFCD27DA,裕南段,3.51,都市：其他:道路用地,50,3,持分移轉,13960000
RPROMLNJKHGGFCD27DA,裕南段,3.51,都市：其他:道路用地,50,3,持分移轉,13960000
RPROMLNJKHGGFCD27DA,裕南段,28.58,都市：其他:道路用地,50,3,持分移轉,14100000
RPROMLNJKHGGFCD27DA,裕南段,28.58,都市：其他:道路用地,50,3,持分移轉,14100000
RPXPMLMJKHGGFAD67DA,星鑽段,2.42,都市：其他:商業區,10000,20,持分移轉,18300000
RPXPMLMJKHGGFAD67DA,星鑽段,.69,都市：其他:商業區,10000,20,持分移轉,18400000
RPSNMLSJKHGGFHD28DA,港尾段,196.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06470000
RPSNMLSJKHGGFHD28DA,港尾段,12.28,非都市：鄉村區 ; 非都市編定：交通用地,7,1,持分移轉,06500000
RPVNMLMJKHGGFID08DA,歸仁北段,31.00,都市：其他:道路用地,5,1,持分移轉,03120045
RPVNMLMJKHGGFID08DA,歸仁北段,122.00,都市：其他:道路用地,625,125,持分移轉,03290005
RPVNMLMJKHGGFID08DA,歸仁北段,20.00,都市：其他:道路用地,5,1,持分移轉,03370012
RPROMLOJKHGGFHD87DA,光華段,65.01,都市：其他:住宅區,1,1,全筆移轉,04830002
RPROMLOJKHGGFHD87DA,光華段,23.69,都市：其他:住宅區,3,1,持分移轉,04830004
RPSNMLKLJHGGFID77EA,龍船段,1030.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,10414,1030,持分移轉,05460002
RPSNMLKLJHGGFID77EA,龍船段,600.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,108451396,6248400,持分移轉,05460002
RPSNMLKLJHGGFID77EA,龍船段,170.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,10414,170,持分移轉,05460002
RPRNMLTJLHGGFDD97DA,南門段,8.86,都市：其他:住宅區,10000,110,持分移轉,09490000
RPSOMLLJKHGGFGD57DA,巷口段一小段,173.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,24820000
RPXNMLOJKHGGFHD38DA,光華段,31.61,都市：其他:住宅區,24,1,持分移轉,04830000
RPXNMLOJKHGGFHD38DA,光華段,53.16,都市：其他:住宅區,1,1,全筆移轉,04830033
RPSOMLLJKHGGFCD17DA,大林段,21.98,都市：其他:住宅區,1000,69,持分移轉,02520000
RPSOMLLJKHGGFCD17DA,大林段,2.76,都市：其他:細部計畫道路用地,1000,69,持分移轉,02520001
RPUNMLSJKHGGFDD18EA,番子厝段,1773.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,29460000
