編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLNKJIPFFAD08CB,新南段,26.89,都市：住,170000,764,持分移轉,00800005
RPWNMLNKJIPFFAD38CB,新南段,26.26,都市：住,170000,746,持分移轉,00800005
RPVNMLNKJIPFFAD28CB,新南段,26.26,都市：住,170000,746,持分移轉,00800005
RPROMLNKJIPFFAD97CB,新南段,34.67,都市：住,170000,985,持分移轉,00800005
RPQOMLNKJIPFFAD87CB,新南段,31.89,都市：住,170000,906,持分移轉,00800005
RPTOMLNKJIPFFAD18CB,新南段,34.92,都市：住,170000,992,持分移轉,00800005
RPSOMLNKJIPFFAD08CB,新南段,34.67,都市：住,170000,985,持分移轉,00800005
RPXNMLNKJIPFFAD48CB,新南段,32.14,都市：住,170000,913,持分移轉,00800005
RPUOMLNKJIPFFAD28CB,新南段,34.71,都市：住,170000,986,持分移轉,00800005
RPOOMLNKJIPFFAD67CB,新南段,31.89,都市：住,170000,906,持分移轉,00800005
RPXOMLNKJIPFFAD58CB,新南段,34.46,都市：住,170000,979,持分移轉,00800005
RPQNMLPKJIPFFBD08CB,理想段,27.92,都市：住,100000,722,持分移轉,17460000
RPTNMLPKJIPFFBD38CB,理想段,27.92,都市：住,100000,722,持分移轉,17460000
RPSNMLPKJIPFFBD28CB,理想段,27.92,都市：住,100000,722,持分移轉,17460000
RPRNMLPKJIPFFBD18CB,理想段,28.22,都市：住,100000,730,持分移轉,17460000
RPUNMLPKJIPFFBD48CB,理想段,23.78,都市：住,100000,615,持分移轉,17460000
RPPNMLPKJIPFFBD97CB,理想段,27.92,都市：住,100000,722,持分移轉,17460000
RPWNMLPKJIPFFBD68CB,理想段,23.78,都市：住,100000,615,持分移轉,17460000
RPVNMLPKJIPFFBD58CB,理想段,26.18,都市：住,100000,677,持分移轉,17460000
RPXNMLPKJIPFFBD78CB,理想段,27.92,都市：住,100000,722,持分移轉,17460000
RPOOMLPKJIPFFBD97CB,理想段,35.61,都市：住,100000,921,持分移轉,17460000
RPQOMLPKJIPFFBD18CB,理想段,23.78,都市：住,100000,615,持分移轉,17460000
RPPOMLPKJIPFFBD08CB,理想段,23.78,都市：住,100000,615,持分移轉,17460000
