編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWOMLLKJIPFFCE68CC,獅甲段,14.91,都市：商,,,,04190004
RPWOMLLKJIPFFBE58CC,意誠段,.00,都市：商,,,,01990000
RPSOMLLKJIPFFCE28CC,仁愛段,.00,都市：住,,,,02390000
RPSOMLLKJIPFFCE28CC,仁愛段,.00,都市：住,,,,02400000
RPSOMLLKJIPFFCE28CC,仁愛段,.00,都市：住,,,,02410000
RPUOMLLKJIPFFBE38CC,意誠段,.00,都市：商,,,,01990000
RPSOMLLKJIPFFCE28CC,仁愛段,.00,都市：住,,,,02420000
RPWNMLLKJIPFFDE68CC,三塊厝段,.00,都市：住,,,,11480009
RPROMLLKJIPFFDE28CC,三塊厝段,.00,都市：住,,,,11480009
RPPNMLLKJIPFFEE08CC,加昌段,14.99,都市：住,,,,12550000
RPPOMLLKJIPFFDE08CC,大順段,.00,都市：住,,,,04020007
RPPOMLLKJIPFFEE18CC,藍田中段,1781.52,都市：商,,,,01650000
RPPOMLLKJIPFFEE18CC,藍田中段,1553.15,都市：商,,,,01660000
RPPOMLLKJIPFFEE18CC,藍田中段,1609.21,都市：商,,,,01670000
RPTNMLLKJIPFFCE28CC,盛興段,14.37,都市：住,,,,14920000
RPUOMLLKJIPFFDE58CC,灣和段,.00,都市：住,,,,00990006
RPUQMLLKJIPFFEE88CC,莒光段一小段,60.00,都市：住,,,,02440002
RPVQMLLKJIPFFEE98CC,新庄段七小段,18.26,都市：住,,,,05750000
RPTPMLLKJIPFFDE58CC,獅頭段一小段,19.07,都市：住,,,,14520000
RPQOMLLKJIPFFAE87CC,青海段,21.08,都市：住,,,,01050000
RPSOMLLKJIPFFEE48CC,新光段,.00,都市：商,,,,03500000
RPXQMLLKJIPFFEE56CC,新光段,.00,都市：商,,,,03520000
RPWQMLLKJIPFFEE09CC,新華段,13.77,都市：住,,,,00260000
RPVPMLLKJIPFFFE98CC,後壁田段,273.12,都市：住,,,,01800003
RPTOMLLKJIPFFFE68CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPUNMLLKJIPFFCE38CC,盛興段,14.37,都市：住,,,,14920000
RPRNMLLKJIPFFIE68CC,中里段,447.00,都市：住,,,,11280000
RPXOMLLKJIPFFGE56CC,牛潮埔段,230.00,都市：工,,,,10780001
RPUNMLLKJIPFFIE98CC,三奶壇段,231.40,都市：其他:綠地,,,,03720002
RPXOMLLKJIPFFIE76CC,大社段,495.86,都市：住,,,,09190001
RPVOMLLKJIPFFIE56CC,興農段,.00,都市：住,,,,07940010
RPPPMLLKJIPFFIE68CC,仁德段,132.23,都市：農,,,,10620000
RPXOMLLKJIPFFCE78CC,愛群段,4.52,都市：商,,,,24590000
RPVPMLLKJIPFFIE66CC,仁雄段,363.31,都市：商,,,,03160000
RPRPMLLKJIPFFIE88CC,興工段,429.75,都市：住,,,,00010000
RPXPMLLKJIPFFIE86CC,三奶壇段,214.87,都市：其他:綠地,,,,03720002
RPSNMLLKJIPFFJE88CC,天福段,148.80,都市：工,,,,10180000
RPSQMLLKJIPFFEE68CC,新民段,.00,都市：商,,,,01730000
