編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLNLKHGGFAI47DA,坡道平面,0,,
RPTQMLOLKHGGFAI28DA,坡道平面,0,,
RPUNMLNJLHGGFAI87DA,坡道平面,0,,
RPVPMLOJLHGGFAI28DA,坡道平面,0,,
RPTOMLSKKHGGFAI38DA,坡道平面,0,,
RPSNMLMJLHGGFAI57DA,坡道平面,0,,
RPUOMLTKJHGGFAI48DA,坡道機械,0,,地下二樓
RPXOMLQLJHGGFAI58DA,坡道平面,0,,
RPROMLPLJHGGFAI87DA,坡道平面,0,,
RPPOMLRLJHGGFAI87DA,坡道平面,0,,
RPSPMLPKJHGGFAI97DA,坡道平面,0,,
RPTOMLKLJHGGFAI57DA,坡道平面,0,,
RPUOMLTLJHGGFAI58DA,坡道機械,0,,
RPSOMLOKJHGGFAI77DA,坡道平面,0,,
RPOPMLLKJHGGFAI17DA,坡道機械,0,,
RPQOMLLKJHGGFAI27DA,坡道平面,0,,
RPVNMLOJKHGGFAI08EA,坡道平面,500000,,
RPVOMLSLJHGGFAI58DA,坡道平面,0,,
RPROMLSJKHGGFAI08DA,坡道平面,0,,
RPPNMLQKKHGGFAI67DA,坡道平面,0,,
RPUNMLLJKHGGFAI57DA,一樓平面,0,,
RPTNMLKLJHGGFAI47DA,坡道機械,0,,
RPUNMLSKKHGGFAI48EA,坡道平面,0,,
RPOOMLMLJHGGFAI27DA,坡道機械,0,,
RPPNMLKLKHGGFAI17DA,坡道機械,0,,
RPPPMLQLJHGGFAI87DA,坡道機械,0,,
RPSOMLOLKHGGFAI97DA,坡道機械,0,,
RPROMLNJKHGGFAI67EA,坡道機械,0,,
RPUNMLOLKHGGFAI18EA,升降機械,0,,
RPPPMLOLKHGGFAI87EA,坡道機械,0,,
RPWNMLNLKHGGFAI18DA,坡道平面,600000,37.52,地下一樓
RPXNMLNLKHGGFAI28DA,坡道平面,600000,37.52,地下一樓
RPRNMLMLKHGGFAI57DA,坡道機械,0,,
RPVNMLNJLHGGFAI97DA,坡道機械,0,,
RPTNMLQLKHGGFAI18DA,升降機械,0,,
RPUNMLPJLHGGFAI08DA,坡道平面,0,,
RPTOMLSJLHGGFAI38DA,坡道平面,0,,
RPSOMLLLKIPFFAI58DA,坡道機械,0,,地下一樓
