編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPROMLTKJIPFFBJ76CC,坡道平面,0,,地下三樓
RPXPMLNKJIPFFBJ86CC,坡道機械,0,,
RPPOMLTKJIPFFBJ56CC,坡道機械,0,,
RPXPMLSKJIPFFBJ37CC,坡道平面,0,,
RPVPMLNKJIPFFBJ66CC,坡道機械,0,,
RPVPMLNKJIPFFBJ66CC,坡道機械,0,,
RPSRMLKLJIPFFBJ98CC,坡道平面,0,64.22,
RPOQMLQLJIPFFBJ09CC,坡道平面,0,,
RPXPMLQLJIPFFBJ27CC,坡道平面,0,,
RPOOMLPLJIPFFBJ78CC,坡道平面,0,,
RPWNMLPLJIPFFBJ86CC,坡道平面,0,,
RPQQMLQLJIPFFBJ66CC,坡道機械,0,,
RPUPMLQLJIPFFBJ96CC,坡道平面,0,,
RPPPMLRLJIPFFBJ56CC,坡道平面,2000,29.26,
RPXOMLLJKIPFFBJ56CC,坡道平面,0,,
RPXRMLSJKIPFFCJ67CC,坡道平面,0,27.33,
RPQPMLNJKIPFFBJ78CC,坡道平面,0,33.73,
RPXNMLRJKIPFFBJ07CC,坡道平面,0,32.73,
RPWNMLRJKIPFFBJ96CC,升降機械,0,,
RPWNMLRJKIPFFBJ96CC,升降機械,0,,
RPVNMLRJKIPFFBJ86CC,坡道平面,0,,
RPVNMLRJKIPFFBJ86CC,坡道平面,0,,
RPPOMLRJKIPFFBJ98CC,坡道平面,0,37.64,
RPPOMLRJKIPFFBJ98CC,坡道平面,0,,
RPPOMLRJKIPFFBJ98CC,坡道平面,0,29.98,
RPQNMLOKKIPFFBJ78CC,坡道平面,0,28.17,地下一樓
RPOOMLRJKIPFFBJ88CC,坡道平面,0,30.90,
RPOOMLRJKIPFFBJ88CC,坡道平面,0,30.90,
RPOOMLRJKIPFFBJ88CC,坡道平面,0,30.90,
RPOOMLRJKIPFFBJ88CC,坡道平面,0,30.90,
RPQOMLOKKIPFFBJ88CC,坡道機械,0,18.82,
RPPOMLOKKIPFFBJ78CC,坡道平面,0,29.02,
RPOOMLOKKIPFFDJ88CC,其他,0,,
RPWPMLOKKIPFFBJ96CC,坡道平面,0,,
RPWPMLOKKIPFFBJ96CC,坡道平面,0,,
RPTNMLRKKIPFFDJ96CC,坡道平面,0,,地下一樓
RPPOMLRKKIPFFBJ09CC,坡道平面,0,,
RPPOMLRKKIPFFBJ09CC,坡道平面,0,,
RPUUMLRKKIPFFBJ57CC,坡道機械,0,18.82,
RPVPMLNLKIPFFBJ86CC,坡道平面,0,,
RPUPMLNLKIPFFBJ76CC,坡道平面,0,,
RPVPMLLMKIPFFBJ76CC,坡道平面,0,18.69,
RPVPMLLMKIPFFBJ76CC,坡道平面,0,18.69,
RPUPMLQJJHGGFBJ48CC,坡道平面,0,31.34,
RPUPMLSJJHGGFBJ68CC,坡道平面,0,,
RPWNMLLKJHGGFBJ08CC,坡道機械,0,,地下一樓
RPWNMLLKJHGGFBJ08CC,坡道機械,0,,地下一樓
RPQPMLPKJHGGFBJ08CC,坡道機械,0,,
RPUPMLPKJHGGFBJ48CC,坡道平面,0,,
RPWNMLMKJHGGFBJ18CC,坡道平面,0,34.85,地下二樓
RPWNMLMKJHGGFBJ18CC,坡道平面,0,34.85,地下二樓
RPORMLSKJHGGFBJ38CC,坡道平面,0,,
RPUPMLPLJHGGFCJ68CC,坡道平面,0,,
RPTPMLPLJHGGFBJ48CC,坡道平面,0,38.66,
RPRPMLPLJHGGFBJ28CC,坡道平面,0,,地下四樓
RPRPMLPLJHGGFBJ28CC,坡道平面,0,,地下四樓
RPQOMLRLJHGGFBJ28CC,坡道平面,0,,
RPQOMLRLJHGGFBJ28CC,坡道平面,0,,
RPPOMLRLJHGGFBJ18CC,坡道平面,0,,
RPPOMLRLJHGGFBJ18CC,坡道平面,0,,
RPROMLRLJHGGFBJ38CC,坡道平面,0,,
RPSOMLRLJHGGFBJ48CC,坡道平面,0,,
RPPPMLLJKHGGFBJ57CC,坡道平面,0,,
RPPPMLLJKHGGFBJ57CC,坡道平面,0,,
RPPPMLPJKHGGFBJ97CC,坡道平面,0,26.87,
RPSNMLOJKHGGFBJ97CC,坡道平面,0,,
RPSQMLSJKHGGFBJ68CC,坡道平面,0,38.62,
