編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLNJLHGGFGN58DA,51,111.72,住家用,鐵筋加強磚造,58年12月30日,二層,一層 二層 騎樓,全筆移轉
RPQNMLRKKHGGFCN58DA,40,96.86,住商用,鋼筋混凝土加強磚造,69年8月5日,二層,一層 二層 騎樓,全筆移轉
RPTNMLTJKHGGFDN56EA,31,75.86,住商用,鋼筋混凝土造,78年10月3日,二層,一層 二層 騎樓,全筆移轉
RPSNMLRKKHGGFBN68DA,41,86.40,住家用,加強磚造,69年6月11日,二層,一層 二層 騎樓,全筆移轉
RPPNMLTKKHGGFGN09DA,35,84.09,住家用,加強磚造,75年4月25日,二層,一層 二層 電梯樓梯間,持分移轉
RPWNMLLJKHGGFAN28DA,47,85.02,住家用,鋼筋混凝土加強磚造,62年11月20日,二層,一層 二層,全筆移轉
RPQNMLOLKHGGFDN48DA,4,452.04,住宅、店舖、停車空間,鋼筋混凝土造,105年10月4日,四層,一層 二層 三層 四層 陽台 騎樓 見其他登記事項,全筆移轉
RPPNMLLKKHGGFGN28DA,26,291.46,住家用,鋼筋混凝土造,84年7月10日,三層,一層 二層 三層 騎樓,全筆移轉
RPSNMLNLKHGGFGN88DA,24,219.19,住家用,鋼筋混凝土造,85年11月1日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPRNMLOLKHGGFDN58DA,32,103.90,住家用,加強磚造,77年8月4日,二層,一層 二層 屋頂突出物,全筆移轉
RPUNMLOLKHGGFBN68DA,26,140.61,住家用,鋼筋混凝土造,84年5月16日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPSNMLPLKHGGFBN58DA,35,147.48,住商用,鋼筋混凝土造,74年12月20日,三層,一層 二層 三層 騎樓,全筆移轉
RPSNMLOLKHGGFAN38DA,41,89.88,住家用,加強磚造,69年5月26日,二層,一層 二層 騎樓,全筆移轉
RPRNMLOLKHGGFAN28DA,26,97.67,住家、梯間,鋼筋混凝土造,83年8月31日,十二層,十一層 陽台 花台,全筆移轉
RPRNMLOLKHGGFAN28DA,26,10.77,停車場、避難室、梯間、門廳、車道,鋼筋混凝土造,83年8月31日,十二層,,持分移轉
RPQNMLQLKHGGFAN38DA,12,207.83,住宅、停車空間,鋼筋混凝土造,97年9月11日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓,全筆移轉
RPXNMLPLKHGGFAN98DA,40,16.61,走廊及梯間,鋼筋混凝土造,70年8月8日,五層,,持分移轉
RPXNMLPLKHGGFAN98DA,40,64.80,住家用,鋼筋混凝土造,70年8月8日,五層,五層,全筆移轉
RPPNMLOLKHGGFDN38DA,6,284.34,住宅,鋼筋混凝土造,104年5月11日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPQOMLNLKHGGFAN18DA,15,145.29,住宅、停車空間,鋼筋混凝土造,95年5月8日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLNLKHGGFAN38DA,24,191.28,住家用,鋼筋混凝土造,86年6月27日,四層,一層 二層 三層 四層 陽台 平台,全筆移轉
RPSNMLMLKHGGFAN18DA,49,40.00,住家用,磚造,60年9月1日,一層,一層,全筆移轉
RPPNMLNJLHGGFGN48DA,28,118.49,住家用,鋼筋混凝土造,82年5月21日,三層,一層 二層 三層,全筆移轉
RPRNMLSKKHGGFAN58DA,8,300.66,住宅、騎樓、停車空間,鋼筋混凝土造,102年2月6日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓,全筆移轉
RPVNMLPLKHGGFBN88DA,,141.72,住家用,鋼筋混凝土造,109年11月13日,四層,一層 二層 三層 四層 陽台,持分移轉
RPVNMLPLKHGGFBN88DA,,141.72,住家用,鋼筋混凝土造,109年11月13日,四層,一層 二層 三層 四層 陽台,持分移轉
RPOOMLOJLHGGFAN97DA,,59.36,集合住宅,鋼筋混凝土造,109年11月19日,十四層,七層 陽台,全筆移轉
RPOOMLOJLHGGFAN97DA,,44.22,停車空間，緊急發電機室，電信室，消防機械室，安全梯，排煙室，緊急昇降機間，停車空間兼防空避難室，台電配電室，電錶室，水箱，管委會使用空間，梯廳，戶外安全梯，管委會空間，公共服務空間，水錶室，瓦斯錶室，電梯機械室,鋼筋混凝土造,109年11月19日,十四層,,持分移轉
RPSNMLMJLHGGFCN28DA,,149.21,住宅、樓梯間,鋼筋混凝土造,109年8月31日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPSNMLOLKHGGFEN78DA,25,338.25,住家用,鋼筋混凝土造,84年12月30日,四層,一層 二層 三層 四層 陽台 電梯樓梯間,全筆移轉
RPRNMLMJLHGGFGN58DA,18,140.85,住家用,鋼筋混凝土造,92年5月7日,三層,一層 二層 三層 陽台,全筆移轉
RPQOMLNJLHGGFFN58DA,43,110.52,住商用,加強磚造,67年2月4日,二層,一層 二層 騎樓,全筆移轉
RPQOMLMJLHGGFGN58DA,30,80.44,住商用,鋼筋混凝土造,80年1月22日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPRNMLNJLHGGFFN68EA,40,53.76,住商用,加強磚造,69年12月20日,二層,一層 二層 騎樓,持分移轉
RPVNMLMJLHGGFBN48DA,,121.00,住家用,鋼筋混凝土造,109年11月6日,三層,一層 二層 三層 陽台,全筆移轉
RPTOMLPJLHGGFAN58DA,42,105.33,住家用,加強磚造,67年11月1日,二層,一層 二層 騎樓,全筆移轉
RPWNMLPJLHGGFAN78DA,12,53.30,集合住宅,鋼筋混凝土造,98年8月21日,七層,二層 陽台,持分移轉
RPWNMLPJLHGGFAN78DA,12,33.42,防空避難室、停車空間、機電設備空間、守衛室、樓電梯間、機房、水箱、社區遊憩空間、社區川廊、管委會辦公室等等,鋼筋混凝土造,98年8月21日,七層,,持分移轉
RPXOMLOJLHGGFAN88DA,44,68.04,住家用,鋼筋混凝土加強磚造,65年8月16日,二層,一層 二層,全筆移轉
RPTOMLOJLHGGFAN48DA,3,152.44,騎樓、店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,107年4月30日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 見其他登記事項,持分移轉
RPTOMLOJLHGGFAN48DA,3,152.44,騎樓、店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,107年4月30日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 見其他登記事項,持分移轉
RPUNMLOJLHGGFCN68DA,27,73.32,住家用,鋼筋混凝土造,83年3月28日,三層,一層 二層 三層 騎樓,持分移轉
RPUNMLOJLHGGFCN68DA,27,73.32,住家用,鋼筋混凝土造,83年3月28日,三層,一層 二層 三層 騎樓,持分移轉
RPVNMLPJLHGGFCN88DA,31,124.27,住家用,鋼筋混凝土造,79年3月20日,四層,一層 二層 三層 四層 騎樓,持分移轉
RPPOMLNJLHGGFDN28DA,32,147.49,住商用,鋼筋混凝土造,77年12月7日,三層,一層 二層 三層 騎樓,全筆移轉
RPPNMLNJLHGGFDN18DA,41,77.92,住家用,加強磚造,69年5月1日,二層,一層 二層,全筆移轉
RPUNMLPJKHGGFEN88DA,40,165.06,住商用,鋼筋混凝土加強磚造,70年1月30日,三層,一層 二層 三層 騎樓,全筆移轉
RPQNMLPJKHGGFFN58DA,7,247.91,住宅，停車空間,鋼筋混凝土造,103年7月1日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPSNMLSJLHGGFCN88DA,1,166.60,騎樓、住宅、樓梯間,鋼筋混凝土造,109年5月19日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPROMLOJLHGGFAN28DA,27,70.74,住家用,鋼筋混凝土造,82年11月10日,十二層,六層 陽台 花台,全筆移轉
