編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVPMLMKJIPFFAO96CC,23,24.59,住家用,鋼筋混凝土造,86年7月15日,十二層,,
RPQQMLMKJIPFFAO56CC,,52.92,集合住宅,鋼筋混凝土造,109年6月9日,十四層,,
RPVPMLMKJIPFFAO96CC,23,4.50,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQQMLMKJIPFFAO56CC,,12.15,共有部分,鋼筋混凝土造,109年6月9日,十四層,,
RPVPMLMKJIPFFAO96CC,23,.11,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPVPMLMKJIPFFAO96CC,23,9.01,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQQMLMKJIPFFAO56CC,,7.28,共有部分,鋼筋混凝土造,109年6月9日,十四層,,
RPRQMLQKJIPFFAO07CC,26,97.92,住家用,鋼筋混凝土造,83年8月8日,七層,,
RPRQMLQKJIPFFAO07CC,26,11.96,共有部分,鋼筋混凝土造,83年8月8日,七層,,
RPRQMLQKJIPFFAO07CC,26,38.58,共有部分,鋼筋混凝土造,83年8月8日,七層,,
RPSQMLQKJIPFFAO17CC,21,30.60,住家用,鋼筋混凝土造,89年4月17日,十四層,,
RPSQMLQKJIPFFAO17CC,21,8.79,共有部分,鋼筋混凝土造,89年4月17日,十四層,,
RPXQMLQKJIPFFAO67CC,24,291.26,住商用,鋼筋混凝土造,86年3月15日,五層,,
RPSRMLQKJIPFFAO27CC,,107.91,住家用,鋼筋混凝土造,,七層,,
RPSRMLQKJIPFFAO27CC,26,42.77,共有部分,鋼筋混凝土造,83年5月28日,七層,,
RPTRMLQKJIPFFAO37CC,35,74.11,住家用,鋼筋混凝土造,75年1月6日,五層,,
RPTRMLQKJIPFFAO37CC,35,11.67,共有部分,鋼筋混凝土造,75年1月6日,五層,,
RPPRMLRKJIPFFAO07CC,2,52.76,集合住宅,鋼筋混凝土造,107年5月23日,十五層,,
RPPRMLRKJIPFFAO07CC,2,11.09,共有部分,鋼筋混凝土造,107年5月23日,十五層,,
RPPRMLRKJIPFFAO07CC,2,4.52,共有部分,鋼筋混凝土造,107年5月23日,十五層,,
RPPRMLRKJIPFFAO07CC,2,10.41,共有部分,鋼筋混凝土造,107年5月23日,十五層,,
RPVNMLSKJIPFFAO37CC,12,29.96,集合住宅,鋼筋混凝土造,97年11月8日,十一層,,
RPVNMLSKJIPFFAO37CC,12,6.07,樓梯間,鋼筋混凝土造,97年11月8日,十一層,,
RPVNMLSKJIPFFAO37CC,12,8.48,防空避難室兼停車空間、騎樓、樓梯間、電梯機房、水箱,鋼筋混凝土造,97年11月8日,十一層,,
RPQQMLTKJIPFFAO27CC,28,81.36,住家用,鋼筋混凝土造,81年12月28日,七層,,
RPQQMLTKJIPFFAO27CC,28,21.67,共有部分,鋼筋混凝土造,81年12月28日,七層,,
RPOOMLTKJIPFFAO86CC,44,617.97,工業用,加強磚造,65年9月17日,二層,,
RPPPMLKLJIPFFAO88CC,,70.22,住家用,加強磚造,,二層,,
RPVOMLKLJIPFFAO76CC,,90.60,集合住宅,鋼筋混凝土造,109年7月14日,十五層,,
RPSPMLKLJIPFFAO56CC,6,68.60,集合住宅,鋼筋混凝土造,103年8月29日,十五層,,
RPSPMLKLJIPFFAO56CC,6,17.63,共有部分,鋼筋混凝土造,103年8月29日,十五層,,
RPVOMLKLJIPFFAO76CC,,17.90,共有部分,鋼筋混凝土造,109年7月14日,十五層,,
RPSPMLKLJIPFFAO56CC,6,48.37,共有部分,鋼筋混凝土造,103年8月29日,十五層,,
