編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRQMLQKJIPFFAO07CC,坡道平面,0,,
RPSPMLKLJIPFFAO56CC,坡道平面,0,35.44,
RPVOMLKLJIPFFAO76CC,坡道平面,0,,
RPUPMLLJKIPFFAO76CC,坡道機械,0,,
RPPQMLLJKIPFFAO98CC,坡道平面,0,,
RPORMLKKKIPFFAO98CC,坡道平面,0,,
RPSPMLMLKIPFFAO86CC,坡道平面,0,,
RPVOMLSLKIPFFAO67CC,坡道平面,0,,
RPOPMLKMKIPFFAO09DC,坡道平面,0,43.21,
RPRUMLMKJHGGFAO78CC,坡道平面,0,,
RPUOMLNKJHGGFAO58CC,坡道平面,0,,
RPTQMLPKJHGGFAO88CC,坡道平面,0,27.10,
RPQOMLLLJHGGFAO08CC,一樓平面,0,,一樓
RPQOMLLLJHGGFAO08CC,一樓平面,0,,一樓
RPSPMLLLJHGGFAO38CC,坡道平面,2000,32.90,
RPWQMLMLJHGGFAO98CC,一樓平面,0,,
RPWQMLRKJIPFFAO67CC,坡道平面,0,21.68,
RPPNMLTJJHGGFAO48CC,坡道平面,2625,,
RPPNMLTJJHGGFAO48CC,坡道平面,2625,,
RPPNMLTJJHGGFAO48CC,坡道平面,2625,,
RPOOMLOJKHGGFAO08CC,坡道平面,0,,
RPPTMLTJKHGGFAO56CC,坡道平面,670,37.43,
