編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLLKJHGGFAP08EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉,05880000
RPWNMLLKJHGGFAP68EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉,05880000
RPXOMLLKJHGGFAP88EB,光明段,25.35,非都市：工業區 ; 非都市編定：丁種建築用地,10000,342,持分移轉,05880000
RPTOMLLKJHGGFAP48EB,光明段,31.36,非都市：工業區 ; 非都市編定：丁種建築用地,10000,423,持分移轉,05880000
RPQNMLLKJHGGFAP08EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉,05880000
RPTOMLSJJHGGFAP09EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉,05880000
RPOOMLLKJHGGFAP97EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉,05880000
RPPOMLSJJHGGFAP68EB,光明段,36.18,非都市：工業區 ; 非都市編定：丁種建築用地,10000,488,持分移轉,05880000
RPWOMLLKJHGGFAP78EB,光明段,25.35,非都市：工業區 ; 非都市編定：丁種建築用地,10000,342,持分移轉,05880000
RPVOMLLKJHGGFAP68EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPXPMLLKJHGGFAP98EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉,05880000
RPWPMLLKJHGGFAP88EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPWNMLMKJHGGFAP78EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPSNMLMKJHGGFAP38EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉,05880000
RPOQMLLKJHGGFAP18EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉,05880000
RPUPMLLKJHGGFAP68EB,光明段,21.72,非都市：工業區 ; 非都市編定：丁種建築用地,10000,293,持分移轉,05880000
RPPQMLLKJHGGFAP28EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉,05880000
RPRNMLMKJHGGFAP28EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉,05880000
RPTNMLMKJHGGFAP48EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPUNMLMKJHGGFAP58EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPXNMLMKJHGGFAP88EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPPOMLMKJHGGFAP18EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPROMLMKJHGGFAP38EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPSOMLMKJHGGFAP48EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉,05880000
RPOOMLMKJHGGFAP08EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPQOMLMKJHGGFAP28EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉,05880000
RPPNMLMLJHGGFAP18EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉,05880000
