編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLRKJIPFFDP87CC,弘道段,100.00,都市：住,,,,06560283
RPTNMLLKJIPFFAP56CC,林頭段,59.00,都市：住,,,,05960007
RPTNMLLKJIPFFAP56CC,林頭段,63.00,都市：住,,,,06210014
RPTNMLPLJIPFFAP07CC,海豐崙段海豐崙小段,26.00,都市：住,,,,04020004
RPQNMLLJKIPFFAP88CC,嘉東段,237.99,都市：商,,,,01560000
RPSNMLKLJIPFFAP09CC,海豐崙段朱丹灣小段,629.91,都市：住,,,,02730000
RPSNMLKLJIPFFAP09CC,海豐崙段朱丹灣小段,358.76,都市：住,,,,02760000
RPPNMLSLJIPFFDP27CC,虎新段,341.97,都市：商,,,,02450000
RPQNMLLKKIPFFCP66DC,新街段,2547.00,都市：農,,,,00420000
RPQNMLLKKIPFFCP66DC,新街段,1388.00,都市：農,,,,00430000
RPQNMLTLKIPFFBP37CC,中興段,78.00,都市：住,,,,02340000
RPUNMLTLKIPFFAP67CC,秀才段,191.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPQOMLSKKIPFFAP17CC,大崙段茄苳腳小段,88.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320204
RPWNMLPLKIPFFAP47CC,斗六段,1068.00,都市：商,,,,02770000
RPOOMLSKKIPFFAP96CC,大崙段茄苳腳小段,96.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320189
RPPOMLSKKIPFFAP07CC,大崙段茄苳腳小段,88.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320203
RPTNMLTLKIPFFAP57CC,秀才段,191.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPTNMLQJJHGGFAP68CC,大潭段社口小段,84.00,都市：住,,,,01390008
RPPOMLLMKIPFFAP56CC,溝子埧段溝子埧小段,49.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06500021
RPTNMLQJJHGGFAP68CC,大潭段社口小段,8.00,都市：住,,,,01400052
RPSNMLSLKIPFFAP37CC,大崙段茄苳腳小段,127.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320133
RPPNMLTLKIPFFAP37EC,斗六段,88.00,都市：住,,,,00250079
RPOPMLRJJHGGFAP48CC,秀才段,191.04,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPQPMLRJJHGGFAP68CC,秀才段,191.04,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPVOMLOKJHGGFAP98DC,溝子埧段溝子埧小段,49.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06500018
RPPPMLRJJHGGFAP58CC,秀才段,191.04,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPXNMLTKJHGGFAP86CC,大崙段茄苳腳小段,92.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320013
RPVNMLTKJHGGFAP66CC,大崙段茄苳腳小段,88.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320204
RPQNMLLKJHGGFAP97CC,秀才段,191.04,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPTNMLLKJHGGFAP28CC,大崙段茄苳腳小段,88.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320204
RPPNMLLKJHGGFBP97CC,明昌段,48.00,都市：住,,,,17510010
RPOOMLTKJHGGFAP68CC,大崙段茄苳腳小段,92.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320013
RPSNMLQLJHGGFAP78CC,秀才段,191.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPVNMLQLJHGGFAP09CC,秀才段,191.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPWNMLQLJHGGFAP56CC,秀才段,191.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPUNMLQLJHGGFAP98CC,秀才段,191.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
RPSOMLOJKHGGFCP88DC,新街段,387.01,都市：農,,,,00450000
RPPOMLOJKHGGFCP58DC,新街段,420.01,都市：農,,,,00470000
RPRNMLLJKHGGFAP08CC,大崙段茄苳腳小段,127.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320133
RPWNMLOJKHGGFCP56DC,新街段,371.53,都市：農,,,,00440000
RPOOMLMJKHGGFAP97CC,大崙段茄苳腳小段,92.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320013
RPPNMLPJKHGGFAP28CC,大崙段茄苳腳小段,88.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01320204
RPPNMLSJKHGGFAP58CC,秀才段,191.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03800000
