鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
東石鄉,土地,下揖子寮段下揖小段311地號,1323.0,,一般農業區,農牧用地,1100303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,529,,0.0,0,,RPRNMLTJLHGGFBQ09DA,0.0,0.0,0.0,無,
朴子市,建物,黎明路１００號,0.0,,,,1100201,土地0建物1車位0,全,二層,透天厝,住商用,鐵骨造,0731126,95.14,4,1,2,有,無,100000,1051,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLNJKHGGFBQ68DA,95.15,0.0,0.0,無,
新港鄉,土地,埤子頭段埤子頭小段287地號,3983.0,,特定農業區,農牧用地,1100204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6373000,1600,,0.0,0,受債權債務關係影響或債務抵償；,RPPNMLTJKHGGFCQ98EA,0.0,0.0,0.0,無,0001
朴子市,土地,鎮安段1291地號,17.0,住,,,1100202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,29412,,0.0,0,,RPSNMLSJKHGGFBQ98DA,0.0,0.0,0.0,無,
朴子市,土地,牛挑灣段松梅小段1791地號,13.0,,特定農業區,交通用地,1100203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,62400,4800,,0.0,0,,RPTNMLTJKHGGFBQ56DA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),南通路三段９６６號,48.0,住,,,1100201,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,0610131,113.88,3,1,2,有,無,1200000,10537,,0.0,0,,RPQNMLMJKHGGFBQ18DA,113.88,0.0,0.0,無,
太保市,土地,南新段843-2地號,581.36,工,,,1100204,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8464700,14560,,0.0,0,,RPUNMLRKKHGGFDQ86EA,0.0,0.0,0.0,無,
民雄鄉,土地,頂寮段中廣小段524-2地號,2457.14,,特定農業區,農牧用地,1100203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2553754,1039,,0.0,0,,RPQNMLSKKHGGFCQ09EA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),興南村４鄰建國路三段２４３之２號,84.32,都市：其他:住,,,1100202,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0830916,220.9,5,2,4,有,無,8800000,39837,,0.0,0,,RPTNMLRKKHGGFCQ66EA,206.71,14.19,0.0,無,
大林鎮,土地,明和段771-4地號,37.8,都市：其他:住,,,1100202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,13228,,0.0,0,,RPQNMLTKKHGGFCQ56EA,0.0,0.0,0.0,無,
番路鄉,土地,南下坑段1221地號,65.5,,一般農業區,丙種建築用地,1100205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,792400,12098,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKKHGGFEQ66EA,0.0,0.0,0.0,無,
東石鄉,土地,東石段800地號,1838.26,,特定專用區,養殖用地,1100203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5560720,3025,,0.0,0,,RPSNMLNJKHGGFBQ48DA,0.0,0.0,0.0,無,
東石鄉,土地,下揖子寮段184-3地號,13.12,,鄉村區,乙種建築用地,1100204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43673,3329,,0.0,0,,RPRNMLPJKHGGFBQ58DA,0.0,0.0,0.0,無,
朴子市,土地,菜埔段永和小段541地號,105.0,,特定農業區,農牧用地,1100205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,698775,6655,,0.0,0,,RPVNMLSKKHGGFBQ76DA,0.0,0.0,0.0,無,
鹿草鄉,土地,鹿西段976地號,95.61,住,,,1100201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2435234,25470,,0.0,0,,RPRNMLSKKHGGFDQ66EA,0.0,0.0,0.0,無,
