編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLNJKHGGFBQ68DA,36,95.14,住商用,鐵骨造,73年11月26日,二層,一層 二層,持分移轉
RPQNMLMJKHGGFBQ18DA,49,113.88,住家用,鐵筋混凝土磚造,61年1月31日,三層,一層 二層 三層 騎樓,全筆移轉
RPUNMLMLKHGGFCQ98EA,1,86.22,住宅、梯間,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,持分移轉
RPUNMLMLKHGGFCQ98EA,1,86.22,住宅、梯間,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,持分移轉
RPTNMLRKKHGGFCQ66EA,26,220.90,住商用,鋼筋混凝土造,83年9月16日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間 見其他登記事項,全筆移轉
RPPNMLOLKHGGFBQ48DA,40,203.91,住商用,鋼筋混凝土加強磚造,70年6月19日,三層,一層 二層 三層 騎樓 廚房,全筆移轉
RPQOMLOLKHGGFCQ78DA,37,117.00,住家用,鋼筋混凝土加強磚造,73年5月7日,二層,一層 二層 騎樓,全筆移轉
RPRNMLOLKHGGFCQ78DA,28,102.92,集合住宅,鋼筋混凝土造,82年2月17日,五層,五層 陽台,全筆移轉
RPRNMLOLKHGGFCQ78DA,28,9.60,共有部分,鋼筋混凝土造,82年2月17日,五層,,持分移轉
RPTNMLNJLHGGFDQ98EA,27,158.48,住家用,鋼筋混凝土造,83年1月7日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPRNMLOJLHGGFEQ88DA,39,70.50,住家用,磚造,70年10月8日,一層,一層,全筆移轉
RPXNMLOJLHGGFCQ66DA,40,98.53,住家用,鋼筋混凝土加強磚造,70年7月10日,二層,一層 二層 電梯樓梯間,全筆移轉
RPRNMLSJLHGGFBQ98DA,38,145.10,住家用,鋼筋混凝土加強磚造,71年9月14日,三層,一層 二層 三層 騎樓,全筆移轉
RPRNMLPLKHGGFDQ98DA,28,196.30,住家用,鋼筋混凝土造,82年3月6日,四層,一層 二層 三層 四層 地下層 見其他登記事項,全筆移轉
RPWNMLOLKHGGFDQ76DA,17,23.64,住家用,鋼筋混凝土造,93年8月3日,五層,一層 陽台,全筆移轉
RPWNMLOLKHGGFDQ76DA,17,1.22,樓梯間,鋼筋混凝土造,93年8月3日,五層,,持分移轉
RPWNMLOLKHGGFDQ76DA,17,2.94,走廊,鋼筋混凝土造,93年8月3日,五層,,持分移轉
RPQNMLQLKHGGFDQ98DA,43,49.32,住家用,磚造,66年12月25日,一層,一層 騎樓,全筆移轉
RPWNMLOLKHGGFDQ76DA,17,1.83,樓梯間、機房,鋼筋混凝土造,93年8月3日,五層,,持分移轉
RPWNMLOLKHGGFDQ76DA,17,.89,車道、停車空間,鋼筋混凝土造,93年8月3日,五層,,持分移轉
RPWNMLOLKHGGFDQ76DA,17,.27,停車空間,鋼筋混凝土造,93年8月3日,五層,,持分移轉
