編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLTJLHGGFBQ09DA,下揖子寮段下揖小段,1323.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03110000
RPPNMLTKKHGGFEQ66EA,南下坑段,65.50,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,12210000
RPSNMLSJKHGGFBQ98DA,鎮安段,17.00,都市：其他:住宅區,1,1,全筆移轉,12910000
RPTNMLTJKHGGFBQ56DA,牛挑灣段松梅小段,13.00,非都市：特定農業區 ; 非都市編定：交通用地,62,13,持分移轉,17910000
RPSNMLNJKHGGFBQ48DA,東石段,1654.43,非都市：特定專用區 ; 非都市編定：養殖用地,90,18,持分移轉,08000000
RPSNMLNJKHGGFBQ48DA,東石段,183.83,非都市：特定專用區 ; 非都市編定：養殖用地,90,2,持分移轉,08000000
RPQNMLMJKHGGFBQ18DA,內厝段,48.00,都市：其他:住宅區,1,1,全筆移轉,08050000
RPRNMLPJKHGGFBQ58DA,下揖子寮段,13.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,256,160,持分移轉,01840003
RPRNMLSKKHGGFDQ66EA,鹿西段,95.61,都市：其他:住宅區,1,1,全筆移轉,09760000
RPTNMLSKKHGGFDQ86EA,鹿西段,93.14,都市：其他:住宅區,1,1,全筆移轉,09890000
RPSNMLSKKHGGFDQ76EA,鹿西段,58.02,都市：其他:住宅區,1,1,全筆移轉,10020000
RPTNMLSKKHGGFDQ86EA,鹿西段,71.34,都市：其他:住宅區,1,1,全筆移轉,09920000
RPTNMLSKKHGGFDQ86EA,鹿西段,27.68,都市：其他:農業區,1,1,全筆移轉,10140000
RPTNMLSKKHGGFDQ86EA,鹿西段,3.50,都市：其他:農業區,1,1,全筆移轉,10170000
RPVNMLSKKHGGFBQ76DA,𧃽菜埔段永和小段,24.00,非都市：特定農業區 ; 非都市編定：農牧用地,244,24,持分移轉,05410000
RPVNMLSKKHGGFBQ76DA,𧃽菜埔段永和小段,22.00,非都市：特定農業區 ; 非都市編定：農牧用地,244,22,持分移轉,05410000
RPVNMLSKKHGGFBQ76DA,𧃽菜埔段永和小段,18.00,非都市：特定農業區 ; 非都市編定：農牧用地,244,18,持分移轉,05410000
RPVNMLSKKHGGFBQ76DA,𧃽菜埔段永和小段,15.00,非都市：特定農業區 ; 非都市編定：農牧用地,244,15,持分移轉,05410000
RPVNMLSKKHGGFBQ76DA,𧃽菜埔段永和小段,12.00,非都市：特定農業區 ; 非都市編定：農牧用地,244,12,持分移轉,05410000
RPVNMLSKKHGGFBQ76DA,𧃽菜埔段永和小段,8.00,非都市：特定農業區 ; 非都市編定：農牧用地,244,8,持分移轉,05410000
RPVNMLSKKHGGFBQ76DA,𧃽菜埔段永和小段,6.00,非都市：特定農業區 ; 非都市編定：農牧用地,244,6,持分移轉,05410000
RPQNMLLLKHGGFBQ28DA,樹林頭段林頭小段,1496.22,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05230000
RPVNMLMLKHGGFDQ09DA,安家厝段,3459.21,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04680001
RPVNMLMLKHGGFDQ09DA,安家厝段,25.02,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,04700001
