編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOQMLRKJIPFFAT47DC,37,104.14,住家用,加強磚造,72年12月7日,二層,,
RPOOMLMKJIPFFAT66CC,11,1877.16,見其他登記事項,見其他登記事項,98年10月22日,二層,,
RPRRMLRJKIPFFDT08CC,38,154.13,店鋪　住宅,鋼筋混凝土造,71年9月27日,三層,,
RPVNMLTJKIPFFAT97CC,23,450.38,托兒所,鋼造,86年10月15日,二層,,
RPWPMLPKKIPFFCT28DC,4,30.45,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPWOMLNLJIPFFAT67CC,1,40.00,集合住宅,鋼筋混凝土造,108年6月25日,三層,,
RPXPMLPKKIPFFCT38DC,4,30.45,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPUNMLKMJIPFFAT17CC,18,17.46,住家用,鋼骨造,91年12月30日,一層,,
RPOQMLPKKIPFFCT57DC,4,29.86,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPPQMLPKKIPFFCT67DC,4,29.86,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPTQMLPKKIPFFCT08DC,4,30.90,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPRQMLPKKIPFFCT87DC,4,31.66,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPWQMLPKKIPFFCT38DC,4,30.21,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPVQMLPKKIPFFCT28DC,4,30.90,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPXQMLPKKIPFFCT48DC,4,30.21,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPSQMLPKKIPFFCT97DC,4,31.66,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPRNMLPKKIPFFCT47CC,4,30.84,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPSNMLPKKIPFFCT57CC,4,30.84,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPUQMLPKKIPFFCT18DC,4,30.90,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPTNMLPKKIPFFCT67CC,4,31.08,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPROMLPKKIPFFCT57CC,4,30.94,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPTOMLPKKIPFFCT77CC,4,30.94,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPVNMLPKKIPFFCT87CC,4,30.94,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
