編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLNJKHGGFAV58DA,44,46.39,住家用,水泥磚木蓋瓦,66年4月7日,一層,一層 騎樓,全筆移轉
RPROMLMJKHGGFAV78DA,5,189.35,住家用,ＲＣ造,105年3月3日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLTKKHGGFBV76DA,49,139.56,住家用,加強磚造,61年7月15日,二層,一層 二層,全筆移轉
RPPNMLPKKHGGFAV88DA,25,134.32,住家用,鋼筋混凝土造,84年10月26日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLLJKHGGFAV78DA,8,268.38,住家用,ＲＣ造,102年7月3日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPPNMLTJKHGGFAV56DA,25,33.12,集合住宅,鋼筋混凝土造,85年6月28日,九層,五層 陽台 花台,全筆移轉
RPPNMLTJKHGGFAV56DA,25,6.91,電梯，樓梯共同使用,鋼筋混凝土造,85年6月28日,九層,,持分移轉
RPPNMLTJKHGGFAV56DA,25,4.10,配電室．樓梯．電梯．機械房．通道．水箱．人行共同使用,鋼筋混凝土造,85年6月28日,九層,,持分移轉
RPUNMLNJKHGGFAV09DA,41,101.07,住家用,加強磚造,69年7月10日,二層,一層 二層 騎樓,全筆移轉
RPPNMLOJKHGGFBV78DA,42,87.36,住家用,鋼筋混凝土加強磚造,68年4月1日,二層,一層 二層,全筆移轉
RPQNMLQKKHGGFAV09DA,47,46.80,住家用,水泥磚木造蓋瓦,63年1月31日,一層,一層 騎樓,全筆移轉
RPQNMLMLKHGGFAV78DA,35,121.44,住家用,加強磚造,74年8月17日,二層,一層 二層 陽台,全筆移轉
RPQNMLKLKHGGFAV58DA,27,24.32,集合住宅,鋼筋混凝土造,83年1月26日,七層,二層,全筆移轉
RPQNMLKLKHGGFAV58DA,27,.82,共有部分,鋼筋混凝土造,83年1月26日,七層,,持分移轉
