鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,建物,臺北市信義區基隆路一段１５５號８樓之５,0.0,住,,,1100113,土地0建物1車位0,八層,14,辦公商業大樓,商業用,鋼筋混凝土造,0730810,88.24000000000001,0,0,0,無,有,無,31500,357,,0.0,0,,RPPNMLMKKHGGFDA86CC
大同區,建物,臺北市大同區南京西路１８巷６號８樓之３,0.0,商,,,1100119,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001129,72.8,2,1,1,有,有,有,52000,714,,0.0,0,,RPPNMLOKKHGGFBA86CC
中山區,建物,臺北市中山區伊通街１號５樓,0.0,商,,,1100115,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070426,91.35,2,1,1,有,有,有,59000,646,,0.0,0,,RPPNMLOKKHGGFCA96CC
中山區,建物,臺北市中山區新生北路二段６２巷１６號１５樓之３,0.0,商,,,1100120,土地0建物1車位0,十五層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322,153.48000000000002,3,2,2,有,有,有,80000,521,,0.0,0,,RPRNMLOKKHGGFCA17CC
北投區,建物,臺北市北投區東華街二段２６號６樓,0.0,住,,,1100119,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020923,189.95,3,2,2,有,有,有,60000,316,,0.0,0,,RPPNMLOKKHGGFEA17CC
士林區,建物,臺北市士林區磺溪街８８巷２之１號６樓,0.0,住,,,1100122,土地0建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970721,171.89,3,2,2,有,有,有,76000,442,坡道平面,14.03,0,,RPRNMLOKKHGGFEA37CC
北投區,建物,臺北市北投區東華街二段２２號５樓,0.0,住,,,1100123,土地0建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020923,194.57,3,1,2,有,有,有,75000,385,升降平面,55.9,0,,RPSNMLOKKHGGFEA47CC
北投區,建物,臺北市北投區永興路一段２７號四樓,0.0,住,,,1100125,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661121,77.57,2,2,1,有,無,有,14000,180,,0.0,0,,RPQPMLRKKHGGFEA77CC
北投區,建物,臺北市北投區大業路７４３號,0.0,商,,,1100120,土地0建物0車位0,四層,4,套房(1房1廳1衛),住商用,加強磚造,0500720,26.73,1,0,1,有,無,有,12300,460,,0.0,0,此為分租套房，第四層共分成9間，一間平均面積約為26.73平方公尺。,RPTPMLRKKHGGFEA08CC
北投區,建物,臺北市北投區中和街４９３巷４號三樓,0.0,住,,,1100127,土地0建物0車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711227,21.61,1,0,1,有,無,有,6600,305,,0.0,0,此為分租套房，第三層共分成4間，一間平均面積約為21.61平方公尺。,RPVPMLRKKHGGFEA28CC
士林區,建物,臺北市士林區重慶北路四段１９０巷５弄２６號,0.0,住,,,1100127,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600112,78.3,2,1,1,有,無,有,19000,243,,0.0,0,,RPWPMLRKKHGGFEA38CC
大安區,建物,臺北市大安區大安路一段９６巷１１號,0.0,住,,,1100122,土地0建物1車位1,一層,8,辦公商業大樓,住家用,鋼筋混凝土造,0940420,207.22,4,2,1,有,有,無,100000,483,坡道平面,0.0,0,車位面積無法分算。租金含稅及健保補充保費。,RPUPMLRKKHGGFFA28CC
大安區,建物,臺北市大安區安和路二段１７１巷１０號１樓,0.0,住,,,1100109,土地0建物1車位0,一層,17,店面(店鋪),商業用,鋼筋混凝土造,0750131,61.489999999999995,0,0,0,無,有,有,65000,1057,,0.0,0,,RPOQMLRKKHGGFFA77CC
大安區,房地(土地+建物),臺北市大安區敦化南路一段１７７巷４６號５樓之２,0.0,住,,,1100118,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090309,78.47,1,1,1,有,有,有,57400,731,,0.0,0,民國110年1月18日至110年1月24日為裝潢期租金含管理費承租方需住滿6個月後始能提出終止租約要求,RPRQMLRKKHGGFFA08CC
大安區,車位,臺北市大安區敦化南路一段１７７巷４６號等共有部分,0.0,住,,,1100118,土地0建物0車位1,,,其他,,,,20.1,0,0,0,有,有,無,6600,,塔式車位,20.1,6600,出租方車位無固定編號一定有車位先到先停承租方需租滿6個月後始能提出終止租約要求110年1月18日起至110年1月24日止免租金,RPSQMLRKKHGGFFA18CC
大安區,建物,臺北市大安區樂業街３１號７樓,0.0,住,,,1100109,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.37,2,1,1,有,無,有,35000,512,,0.0,0,,RPVQMLRKKHGGFFA48CC
大安區,建物,臺北市大安區忠孝東路三段１３６號３樓之３,0.0,商,,,1100105,土地0建物1車位0,三層,13,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,0970317,131.04,0,0,0,無,無,無,65000,496,,0.0,0,,RPORMLRKKHGGFFA87CC
內湖區,建物,臺北市內湖區成功路４段１８８號１１樓之１５,0.0,其他,,,1100208,土地0建物1車位0,十一層,15,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1050616,68.45,1,0,1,有,有,有,23152,338,,0.0,0,租金未含管理費,RPTNMLRKKHGGFCA67CC
內湖區,建物,臺北市內湖區成功路４段１８８號１３樓之１２,0.0,其他,,,1100209,土地0建物1車位0,十三層,15,辦公商業大樓,一般事務所,鋼筋混凝土造,1050616,75.50999999999999,1,0,1,有,有,有,25797,342,,0.0,0,租金未含管理費,RPOOMLRKKHGGFCA27CC
內湖區,建物,臺北市內湖區新明路５３６巷１號４樓,0.0,住,,,1100204,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681011,97.89,3,2,2,有,無,有,25000,255,,0.0,0,,RPROMLRKKHGGFCA57CC
中山區,建物,臺北市中山區中山北路２段１１５巷２４號１１樓,0.0,商,,,1100128,土地0建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0791019,86.84,2,2,1,有,有,有,45000,518,,0.0,0,,RPUOMLRKKHGGFCA87CC
中山區,建物,臺北市中山區林森北路６５號７樓之１,0.0,商,,,1100128,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0961106,200.48,4,2,2,有,有,有,74800,373,,0.0,0,,RPWOMLRKKHGGFCA08CC
中山區,建物,臺北市中山區中山北路三段５５巷２８號二樓,0.0,商,,,1100120,土地0建物0車位0,二層,7,套房(1房1廳1衛),商業用,鋼筋混凝土造,0690930,31.259999999999998,1,0,1,有,無,有,13300,425,,0.0,0,此為分租套房，第二層共分成6間，一間平均面積約為31.26平方公尺。,RPQPMLRKKHGGFCA57CC
中山區,建物,臺北市中山區南京東路二段７號,0.0,商,,,1100119,土地0建物0車位0,八層,8,套房(1房1廳1衛),住商用,鋼筋混凝土造,0580616,24.78,1,0,1,有,無,有,9800,395,,0.0,0,此為分租套房，第八層共分成5間，一間平均面積約為24.78平方公尺。,RPRPMLRKKHGGFCA67CC
內湖區,建物,臺北市內湖區民權東路六段２８０巷１０號２樓,0.0,住,,,1100118,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031204,265.52,3,2,2,有,有,有,105000,395,,0.0,0,,RPSPMLRKKHGGFCA77CC
中正區,建物,臺北市中正區新生南路１段５６號１３樓,0.0,其他,,,1100209,土地0建物1車位1,十三層,15,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0981222,412.89,1,1,2,有,有,有,163227,395,坡道平面,43.79,0,,RPQNMLRKKHGGFBA27CC
大同區,建物,臺北市大同區承德路一段４４號２樓,0.0,商,,,1100121,土地0建物1車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0721111,116.68,0,0,0,無,無,無,43000,369,,0.0,0,,RPTOMLRKKHGGFBA67CC
松山區,建物,臺北市松山區八德路三段１９９巷１弄１１號,0.0,商,,,1100122,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0600904,116.2,0,1,1,有,無,無,48925,421,,0.0,0,,RPXNMLRKKHGGFDA18CC
信義區,建物,臺北市信義區松德路１７１號８樓之１,0.0,住,,,1100204,土地0建物1車位1,八層,21,辦公商業大樓,見使用執照,鋼骨混凝土造,0841212,181.82,4,1,0,有,有,無,82500,454,坡道平面,0.0,0,,RPQOMLRKKHGGFDA57CC
南港區,建物,臺北市南港區興中路６８巷６號,0.0,商,,,1100125,土地0建物1車位0,一層,22,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,1060707,139.13,0,1,1,有,有,無,78000,561,,0.0,0,租金調漲：第二年起租金調整為80000元/月。,RPWOMLRKKHGGFDA18CC
松山區,建物,臺北市松山區八德路三段３２號１３樓,0.0,商,,,1100114,土地0建物1車位0,十三層,16,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0811121,672.0,0,0,0,無,有,無,365904,545,,0.0,0,,RPOPMLRKKHGGFDA47CC
信義區,建物,臺北市信義區信義路五段１１９號１０樓之２,0.0,其他,,,1100209,土地0建物1車位0,十層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980702,142.94,1,2,1,有,無,有,56000,392,,0.0,0,,RPUNMLSKKHGGFDA97CC
信義區,建物,臺北市信義區和平東路三段１９９號９樓之３,0.0,商,,,1100206,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010711,68.82,1,1,1,有,無,有,34000,494,,0.0,0,租金含管理費,RPWNMLSKKHGGFDA18CC
中正區,建物,臺北市中正區臨沂街７５巷６號,0.0,住,,,1100202,土地0建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,0790309,93.19999999999999,0,0,0,無,有,有,48000,515,,0.0,0,,RPWNMLSKKHGGFBA97CC
大同區,建物,臺北市大同區酒泉街５０巷２２號４樓,0.0,住,,,1100208,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0631015,80.37,3,1,1,有,無,有,18000,224,,0.0,0,,RPQOMLSKKHGGFBA47CC
大同區,建物,臺北市大同區延平北路二段２０２號９樓,0.0,其他,,,1100120,土地0建物1車位0,九層,18,辦公商業大樓,商業用,鋼筋混凝土造,0840213,282.84000000000003,0,1,0,有,無,有,90000,318,,0.0,0,,RPUPMLSKKHGGFBA97CC
內湖區,建物,臺北市內湖區東湖路７巷１９號１樓,22.59,商,,,1100209,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0780626,97.65,0,0,0,無,有,無,46000,471,,0.0,0,,RPROMLSKKHGGFCA67CC
內湖區,建物,臺北市內湖區成功路四段１８８號８樓之１０,0.0,其他,,,1100209,土地0建物1車位0,十層,15,套房(1房1廳1衛),一般事務所,鋼筋混凝土造,1050616,68.45,1,1,1,有,無,有,35000,511,,0.0,0,租金含管理費。,RPTOMLSKKHGGFCA87CC
中山區,建物,臺北市中山區長安東路一段３０巷８弄３號６樓,0.0,商,,,1091224,土地0建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030106,247.69,3,2,2,有,無,有,130500,527,坡道平面,25.09,0,,RPVOMLSKKHGGFCA08CC
中山區,建物,臺北市中山區新生北路二段６０巷１５號,0.0,商,,,1091228,土地0建物1車位0,一層,19,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,1050322,45.31,0,0,0,無,有,無,32353,714,,0.0,0,,RPWOMLSKKHGGFCA18CC
中山區,建物,臺北市中山區樂群二路９１號１樓,0.0,商,,,1091229,土地0建物1車位2,一層,11,店面(店鋪),商業用,鋼筋混凝土造,0971121,247.07,0,0,0,無,有,無,150000,607,坡道平面,61.64,0,,RPXOMLSKKHGGFCA28CC
中山區,建物,臺北市中山區民權東路三段６０巷５號１樓,51.81,住,,,1100217,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0730312,176.22,0,0,0,無,無,有,85000,482,,0.0,0,,RPQPMLSKKHGGFCA67CC
中山區,建物,臺北市中山區林森北路３４９號１８樓之１,0.0,商,,,1100128,土地0建物1車位0,十八層,24,華廈(10層含以下有電梯),住家用,見其他登記事項,1021101,210.12,3,2,2,有,有,有,92000,438,,0.0,0,,RPXPMLSKKHGGFCA38CC
中山區,房地(土地+建物),臺北市中山區松江路７１號４樓之１,381.0,商,,,1091229,土地1建物2車位0,四層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0661223,178.95,0,0,0,無,有,無,83160,465,,0.0,0,,RPQQMLSKKHGGFCA77CC
內湖區,建物,臺北市內湖區堤頂大道二段４９７號３樓之２,0.0,其他,,,1100218,土地0建物1車位0,三層,13,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0980729,58.71,1,1,1,有,有,有,20000,341,,0.0,0,租金不含管理費,RPSQMLSKKHGGFCA97CC
中山區,建物,臺北市中山區民生東路二段１７０號十一樓,0.0,商,,,1100205,土地0建物1車位0,十一層,12,辦公商業大樓,住家用,鋼筋混凝土造,0700316,326.28000000000003,4,0,0,有,有,無,160000,490,,0.0,0,,RPQRMLSKKHGGFCA87CC
內湖區,建物,臺北市內湖區陽光街３２１巷４０號、３４５巷２８號,0.0,工,,,1100204,土地0建物2車位0,一層,7,店面(店鋪),見其他登記事項,鋼筋混凝土造,0980119,411.78999999999996,0,0,0,無,有,有,168170,408,,0.0,0,,RPRRMLSKKHGGFCA97CC
內湖區,建物,臺北市內湖區基湖路３５巷１１號９樓,0.0,工,,,1100208,土地0建物1車位0,九層,9,廠辦,見使用執照,見使用執照,0910502,992.1,0,0,0,無,有,無,300000,302,坡道平面,180.05,0,內含車位5個,RPVRMLSKKHGGFCA38CC
大安區,建物,臺北市大安區光復南路２８０巷４８號,0.0,住,,,1100201,土地0建物1車位0,一層,6,店面(店鋪),住家用,鋼筋混凝土造,0650105,125.95,0,0,0,無,有,無,130000,1032,,0.0,0,,RPPNMLSKKHGGFFA67CC
士林區,建物,臺北市士林區忠誠路２段１９６號１７樓,0.0,住,,,1100129,土地0建物1車位1,十七層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0841103,406.68,5,2,4,有,有,有,215000,529,坡道平面,0.0,0,,RPPNMLSKKHGGFEA57CC
士林區,建物,臺北市士林區中山北路５段８２９巷４８號８樓,0.0,住,,,1100122,土地0建物1車位2,八層,145,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030411,377.56,4,2,3,有,有,有,138538,367,坡道平面,0.0,0,,RPQNMLSKKHGGFEA67CC
北投區,建物,臺北市北投區榮華三路９號６樓,0.0,住,,,1100210,土地0建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730222,173.05,3,2,2,有,有,有,60700,351,坡道平面,0.0,0,租金含管理費。,RPVNMLSKKHGGFEA18CC
士林區,建物,臺北市士林區重慶北路四段２２２號１４樓之３,0.0,住,,,1100206,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060413,86.2,1,0,0,無,有,有,31000,360,,0.0,0,租金含稅價,RPSOMLSKKHGGFEA97CC
文山區,建物,臺北市文山區育英街５７巷１６號２樓,0.0,住,,,1100209,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),,加強磚造,0580116,90.94,3,1,1,有,無,有,18000,198,,0.0,0,,RPSNMLSKKHGGFAA47CC
中正區,建物,臺北市中正區博愛路２１２巷３號３樓之１,0.0,住,,,1100121,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930512,165.73,3,2,2,有,有,有,58000,350,,0.0,0,,RPWOMLSKKHGGFAA97CC
中正區,建物,臺北市中正區和平西路一段１１號９樓,0.0,商,,,1100203,土地0建物0車位0,九層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,,42.6,1,0,1,有,無,有,12500,293,,0.0,0,此為分租套房，房號913，第9層分成21間，一間平均面積為42.6平方公尺,RPTPMLTKKHGGFAA87CC
北投區,建物,臺北市北投區致遠三路１１９巷９號,0.0,住,,,1100127,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0621224,102.0,4,2,2,有,無,有,35000,343,,0.0,0,,RPXOMLTKKHGGFEA58CC
中山區,建物,臺北市中山區雙城街１９巷８號８樓之２１,0.0,商,,,1100126,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,34.0,1,1,1,有,有,有,22000,647,,0.0,0,,RPPNMLTKKHGGFCA47CC
中山區,建物,臺北市中山區松江路２３７號３樓之２,0.0,商,,,1100129,土地0建物1車位0,三層,16,辦公商業大樓,商業用,鋼筋混凝土造,0770917,212.9,2,1,0,有,有,有,109480,514,,0.0,0,,RPQNMLTKKHGGFCA57CC
中山區,建物,臺北市中山區南京東路三段６１號４樓,0.0,商,,,1091230,土地0建物1車位2,四層,12,辦公商業大樓,商業用,鋼筋混凝土造,0730210,276.85,1,1,1,有,無,有,157500,569,坡道平面,0.0,0,,RPWNMLTKKHGGFCA18CC
