鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物),臺中市北屯區文心路四段１２７號１４樓之３,1361.0,住,,,1100207,土地1建物1車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960829,66.13,2,2,2,有,無,有,17000,257,,0.0,0,,RPSPMLRKKHGGFBB77CC
西區,房地(土地+建物),臺中市西區忠明南路１１６號３樓之５,11.48,住,,,1100205,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,112.19,2,2,2,有,有,有,33000,294,,0.0,0,起租日:110/02/05租金總額含稅含管。,RPOPMLRKKHGGFAB27CC
清水區,房地(土地+建物)+車位,臺中市清水區港都路１６５號十四樓之１,17.02,商,,,1100208,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090724,125.68,3,2,2,有,有,有,21000,167,坡道平面,31.68,0,,RPPOMLRKKHGGFFB77CC
清水區,房地(土地+建物)+車位,臺中市清水區港新三路２６號５樓之１,19.26,商,,,1100125,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,144.89,2,1,2,有,有,有,16000,110,坡道平面,32.26,0,此為社會住宅包租代管 有一個車位等於是租這房子房東附的車位，不另計任何費用,RPTOMLRKKHGGFFB18CC
豐原區,房地(土地+建物),臺中市豐原區愛國街２０２巷１２號３樓,22.53,商,,,1100125,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771115,84.57000000000001,3,2,2,有,有,無,10000,118,,0.0,0,,RPWNMLRKKHGGFDB18CC
大雅區,土地,四德段524-3地號,47.2,農,,,1100206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,6500,138,,0.0,0,未登記建物套房水費每月100元/人電費每月5元/度,RPQNMLSKKHGGFHB08CC
烏日區,房地(土地+建物),臺中市烏日區長春街３４７巷６號,174.34,住,,,1100201,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0661214,158.26,3,2,2,有,無,無,20000,126,,0.0,0,,RPROMLSKKHGGFIB38CC
烏日區,房地(土地+建物),臺中市烏日區中山路一段和平巷１５０弄１號,352.08,工,,,1100204,土地1建物1車位0,見其他登記事項,2,廠辦,見其他登記事項,鋼筋混凝土造,0770624,402.15,0,0,0,無,無,有,110000,274,,0.0,0,,RPRPMLSKKHGGFIB48CC
大里區,房地(土地+建物),臺中市大里區中興路一段３０６巷１３弄２０號,834.08,住,,,1100201,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050205,66.48,3,2,2,有,無,有,15000,226,,0.0,0,,RPSRMLSKKHGGFIB78CC
大里區,房地(土地+建物),臺中市大里區永隆路３１０號,150.47,住,,,1100201,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0900910,428.57,11,3,10,有,無,無,50000,117,,0.0,0,,RPQSMLSKKHGGFIB68CC
南區,房地(土地+建物),臺中市南區忠孝路１４９號１１樓之６,11.61,商,,,1100207,土地2建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010104,117.68,2,2,1,有,有,有,17000,144,,0.0,0,,RPSPMLSKKHGGFAB77CC
太平區,房地(土地+建物),臺中市太平區中和街２０３巷７號,86.89,住,,,1100129,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0681215,97.28,4,2,2,有,無,無,13000,134,,0.0,0,,RPQOMLSKKHGGFJB38CC
北屯區,房地(土地+建物),臺中市北屯區東光路８３８號６樓,1541.0,住,,,1100131,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810918,99.29,3,2,2,有,無,有,16800,169,,0.0,0,,RPWNMLSKKHGGFBB08CC
北屯區,房地(土地+建物),臺中市北屯區天津路三段９１號,153.0,住,,,1100215,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,見其他登記事項,0780509,152.0,1,1,1,有,無,無,20000,132,,0.0,0,租賃範圍不含車位，且無法區分車位面積。,RPOOMLSKKHGGFBB37CC
北區,房地(土地+建物),臺中市北區育才北路３２之３號、３２之２號,67.8,住,,,1100201,土地4建物2車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1090106,90.62,0,1,0,有,無,有,120000,1324,,0.0,0,,RPXPMLSKKHGGFBB38CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路３５５號３F,29.85,其他,,,1100209,土地1建物1車位2,三層,35,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0981225,509.7,3,2,3,有,有,有,87065,171,坡道平面,34.42,0,,RPORMLSKKHGGFCB77CC
西屯區,房地(土地+建物),臺中市西屯區西安街２７７巷２５弄２６號４樓之２９,4.34,住,,,1100128,土地1建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830120,27.770000000000003,1,0,1,有,有,有,6500,234,,0.0,0,,RPURMLSKKHGGFCB38CC
南屯區,房地(土地+建物),臺中市南屯區黎明東街４３３號７樓之２,12.27,住,,,1100202,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840525,91.14,2,2,1,有,有,有,17000,187,,0.0,0,租金含管理費,RPROMLTKKHGGFCB87CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段８３９號８樓,34.76,住,,,1100204,土地1建物1車位2,八層,23,辦公商業大樓,商業用,鋼筋混凝土造,0800516,581.9,0,0,0,無,有,無,75000,129,坡道機械,0.0,0,,RPXOMLTKKHGGFCB48CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段５２８號８樓之９,8.92,住,,,1100125,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970130,80.16,3,1,1,有,有,有,14000,175,,0.0,0,租金含管理費,RPTOMLTKKHGGFBB97CC
北區,房地(土地+建物),臺中市北區梅亭街２１號４樓３號,9.0,住,,,1100128,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670616,35.86,1,0,1,有,有,有,6400,178,,0.0,0,,RPXPMLTKKHGGFBB48CC
北屯區,房地(土地+建物)+車位,臺中市北屯區青島路四段２１５號２樓之２,14.55,住,,,1100129,土地1建物1車位1,二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820306,90.06,2,2,2,有,有,有,17000,189,坡道機械,0.0,1000,,RPOQMLTKKHGGFBB67CC
西區,房地(土地+建物),臺中市西區忠誠街７５號,109.0,住,,,1100128,土地1建物1車位0,全,2,透天厝,見其他登記事項,見其他登記事項,0630217,118.28,0,0,0,無,無,無,40000,338,,0.0,0,,RPUNMLTKKHGGFAB87CC
西區,房地(土地+建物),臺中市西區美村路一段１１７巷７號,142.0,住,,,1100201,土地3建物2車位0,全,2,透天厝,住家用,加強磚造,,140.92,0,0,0,無,無,無,100000,710,,0.0,0,標的物包含美村路一段117巷9號、美村路一段117巷7號,RPVRMLTKKHGGFAB38CC
清水區,房地(土地+建物)+車位,臺中市清水區港都路１５５號九樓之６,13.51,商,,,1100219,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090724,104.07000000000001,2,2,1,有,有,有,20000,192,坡道平面,31.68,0,,RPVNMLTKKHGGFFB48CC
潭子區,建物,臺中市潭子區榮興街６２號６樓,0.0,住,,,1100121,土地0建物1車位0,六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830824,133.32,4,1,2,有,無,有,18000,135,,0.0,0,108年度台中市政府包租代管計畫,RPORMLKLKHGGFHB57CC
豐原區,建物,臺中市豐原區圓環東路３６８號４樓之３,0.0,住,,,1100219,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901018,61.41,2,1,1,有,無,有,13000,212,,0.0,0,108年度台中市政府包租代管計畫,RPUNMLKLKHGGFDB37CC
烏日區,房地(土地+建物)+車位,臺中市烏日區公園路７９號１２樓之１,17.67,住,,,1100127,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050108,156.12,3,2,2,有,有,有,17100,110,坡道平面,23.67,0,臺中市包租代管案件租金市價打9折。,RPWNMLKLKHGGFIB08CC
大里區,房地(土地+建物),臺中市大里區中興路一段７１巷１６號,93.98,住,,,1100201,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0621219,79.42,2,2,2,有,無,無,17000,214,,0.0,0,,RPROMLKLKHGGFIB67CC
西區,房地(土地+建物),臺中市西區忠明南路１１２號１２樓之８,14.29,住,,,1100220,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,131.57999999999998,3,2,2,有,有,有,38000,289,,0.0,0,,RPXQMLKLKHGGFAB67CC
南區,建物,臺中市南區南陽街９３號１２樓之４,0.0,住,,,1100204,土地0建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830728,102.8,3,2,2,有,有,有,16800,163,,0.0,0,108年度台中市政府包租代管計畫,RPRRMLKLKHGGFAB17CC
中區,建物,臺中市中區光復路３７號４樓之１,0.0,商,,,1100201,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0751001,81.42,3,2,1,有,無,有,14500,178,,0.0,0,108年度台中市政府包租代管計畫,RPVRMLKLKHGGFAB57CC
中區,建物,臺中市中區民權路１６４號２２樓之３６,0.0,商,,,1100209,土地0建物1車位0,二十二層,28,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0860131,37.55,1,0,1,有,無,有,9400,250,,0.0,0,108年度台中市政府包租代管計畫,RPWRMLKLKHGGFAB67CC
