編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLRKKHGGFFB77CC,1,86.98,集合住宅,鋼筋混凝土造,109年7月24日,十五層,,
RPPOMLRKKHGGFFB77CC,1,15.17,消防機房，水箱，梯間，污／雨水機房，進風機房，機械室，排風機房，公用水箱揚水機房，機械區，電信機房，公共水箱，台電配電室，發電機室，管委會使用空間，受電區，景觀機房，泳池機房，電表區，機車坡道，防空避難室兼停車空間，梯廳，警衛室，走廊，特別安全梯，游泳池，汽車坡道，大廳等２７項,鋼筋混凝土造,109年7月24日,十五層,,
RPPOMLRKKHGGFFB77CC,1,23.53,排煙室，梯廳兼排煙室，特別安全梯，梯廳，走道，機房，噴灌機房，梯間，電梯機房，消防水箱，水表室，機械室，水箱等１３項,鋼筋混凝土造,109年7月24日,十五層,,
RPSPMLRKKHGGFBB77CC,13,66.13,住家用,鋼筋混凝土造,96年8月29日,十五層,,
RPOPMLRKKHGGFAB27CC,14,82.44,集合住宅,鋼筋混凝土造,95年12月22日,十五層,,
RPWNMLRKKHGGFDB18CC,32,73.42,住家用,鋼筋混凝土造,77年11月15日,五層,,
RPOPMLRKKHGGFAB27CC,14,17.39,共用部分,鋼筋混凝土造,95年12月22日,十五層,,
RPWNMLRKKHGGFDB18CC,32,9.84,共有部份,鋼筋混凝土造,77年11月15日,五層,,
RPOPMLRKKHGGFAB27CC,14,12.36,共用部分,鋼筋混凝土造,95年12月22日,十五層,,
RPWNMLRKKHGGFDB18CC,32,1.31,共有部份,鋼筋混凝土造,77年11月15日,五層,,
RPROMLSKKHGGFIB38CC,43,158.26,住商用,鋼筋混凝土造,66年12月14日,二層,,
RPTOMLRKKHGGFFB18CC,2,99.45,集合住宅,鋼筋混凝土造,107年9月26日,十五層,,
RPTOMLRKKHGGFFB18CC,2,14.25,梯廳、門廳〈風除室〉、門廊、管委會使用空間〈游泳池〉、電信機房、排風機房、泳池機房、進風機房、消防機房、緊急發電機房、機房、垃圾暫存室、泳池水箱、雨水及汙水機房、防空避難室兼停車空間、車道、機車停車空間。,鋼筋混凝土造,107年9月26日,十五層,,
RPTOMLRKKHGGFFB18CC,2,1.04,特別安全梯、台電配電室,鋼筋混凝土造,107年9月26日,十五層,,
RPTOMLRKKHGGFFB18CC,2,30.15,特別安全梯、排煙室、梯廳、水箱、電錶、水錶室、消防水箱、電梯機房、樓梯間,鋼筋混凝土造,107年9月26日,十五層,,
RPSRMLSKKHGGFIB78CC,5,66.48,集合住宅,鋼筋混凝土造,105年2月5日,七層,,
RPRPMLSKKHGGFIB48CC,33,402.15,廠房、辦公室、單身宿舍、梯間、水箱,鋼筋混凝土造,77年6月24日,二層,,
RPQSMLSKKHGGFIB68CC,19,428.57,人行道．補習班（教室）．住宅．机電設備空間．梯間,鋼筋混凝土造,90年9月10日,四層,,
RPSPMLSKKHGGFAB77CC,9,117.68,集合住宅,鋼筋混凝土造,101年1月4日,十五層,,
RPORMLSKKHGGFCB77CC,11,509.70,住家用,鋼骨鋼筋混凝土造,98年12月25日,三十五層,,
RPOOMLSKKHGGFBB37CC,32,152.00,人行道，住房，店房，避難室,ＲＣ造,78年5月9日,四層,,
RPROMLTKKHGGFCB87CC,26,51.78,住家用,鋼筋混凝土造,84年5月25日,十二層,,
RPROMLTKKHGGFCB87CC,26,39.36,共有部份,鋼筋混凝土造,84年5月25日,十二層,,
RPWNMLSKKHGGFBB08CC,28,99.29,住家用,鋼筋混凝土造,81年9月18日,十四層,,
RPQOMLSKKHGGFJB38CC,41,97.28,住家用,加強磚造,68年12月15日,二層,,
RPXOMLTKKHGGFCB48CC,30,468.89,商業用,鋼筋混凝土造,80年5月16日,二十三層,,
RPXOMLTKKHGGFCB48CC,30,92.65,共有部份,鋼筋混凝土造,80年5月16日,二十三層,,
RPXOMLTKKHGGFCB48CC,30,10.18,停車空間,鋼筋混凝土造,80年5月16日,二十三層,,
RPURMLSKKHGGFCB38CC,27,16.17,住家用,鋼筋混凝土造,83年1月20日,七層,,
RPXOMLTKKHGGFCB48CC,30,10.18,停車空間,鋼筋混凝土造,80年5月16日,二十三層,,
RPURMLSKKHGGFCB38CC,27,11.60,共有部份,鋼筋混凝土造,83年1月20日,七層,,
RPXPMLSKKHGGFBB38CC,1,47.66,店舖、人行道,鋼筋混凝土造,109年1月6日,三層,,
RPXPMLSKKHGGFBB38CC,1,42.96,店舖、人行道,鋼筋混凝土造,109年1月6日,三層,,
RPTOMLTKKHGGFBB97CC,13,53.84,辦公室,鋼筋混凝土造,97年1月30日,十四層,,
RPTOMLTKKHGGFBB97CC,13,26.32,共有部份,鋼筋混凝土造,97年1月30日,十四層,,
RPXPMLTKKHGGFBB48CC,43,35.86,住家用,鋼筋混凝土造,67年6月16日,七層,,
RPUNMLTKKHGGFAB87CC,47,118.28,住宅,鐵筋加強磚造,63年2月17日,二層,,
RPVNMLTKKHGGFFB48CC,1,72.34,集合住宅,鋼筋混凝土造,109年7月24日,十五層,,
RPVNMLTKKHGGFFB48CC,1,12.04,消防機房，水箱，梯間，污／雨水機房，進風機房，機械室，排風機房，公用水箱揚水機房，機械區，電信機房，公共水箱，台電配電室，發電機室，管委會使用空間，受電區，景觀機房，泳池機房，電表區，機車坡道，防空避難室兼停車空間，梯廳，警衛室，走廊，特別安全梯，游泳池，汽車坡道，大廳等２７項,鋼筋混凝土造,109年7月24日,十五層,,
RPVRMLTKKHGGFAB38CC,,71.62,住家用,加強磚造,,二層,,
RPVNMLTKKHGGFFB48CC,1,19.69,排煙室，梯廳兼排煙室，特別安全梯，梯廳，走道，機房，噴灌機房，梯間，電梯機房，消防水箱，水表室，機械室，水箱等１３項,鋼筋混凝土造,109年7月24日,十五層,,
RPVRMLTKKHGGFAB38CC,48,69.30,住家用,見其他登記事項,62年1月24日,二層,,
RPUNMLKLKHGGFDB37CC,19,45.21,住家用,鋼筋混凝土造,90年10月18日,十四層,,
RPOQMLTKKHGGFBB67CC,28,76.91,住家用,鋼筋混凝土造,82年3月6日,十六層,,
RPUNMLKLKHGGFDB37CC,19,16.20,共有部份,鋼筋混凝土造,90年10月18日,十四層,,
RPOQMLTKKHGGFBB67CC,28,3.21,共有部份,鋼筋混凝土造,82年3月6日,十六層,,
RPOQMLTKKHGGFBB67CC,28,9.94,本共有部份之項目依使用執照之建築概要表（變更使用附表）記載項目有走廊、梯間等２項。,鋼筋混凝土造,82年3月6日,十六層,,
RPORMLKLKHGGFHB57CC,26,96.37,住家用,鋼筋混凝土造,83年8月24日,十七層,,
RPORMLKLKHGGFHB57CC,26,36.95,共有部份,鋼筋混凝土造,83年8月24日,十七層,,
RPWNMLKLKHGGFIB08CC,5,88.87,集合住宅,鋼筋混凝土造,105年1月8日,十五層,,
RPWNMLKLKHGGFIB08CC,5,25.20,本共有部分之項目有安全梯間、排煙室、緊急昇降機道、梯廳、門廊、垃圾處理室、公共服務空間、車道、機電設備管道、頂蓋型開放空間、管委會使用空間、走廊、梯間、儲藏室、水錶室、機械室、水箱及電梯機房等１８項,鋼筋混凝土造,105年1月8日,十五層,,
RPWNMLKLKHGGFIB08CC,5,42.05,本共有部分之項目有梯廳〈排煙室、安全梯〉、緊急昇降機道、機電設備管道、防空避難設備兼停車空間、車道、蓄水池、機械室、發電機室、消防機械室、汙水機房、雨水機房、停車空間、電信室、電表室、台電配電室、受電箱區及水池機房等１７項。,鋼筋混凝土造,105年1月8日,十五層,,
RPROMLKLKHGGFIB67CC,47,79.42,住家用,加強磚造,62年12月19日,二層,,
RPXQMLKLKHGGFAB67CC,14,96.71,集合住宅,鋼筋混凝土造,95年12月22日,十五層,,
RPXQMLKLKHGGFAB67CC,14,20.39,共用部分,鋼筋混凝土造,95年12月22日,十五層,,
RPXQMLKLKHGGFAB67CC,14,14.48,共用部分,鋼筋混凝土造,95年12月22日,十五層,,
RPRRMLKLKHGGFAB17CC,27,70.80,住家用,鋼筋混凝土造,83年7月28日,十六層,,
