編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLRKKHGGFBC77CC,港濱段,.00,都市：住,,,,05030000
RPSNMLRKKHGGFBC67CC,東明段,.00,都市：住,,,,05110002
RPUNMLRKKHGGFBC87CC,長潭段,.00,都市：住,,,,08920000
RPOOMLRKKHGGFBC37CC,長潭段,.00,都市：住,,,,08920000
RPPOMLRKKHGGFBC47CC,長潭段,.00,,,,,08450003
RPQOMLRKKHGGFBC57CC,長潭段,.00,都市：住,,,,08920000
RPROMLRKKHGGFBC67CC,深澳段,.00,都市：住,,,,01200000
RPUOMLRKKHGGFBC97CC,長潭段,.00,都市：住,,,,08920000
RPWOMLRKKHGGFBC18CC,東明段,.00,都市：住,,,,05110002
RPOPMLRKKHGGFBC47CC,長潭段,.00,都市：住,,,,08450003
RPSNMLRKKHGGFCC77CC,代天府段,.00,都市：住,,,,06040000
RPPPMLRKKHGGFBC57CC,調和段,.00,都市：住,,,,14150000
RPXOMLRKKHGGFBC28CC,深澳段,.00,都市：住,,,,00990000
RPXOMLRKKHGGFBC28CC,深澳段,.00,都市：住,,,,01000000
RPSOMLRKKHGGFCC87CC,源遠段,.00,都市：住,,,,11280008
RPUNMLTKKHGGFCC18CC,新會段,.00,都市：住,,,,02310000
RPXNMLTKKHGGFCC48CC,過港段,.00,都市：住,,,,03650000
RPXNMLTKKHGGFBC38CC,長潭段,.00,都市：住,,,,08450003
RPOOMLTKKHGGFCC67CC,代天府段,.00,都市：住,,,,08370000
RPOOMLTKKHGGFCC67CC,代天府段,.00,都市：住,,,,08370006
RPOOMLTKKHGGFBC57CC,培德段,.00,都市：住,,,,07330000
RPXNMLKLKHGGFBC57CC,東信段四小段,.00,都市：住,,,,00150000
RPSOMLTKKHGGFBC97CC,調和段,.00,都市：住,,,,14130000
RPXNMLKLKHGGFCC67CC,情人湖段,.00,都市：住,,,,01350000
RPUNMLNLKHGGFBC57CC,長潭段,.00,都市：住,,,,08450003
RPOOMLKLKHGGFCC86CC,武嶺段,.00,都市：住,,,,00570000
RPSOMLNLKHGGFCC57CC,源遠段,.00,都市：住,,,,11280000
RPXOMLNLKHGGFBC97CC,長潭段,.00,都市：住,,,,08920000
RPWNMLPLKHGGFCC08CC,新會段,1.90,都市：住,,,,01010000
RPWNMLPLKHGGFCC08CC,新會段,2.90,都市：住,,,,00720000
RPWNMLPLKHGGFCC08CC,新會段,.30,都市：住,,,,00760001
RPWNMLSJLHGGFBC18CC,中正段三小段,.00,都市：住,,,,00300027
RPXOMLQJLHGGFBC18CC,調和段,.00,都市：其他:部份道路用地部份住宅區(住二),,,,14150000
RPVNMLSJLHGGFCC18CC,安國段,28.26,都市：住,,,,00620000
RPOOMLSJLHGGFCC57CC,源遠段,.00,都市：住,,,,11280008
RPTQMLOJLHGGFCC87CC,安國段,1495.00,都市：住,,,,00270000
RPTQMLOJLHGGFCC87CC,安國段,278.00,都市：住,,,,00270010
RPTQMLOJLHGGFCC87CC,安國段,125.00,都市：其他:道路用地,,,,00270019
RPTQMLOJLHGGFCC87CC,安國段,293.00,都市：其他:保護區,,,,00270021
RPTQMLOJLHGGFCC87CC,安國段,160.00,都市：住,,,,00270022
RPTQMLOJLHGGFCC87CC,安國段,10.00,都市：其他:公園用地,,,,00270033
RPTQMLOJLHGGFCC87CC,安國段,21.00,都市：其他:公園用地,,,,00270037
RPQOMLSJLHGGFCC77CC,西定段,.00,都市：住,,,,01120000
RPXNMLLKLHGGFBC67CC,港濱段,.00,都市：住,,,,07560000
