鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
柳營區,土地,篤農段559地號,114.89,,鄉村區,乙種建築用地,1100601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2953750,25709,,0.0,0,,RPVNMLNJOHGGFDD18EA,0.0,0.0,0.0,無,
永康區,土地,東南段816地號,939.29,都市：其他:道路用地,,,1100601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26121655,27810,,0.0,0,包含公共設施保留地用地；,RPXNMLMJOHGGFKD88DA,0.0,0.0,0.0,無,
鹽水區,房地(土地+建物),南門路８０巷２０弄２４號,60.08,住,,,1100601,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0680426,116.97,3,2,2,有,無,1800000,15389,,0.0,0,,RPSNMLSJOHGGFDD28DA,116.97,0.0,0.0,無,
安定區,土地,港口段1869地號,1436.0,,特定農業區,農牧用地,1100601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20822000,14500,,0.0,0,,RPPPMLRJOHGGFHD58EA,0.0,0.0,0.0,無,
西港區,土地,南海段1153地號,948.76,農,,,1100601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,2635,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRJOHGGFGD58EA,0.0,0.0,0.0,無,
麻豆區,土地,麻安段644地號,55.43,住,,,1100602,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1090000,19664,,0.0,0,,RPVNMLMJOHGGFFD18DA,0.0,0.0,0.0,無,
永康區,土地,平道段239地號,2721.79,商,,,1100607,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,349000000,128224,,0.0,0,,RPSPMLTJOHGGFKD66DA,0.0,0.0,0.0,無,
北門區,土地,溪底寮段三寮灣小段169-1地號,199.0,,鄉村區,乙種建築用地,1100602,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,5025,,0.0,0,,RPUNMLMJOHGGFGD18DA,0.0,0.0,0.0,無,
關廟區,土地,新埔段598-2地號,2095.0,,山坡地保育區,暫未編定,1100601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2262500,1080,,0.0,0,,RPSSMLOLNHGGFID09EA,0.0,0.0,0.0,無,
永康區,土地,大灣段3148-19地號,7.0,都市：其他:道路用地,,,1100603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,21429,,0.0,0,,RPSOMLSJOHGGFKD09DA,0.0,0.0,0.0,無,
柳營區,土地,柳營段溫厝小段1643地號,960.0,,特定農業區,農牧用地,1100607,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2083,,0.0,0,受債權債務關係影響或債務抵償；,RPRNMLKKOHGGFDD57EA,0.0,0.0,0.0,無,
柳營區,土地,柳營段溫厝小段1647-9地號,552.0,,特定農業區,農牧用地,1100607,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,4167,,0.0,0,,RPSNMLKKOHGGFDD67EA,0.0,0.0,0.0,無,
安南區,土地,國安段792地號,59.26,都市：其他:細部計畫道路用地,,,1100601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1097496,18520,,0.0,0,包含公共設施保留地用地；,RPQNMLPJOHGGFBD57DA,0.0,0.0,0.0,無,
東山區,土地,大客段枋子林小段654地號,2285.0,,特定農業區,農牧用地,1100503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,875,,0.0,0,,RPSNMLPJNHGGFED08EA,0.0,0.0,0.0,無,
佳里區,土地,永興段34地號,1167.0,,特定農業區,農牧用地,1100504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,857,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLPJNHGGFGD48DA,0.0,0.0,0.0,無,
白河區,土地,竹子門段18-299地號,151.0,,一般農業區,農牧用地,1100503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,1192,,0.0,0,,RPSNMLOJNHGGFED87DA,0.0,0.0,0.0,無,
六甲區,土地,中社段116-2地號,48.0,,鄉村區,乙種建築用地,1100502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,5833,,0.0,0,,RPUNMLPJNHGGFFD28DA,0.0,0.0,0.0,無,
安南區,土地,科工段188地號,3344.13,工,,,1100503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,67949377,20319,,0.0,0,政府機關標讓售；,RPTNMLQJNHGGFBD97EA,0.0,0.0,0.0,無,
南區,土地,大山段438地號,6.19,住,,,1100502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,32310,,0.0,0,共有人間持分移轉、面積僅有1.87坪親友、員工、共有人或其他特殊關係間之交易；,RPPPMLPJNHGGFCD67DA,0.0,0.0,0.0,無,00001
柳營區,土地,篤農段293地號,134.87,,鄉村區,乙種建築用地,1100502,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1060800,7865,,0.0,0,,RPOOMLRJNHGGFDD87EA,0.0,0.0,0.0,無,00002
新營區,土地,姑爺段1095地號,2989.0,,特定農業區,農牧用地,1100506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2690000,900,,0.0,0,,RPOOMLKKNHGGFDD27EA,0.0,0.0,0.0,無,
北門區,土地,溪底寮段二重港小段644地號,1775.0,,一般農業區,農牧用地,1100503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1150000,648,,0.0,0,,RPRNMLKKNHGGFGD67DA,0.0,0.0,0.0,無,
楠西區,土地,中興段695地號,146.99,,一般農業區,林業用地,1100503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,140000,952,,0.0,0,,RPPNMLOJNHGGFJD08DA,0.0,0.0,0.0,無,
柳營區,土地,柳中段394地號,19.56,住,,,1100506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,5112,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLLKNHGGFDD08EA,0.0,0.0,0.0,無,
安定區,土地,保安段94地號,146.51,住,,,1100504,土地3建物1車位0,一層，二層，三層，騎樓,三層,其他,住商用,鋼筋混凝土造,0701119,191.93,0,0,0,有,無,11000000,75080,,0.0,0,,RPPNMLKKNHGGFHD57DA,0.0,0.0,0.0,無,
楠西區,土地,保生段484地號,3393.48,,一般農業區,農牧用地,1100506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,2652,,0.0,0,,RPPNMLMKNHGGFJD97DA,0.0,0.0,0.0,無,00003
歸仁區,土地,大同段1135地號,2.98,住,,,1100505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,144000,48322,,0.0,0,,RPQRMLLKNHGGFID28DA,0.0,0.0,0.0,無,
南區,土地,大山段438地號,30.95,住,,,1100505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,32310,,0.0,0,共有人間持分移轉、面積共9.36坪含土地增值稅或其他稅費；含仲介費；含地政士服務費；親友、員工、共有人或其他特殊關係間之交易；,RPVQMLRJNHGGFCD58DA,0.0,0.0,0.0,無,00001
歸仁區,土地,昭德段777地號,136.59,,鄉村區,乙種建築用地,1100504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3890000,28479,,0.0,0,,RPSQMLKKNHGGFID28DA,0.0,0.0,0.0,無,
新化區,土地,礁坑子段327-19地號,232.0,,山坡地保育區,丙種建築用地,1100503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,3017,,0.0,0,,RPQOMLLKNHGGFHD97EA,0.0,0.0,0.0,無,
仁德區,房地(土地+建物),太子路１９０巷３３弄１２號,16.85,住,,,1100502,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0700520,19.65,4,2,2,有,無,170000,8651,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLKKNHGGFID48EA,0.0,0.0,0.0,無,
仁德區,土地,嘉南段855地號,920.82,農,,,1100503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,7602,,0.0,0,,RPRNMLSJNHGGFID58DA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),南門路９７巷２號之３，２樓,34.2,住,,,1100503,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830826,146.57,3,2,2,有,有,7350000,50147,,0.0,0,,RPWPMLLKNHGGFAD87DA,94.03,0.0,9.91,有,
安南區,土地,溪墘段35-11地號,46.24,住,,,1100503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1818440,39326,,0.0,0,,RPRNMLLKNHGGFBD27DA,0.0,0.0,0.0,無,
新營區,土地,新東段422-1地號,354.78,住,,,1100510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16502811,46516,,0.0,0,,RPTQMLMKNHGGFDD18EA,0.0,0.0,0.0,無,
新營區,土地,新東段289地號,646.69,住,,,1100510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35603386,55055,,0.0,0,,RPSQMLMKNHGGFDD08EA,0.0,0.0,0.0,無,
安南區,土地,溪墘段35-17地號,101.51,住,,,1100503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2173470,21411,,0.0,0,,RPSNMLLKNHGGFBD37DA,0.0,0.0,0.0,無,
東山區,土地,新枋子林段77地號,67.39,,鄉村區,乙種建築用地,1100506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,203900,3026,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLLKNHGGFED47DA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區海安路二段４０１號七樓之５,3.49,商,,,1100504,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850725,35.25,1,0,1,有,有,1170000,33191,,0.0,0,,RPUPMLKKNHGGFAD57DA,24.74,0.0,0.0,有,
南化區,土地,南化段192地號,2237.0,,山坡地保育區,農牧用地,1100504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,805,,0.0,0,,RPRNMLMKNHGGFJD28EA,0.0,0.0,0.0,無,
