編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLSJOHGGFDD28DA,42,116.97,住商用,鋼筋混凝土造,68年4月26日,三層,一層 二層 三層,全筆移轉
RPPNMLKKNHGGFHD57DA,39,191.93,住商用,鋼筋混凝土造,70年11月19日,三層,一層 二層 三層 騎樓,全筆移轉
RPWPMLLKNHGGFAD87DA,27,103.94,住家用,鋼筋混凝土造,83年8月26日,五層,二層 陽台,全筆移轉
RPWPMLLKNHGGFAD87DA,27,42.63,共有部分,鋼筋混凝土造,83年8月26日,五層,,持分移轉
RPTPMLNKNHGGFAD77DA,38,113.86,住家用,鋼筋混凝土造,71年12月7日,四層,三層 陽台,全筆移轉
RPTPMLNKNHGGFAD77DA,38,14.60,共有部分,鋼筋混凝土造,71年12月7日,四層,,持分移轉
RPVOMLKKNHGGFID48EA,40,19.65,住商用,加強磚造,70年5月20日,二層,,持分移轉
RPVOMLRJNHGGFAD18DA,4,196.02,集合住宅,鋼筋混凝土構造,105年11月4日,二十四層,三層 陽台,全筆移轉
RPVOMLRJNHGGFAD18DA,4,134.32,本共有部分之項目有門廊、管理維護空間、公共服務空間、樓梯間、消防泵浦室、防災中心、蓄水池、水箱機房、機械室、停車空間兼防空避難室、停車空間,鋼筋混凝土構造,105年11月4日,二十四層,,持分移轉
RPVOMLRJNHGGFAD18DA,4,37.03,本共有部分之項目有樓梯間,鋼筋混凝土構造,105年11月4日,二十四層,,持分移轉
RPQNMLLKNHGGFKD08DA,2,50.62,住家用,鋼筋混凝土構造,107年12月14日,十八層,九層 陽台 雨遮,全筆移轉
RPQNMLLKNHGGFKD08DA,2,46.59,本共有部分之項目有停車空間、台電配電室、防空避難室兼停車空間、梯間、公共服務空間、車道、防災中心、緩衝空間、頂蓋型沿街步道式開放空間、頂蓋型廣場式開放空間、樓梯間、水箱及機房等１３項,鋼筋混凝土構造,107年12月14日,十八層,,持分移轉
RPOOMLOKNHGGFHD97DA,18,170.94,住家用,鋼筋混凝土造,92年1月17日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPXRMLMKNHGGFID09DA,36,90.68,住家用,鋼筋混凝土造,73年12月28日,二層,一層 二層 陽台,全筆移轉
RPPOMLOKNHGGFFD97EA,1,212.48,住家用,鋼筋混凝土構造,109年7月21日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQNMLOKNHGGFFD87DA,26,166.76,住家用,鋼筋混凝土造,83年12月28日,三層,一層 二層 三層 屋頂突出物 騎樓 見其他登記事項,全筆移轉
RPUPMLKKNHGGFAD57DA,25,24.74,住家用,鋼筋混凝土造,85年7月25日,十二層,七層,全筆移轉
RPUPMLKKNHGGFAD57DA,25,4.73,共有部分,鋼筋混凝土造,85年7月25日,十二層,,持分移轉
RPUPMLKKNHGGFAD57DA,25,5.78,共有部分,鋼筋混凝土造,85年7月25日,十二層,,持分移轉
RPUPMLKKNHGGFAD57DA,25,.00,共有部分,鋼筋混凝土造,85年7月25日,十二層,,
RPUQMLKKNHGGFCD87DA,39,10.67,共有部分,鋼筋混凝土造,71年2月1日,五層,,持分移轉
RPUQMLKKNHGGFCD87DA,39,52.30,住家用,鋼筋混凝土造,71年2月1日,五層,五層 陽台,全筆移轉
RPPNMLRKNHGGFAD57DA,45,95.00,住家用,鋼筋混凝土造,65年2月3日,三層,一層 二層 三層,全筆移轉
RPUQMLNKNHGGFAD97DA,24,59.03,住家用,鋼筋混凝土造,85年12月2日,十九層,二層 見其他登記事項,全筆移轉
RPUQMLNKNHGGFAD97DA,24,45.44,共有部分,鋼筋混凝土造,85年12月2日,十九層,,持分移轉
