鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
楠梓區,房地(土地+建物),壽豐路４３２號三樓之３,11.19,住,,,1110415,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820216,70.17,2,1,2,有,有,2480000,35343,,0.0,0,,RPWOMLOKNHGGFEE58DA,50.35,0.0,0.0,有,00001
阿蓮區,土地,福蓮段503地號,2141.08,,一般農業區,農牧用地,1100601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,2335,,0.0,0,受債權債務關係影響或債務抵償；,RPRNMLOJOHGGFJE48DA,0.0,0.0,0.0,無,
林園區,土地,中芸段1614-5地號,149.0,農,,,1100603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,547426,3674,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLNJOHGGFLE38DA,0.0,0.0,0.0,無,
旗山區,土地,花旗段494地號,3665.5,,山坡地保育區,農牧用地,1100603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,2183,,0.0,0,,RPPNMLNJOHGGFHE97DA,0.0,0.0,0.0,無,
岡山區,土地,嘉潭段472-2地號,29.71,,特定農業區,特定目的事業用地,1100601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,128644,4330,,0.0,0,抵費地移轉,RPUNMLTJOHGGFFE98EA,0.0,0.0,0.0,無,
大寮區,土地,三隆段764-26地號,57.07,住,,,1100602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1553730,27225,,0.0,0,,RPTNMLRJOHGGFLE56DA,0.0,0.0,0.0,無,
三民區,房地(土地+建物),延吉街１巷３４之１號,24.78,住,,,1100601,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671216,54.9,3,2,1,有,無,2100000,38251,,0.0,0,,RPPNMLMJOHGGFDE47DA,54.9,0.0,0.0,無,
大寮區,土地,三隆段256地號,71.15,商,,,1100503,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1808700,25421,,0.0,0,,RPQOMLSLMHGGFLE09DA,0.0,0.0,0.0,無,00002
大寮區,土地,三隆段250地號,31.95,都市：其他:道路用地,,,1100503,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,184726,5782,,0.0,0,包含公共設施保留地用地；,RPSOMLSLMHGGFLE66DA,0.0,0.0,0.0,無,00003
大寮區,土地,三隆段335地號,141.12,住,,,1100503,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2987600,21171,,0.0,0,,RPTOMLSLMHGGFLE76DA,0.0,0.0,0.0,無,00004
大寮區,土地,三隆段336地號,11.34,都市：其他:道路用地,,,1100503,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,65274,5756,,0.0,0,包含公共設施保留地用地；,RPUOMLSLMHGGFLE86DA,0.0,0.0,0.0,無,00005
三民區,房地(土地+建物),愛國路９７號六樓之８,3.22,住,,,1100501,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950726,16.02,1,1,1,有,有,880000,54931,,0.0,0,夾層；,RPROMLNJNHGGFDE77DA,6.3,2.46,0.0,有,
前鎮區,土地,鎮昌段28-527地號,87.0,住,,,1100503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,25287,,0.0,0,,RPWQMLQJNHGGFCE68DA,0.0,0.0,0.0,無,00006
旗山區,土地,欉仔坑段193地號,1293.02,,山坡地保育區,農牧用地,1100501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1955000,1512,,0.0,0,,RPQNMLKKNHGGFHE87EA,0.0,0.0,0.0,無,
前鎮區,土地,仁愛段397-120地號,294.0,商,,,1100503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10584000,36000,,0.0,0,政府機關標讓售；,RPUNMLKKNHGGFCE77EA,0.0,0.0,0.0,無,
林園區,土地,福德段342-1地號,66.58,住,,,1100505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,18023,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPQNMLSJNHGGFLE88DA,0.0,0.0,0.0,無,
