鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,建物,高雄市鼓山區美術東二路４６號１４樓之２,0.0,住,,,1100129,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931206,93.7,2,1,1,有,有,有,18600,199,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPWNMLRKKHGGFAE18CC
鹽埕區,建物,高雄市鹽埕區七賢三路２６９號１０樓之５２,0.0,商,,,1100201,土地0建物1車位0,十層,16,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0750217,27.6,1,0,1,有,有,有,4200,152,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPSOMLRKKHGGFAE87CC
鼓山區,土地,鼓南段四小段166地號,843.0,商,,,1100208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,100000,119,,0.0,0,110.05.01~110.05.07為整地期免租金空地出租,RPTOMLRKKHGGFAE97CC
鼓山區,房地(土地+建物),高雄市鼓山區美術南二路１３３號１F,38.6,住,,,1100123,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0940616,163.28,0,0,0,無,有,有,96712,592,,0.0,0,,RPPPMLRKKHGGFAE67CC
苓雅區,建物,高雄市苓雅區明德街２３號７樓之１７,0.0,住,,,1100205,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0720321,54.67,1,1,1,有,有,有,13500,247,,0.0,0,,RPVNMLRKKHGGFBE18CC
苓雅區,建物,高雄市苓雅區新光路６２巷１７號５樓之３,0.0,商,,,1100204,土地0建物1車位0,五層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,127.36,3,2,2,有,有,有,15000,118,,0.0,0,,RPOOMLRKKHGGFBE57CC
苓雅區,建物,高雄市苓雅區新光路６２巷１５號１０樓之３,0.0,商,,,1100208,土地0建物1車位0,十層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,137.62,3,2,2,有,有,有,15000,109,,0.0,0,,RPQOMLRKKHGGFBE77CC
苓雅區,建物,高雄市苓雅區新光路６２巷５號６樓之２,0.0,商,,,1100205,土地0建物1車位0,六層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,122.62,3,2,2,有,有,有,16631,136,,0.0,0,,RPROMLRKKHGGFBE87CC
苓雅區,建物,高雄市苓雅區新光路６２巷２１號９樓之３,0.0,商,,,1100209,土地0建物1車位0,九層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,94.05,2,2,1,有,有,有,14000,149,,0.0,0,,RPTOMLRKKHGGFBE08CC
苓雅區,建物,高雄市苓雅區新光路２８巷１１之２號,0.0,商,,,1100129,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0661110,56.91,2,1,1,有,無,有,8800,155,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPUOMLRKKHGGFBE18CC
