編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLRKKHGGFBE18CC,38,54.67,,鋼筋混凝土造,72年3月21日,七層,,
RPSOMLRKKHGGFAE87CC,35,19.80,,鋼筋混凝土造,75年2月17日,十六層,,
RPSOMLRKKHGGFAE87CC,35,5.92,,鋼筋混凝土造,75年2月17日,十六層,,
RPSOMLRKKHGGFAE87CC,35,1.88,,鋼筋混凝土造,75年2月17日,十六層,,
RPPPMLRKKHGGFAE67CC,16,163.28,商業用,鋼筋混凝土造,94年6月16日,十四層,,
RPWNMLRKKHGGFAE18CC,16,65.64,住家用,鋼筋混凝土造,93年12月6日,十四層,,
RPOOMLRKKHGGFBE57CC,24,98.06,住家用,鋼筋混凝土造,86年4月21日,三十五層,,
RPWNMLRKKHGGFAE18CC,16,28.06,共有部份,鋼筋混凝土造,93年12月6日,十四層,,
RPOOMLRKKHGGFBE57CC,24,29.30,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,,
RPQOMLRKKHGGFBE77CC,24,102.33,住家用,鋼筋混凝土造,86年4月21日,三十五層,,
RPROMLRKKHGGFBE87CC,24,87.33,住家用,鋼筋混凝土造,86年4月21日,三十五層,,
RPQOMLRKKHGGFBE77CC,24,35.29,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,,
RPROMLRKKHGGFBE87CC,24,35.29,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,,
RPUOMLRKKHGGFBE18CC,43,49.35,,鋼筋混凝土造,66年11月10日,五層,,
RPUOMLRKKHGGFBE18CC,43,7.56,,鋼筋混凝土造,66年11月10日,五層,,
RPTOMLRKKHGGFBE08CC,24,73.41,住家用,鋼筋混凝土造,86年4月21日,三十五層,,
RPTOMLRKKHGGFBE08CC,24,20.64,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,,
RPROMLRKKHGGFCE97CC,39,72.71,,鋼筋混凝土造,70年12月10日,五層,,
RPSOMLRKKHGGFDE18CC,42,71.13,,鋼筋混凝土造,68年1月26日,四層,,
