編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXPMLRKKHGGFBF68CC,登林段,.00,都市：住,,,,09470000
RPQQMLRKKHGGFHF68CC,秀峰段,.00,都市：住,,,,01800000
RPPPMLRKKHGGFBF87CC,國宅段,34.60,都市：住,,,,00180004
RPSRMLRKKHGGFHF98CC,永安段,.00,都市：商,,,,01600000
RPSQMLRKKHGGFBF28CC,泰山段一小段,.00,都市：住,,,,06680000
RPORMLRKKHGGFHF58CC,東南段,.00,都市：住,,,,08080000
RPXNMLRKKHGGFIF56CC,大學段一小段,.00,都市：住,,,,01860000
RPOOMLRKKHGGFIF38CC,太平段,.00,都市：住,,,,09120000
RPOQMLRKKHGGFGF38CC,民權段,.00,都市：住,,,,07880000
RPPPMLRKKHGGFDF08CC,金龍段,21.43,都市：住,,,,02650000
RPQQMLRKKHGGFGF58CC,仁興段,.00,都市：住,,,,12050000
RPSQMLRKKHGGFGF78CC,集賢段,.00,都市：住,,,,00960000
RPWQMLRKKHGGFEF98CC,長興段,5.58,都市：住,,,,04510000
RPWSMLRKKHGGFEF76EC,新市段,7.76,都市：商,,,,01410000
RPXRMLRKKHGGFAF78CC,運校段,.00,都市：住,,,,09360000
RPXSMLRKKHGGFEF86EC,新市段,7.76,都市：商,,,,01410000
RPVRMLRKKHGGFAF58CC,明德段,.00,都市：住,,,,02110000
RPVNMLSKKHGGFEF68CC,新興段,.00,都市：住,,,,00990000
RPXNMLSKKHGGFEF88CC,中山段,.00,都市：住,,,,10870000
RPOOMLSKKHGGFEF08CC,新市段,.00,都市：住,,,,01860000
RPWPMLSKKHGGFEF98CC,公司田段,19.71,都市：住,,,,02050000
RPOQMLSKKHGGFEF28CC,公司田段,23.14,都市：住,,,,02050000
RPUPMLSKKHGGFEF78CC,公司田段,24.52,都市：住,,,,02050000
RPSPMLSKKHGGFEF58CC,公司田段,.00,都市：住,,,,00270000
RPTOMLSKKHGGFEF58CC,仁愛段,.00,都市：商,,,,01300000
RPPQMLSKKHGGFEF38CC,公司田段,16.16,都市：住,,,,02050000
RPPPMLSKKHGGFCF08CC,莊敬段,.00,都市：工,,,,07800000
