編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTOMLLJOHGGFAG77DA,36,99.57,住家用,鋼筋混凝土加強磚造,74年5月4日,二層,一層 二層 見其他登記事項,全筆移轉
RPQNMLSJOHGGFAG08DA,26,69.48,住家用,鋼筋混凝土造,84年3月30日,五層,五層 陽台,全筆移轉
RPQNMLSJOHGGFAG08DA,26,9.57,共同使用部份（梯間）,鋼筋混凝土造,84年3月30日,五層,,持分移轉
RPRPMLRKNHGGFBG48EA,25,12.85,共有部分,鋼筋混凝土造,85年1月8日,六層,,持分移轉
RPRPMLRKNHGGFBG48EA,25,5.27,共有部分,鋼筋混凝土造,85年1月8日,六層,,持分移轉
RPRPMLRKNHGGFBG48EA,25,42.00,住家用,鋼筋混凝土造,85年1月8日,六層,三層 陽台,全筆移轉
RPOOMLSKNHGGFAG97DA,30,161.51,住家用,鋼筋混凝土造,80年8月30日,三層,一層 二層 三層,全筆移轉
RPVNMLSKNHGGFAG58DA,15,184.26,住宅．停車空間,鋼筋混凝土造,95年5月23日,三層,一層 二層 三層 陽台 平台,全筆移轉
RPSPMLOKNHGGFAG08DA,4,91.68,住家用,鋼筋混凝土造,106年9月8日,四層,四層 陽台,全筆移轉
RPSPMLOKNHGGFAG08DA,4,54.07,停車空間,鋼筋混凝土造,106年9月8日,四層,,持分移轉
RPWPMLOKNHGGFAG48DA,26,217.94,住家用,鋼筋混凝土造,84年9月19日,四層,一層 二層 三層 四層 陽台 平台,全筆移轉
RPQNMLTKNHGGFBG38EA,,125.06,住家用,鋼筋混凝土加強磚造,,二層,一層 二層,全筆移轉
RPXNMLKLNHGGFBG28EA,4,232.16,停車空間、住宅、樓梯間,鋼筋混凝土造,106年6月14日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPUMLSKNHGGFBG78DA,40,103.12,住家用,鋼筋混凝土加強磚造,70年3月20日,四層,二層,全筆移轉
RPPUMLSKNHGGFBG78DA,40,8.05,共有部份,鋼筋混凝土造,70年3月20日,四層,,持分移轉
RPROMLKKNHGGFBG57DA,3,44.00,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,八層 陽台,全筆移轉
RPROMLKKNHGGFBG57DA,3,35.62,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,,持分移轉
RPVNMLLLNHGGFAG97DA,6,231.18,住家用,鋼筋混凝土造,104年5月7日,三層,一層 二層 三層,全筆移轉
RPXNMLRKNHGGFAG68DA,22,31.78,住家用,鋼筋混凝土造,88年1月28日,十四層,八層 陽台,全筆移轉
RPXNMLRKNHGGFAG68DA,22,24.00,共同使用部份　梯間．通道．防空避難室．停車場,鋼筋混凝土造,88年1月28日,十四層,,持分移轉
RPTNMLKLNHGGFBG77DA,3,78.05,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,二十九層 陽台,全筆移轉
RPTNMLKLNHGGFBG77DA,3,63.26,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,,持分移轉
RPROMLKLNHGGFBG77EA,3,242.82,店舖、飲食店、住宅,鋼筋混凝土造,107年2月2日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLOLNHGGFBG28EA,35,7.70,樓梯間,鋼筋混凝土造,75年2月6日,五層,,持分移轉
RPTNMLOLNHGGFBG28EA,35,81.02,商業用,鋼筋混凝土造,75年2月6日,五層,一層 騎樓,全筆移轉
RPTOMLKLNHGGFBG87DA,28,60.25,住家用,鋼筋混凝土造,82年10月6日,七層,五層 陽台,全筆移轉
RPTOMLKLNHGGFBG87DA,28,22.58,共有部份,鋼筋混凝土造,82年10月6日,七層,,持分移轉
RPQNMLLLNHGGFBG57DA,15,42.40,住家用,鋼筋混凝土造,95年9月21日,十四層,十三層 陽台,全筆移轉
RPQNMLLLNHGGFBG57DA,15,1.15,共有部份,鋼筋混凝土造,95年9月21日,十四層,,持分移轉
RPQNMLLLNHGGFBG57DA,15,15.95,共有部份,鋼筋混凝土造,95年9月21日,十四層,,持分移轉
RPQNMLLLNHGGFBG57DA,15,7.66,共有部份,鋼筋混凝土造,95年9月21日,十四層,,持分移轉
RPXNMLQJNHGGFBG58DA,1,190.04,住家用,鋼筋混凝土造,109年10月30日,三層,一層 二層 三層 陽台,全筆移轉
RPUNMLOLNHGGFBG28DA,24,17.16,住家用,鋼筋混凝土造,86年2月24日,五層,四層 陽台,全筆移轉
RPUNMLOLNHGGFBG28DA,24,6.84,共有部份,鋼筋混凝土造,86年2月24日,五層,,持分移轉
RPPOMLMKNHGGFBG57DA,3,6.38,住宅、樓梯間,鋼筋混凝土造,107年8月6日,三層,一層 二層 三層,持分移轉
RPPOMLMKNHGGFBG57DA,3,292.43,住宅、樓梯間,鋼筋混凝土造,107年8月6日,四層,一層 二層 三層 四層 陽台 屋簷 見其他登記事項,全筆移轉
RPQPMLKLNHGGFAG57DA,9,200.49,住家用,鋼筋混凝土造,101年10月26日,三層,一層 二層 三層 陽台 雨遮,全筆移轉
RPTOMLLLNHGGFAG87DA,40,96.00,住家用,鋼筋混凝土加強磚造,70年2月18日,二層,一層 二層 騎樓,全筆移轉
RPTOMLTKNHGGFAG58DA,,52.61,集合住宅,鋼筋混凝土造,110年1月28日,五層,二層 陽台,全筆移轉
RPXOMLTKNHGGFAG98DA,27,96.44,住家用,鋼筋混凝土造,82年12月11日,七層,二層 陽台,全筆移轉
RPTOMLTKNHGGFAG58DA,,13.31,本共有部分之項目有樓梯間等１項。,鋼筋混凝土造,110年1月28日,五層,,持分移轉
RPXOMLTKNHGGFAG98DA,27,38.38,停車場、防空避難室,鋼筋混凝土造,82年12月11日,七層,,持分移轉
