編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLKKLHGGFAG67CB,大洲二段,103.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050002
RPWNMLKKLHGGFAG67CB,大洲二段,22.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050005
RPWNMLKKLHGGFAG67CB,大洲二段,24.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,4,1,持分移轉,08050007
RPOOMLKKLHGGFAG96CB,大洲二段,86.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050009
RPPOMLKKLHGGFAG07CB,大洲二段,86.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050010
RPTOMLKKLHGGFAG47CB,大洲二段,94.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050014
RPTNMLKKLHGGFAG37CB,大洲二段,102.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050013
RPTNMLKKLHGGFAG37CB,大洲二段,23.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050006
RPTNMLKKLHGGFAG37CB,大洲二段,24.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,4,1,持分移轉,08050007
RPXNMLKKLHGGFAG77CB,大洲二段,112.11,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050008
RPVNMLKKLHGGFAG57CB,大洲二段,86.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050011
RPSOMLKKLHGGFAG37CB,大洲二段,94.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050013
RPQOMLKKLHGGFAG17CB,大洲二段,91.33,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050012
RPUOMLKKLHGGFAG57CB,大洲二段,94.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050015
RPVOMLKKLHGGFAG67CB,大洲二段,121.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050016
RPXOMLKKLHGGFAG87CB,大洲二段,168.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050000
RPXOMLKKLHGGFAG87CB,大洲二段,24.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,4,1,持分移轉,08050007
RPWOMLKKLHGGFAG77CB,大洲二段,103.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050001
RPWOMLKKLHGGFAG77CB,大洲二段,22.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050004
RPWOMLKKLHGGFAG77CB,大洲二段,24.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,4,1,持分移轉,08050007
RPTOMLKLMHGGFAG87EB,大吉二段,49.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,6725,持分移轉,04840000
RPVOMLKLMHGGFAG08EB,大吉二段,50.88,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,6855,持分移轉,04840000
RPOPMLKLMHGGFAG47EB,大吉二段,50.88,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,6855,持分移轉,04840000
RPPPMLKLMHGGFAG57EB,大吉二段,49.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,6725,持分移轉,04840000
RPRPMLKLMHGGFAG77EB,大吉二段,36.90,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,4971,持分移轉,04840000
RPXOMLKLMHGGFAG28EB,大吉二段,49.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,6725,持分移轉,04840000
RPWOMLKLMHGGFAG18EB,大吉二段,50.88,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,6855,持分移轉,04840000
RPQNMLKLMHGGFAG47EB,大吉二段,37.67,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5075,持分移轉,04840000
RPQPMLKLMHGGFAG67EB,大吉二段,41.64,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5610,持分移轉,04840000
RPSOMLKLMHGGFAG77EB,大吉二段,49.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,6725,持分移轉,04840000
RPSPMLKLMHGGFAG87EB,大吉二段,36.90,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,4971,持分移轉,04840000
RPVPMLKLMHGGFAG18EB,大吉二段,38.89,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5239,持分移轉,04840000
RPTPMLKLMHGGFAG97EB,大吉二段,38.89,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5239,持分移轉,04840000
RPWPMLKLMHGGFAG28EB,大吉二段,41.64,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5610,持分移轉,04840000
RPUPMLKLMHGGFAG08EB,大吉二段,38.89,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5239,持分移轉,04840000
RPOQMLKLMHGGFAG57EB,大吉二段,36.90,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,4971,持分移轉,04840000
RPXPMLKLMHGGFAG38EB,大吉二段,41.64,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5610,持分移轉,04840000
