鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路二段３６２號,68.45,其他,,,1100214,土地1建物1車位0,見其他登記事項,1,店面(店鋪),住家用,磚造,0530105,47.5,3,2,1,有,無,無,12400,261,,0.0,0,,RPPOMLRKKHGGFAG77CC
頭城鎮,建物,宜蘭縣頭城鎮朝陽路１號３樓之１１,0.0,住,,,1100130,土地0建物1車位0,三層,29,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1061221,44.0,1,1,1,有,有,有,14000,318,,0.0,0,,RPSOMLSKKHGGFBG28CC
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉廣興路３２６巷２號４F,25.99,,特定農業區,甲種建築用地,1100205,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860819,101.57,2,1,2,有,無,無,4800,47,,0.0,0,,RPPNMLMLKHGGFAG27CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮義和巷１號４樓,26.8,商,,,1100221,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830521,98.49,3,2,2,有,無,無,9500,96,,0.0,0,,RPSNMLNLKHGGFAG67CC
宜蘭市,建物,宜蘭縣宜蘭市民族路３２０號二樓,0.0,住,,,1100213,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830316,121.89,3,2,2,有,無,有,11000,90,,0.0,0,,RPRNMLNLKHGGFBG67CC
宜蘭市,建物,宜蘭縣宜蘭市民族路３８２號,4067.87,住,,,1100205,土地0建物1車位0,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0820921,167.54,0,0,1,有,無,有,34000,203,,0.0,0,,RPWNMLOLKHGGFBG28CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中正北路３２號６樓之１５,5.13,商,,,1100223,土地1建物1車位0,六層,10,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0861211,29.28,1,1,1,有,有,有,7000,239,,0.0,0,,RPQNMLOLKHGGFAG57CC
羅東鎮,建物,宜蘭縣羅東鎮中正路１９２號,58.0,商,,,1100225,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0691230,49.18,0,0,0,無,無,有,19000,386,,0.0,0,1.貳樓以上租賃期間供承租方無償使用。2.110/2/25-110/3/31為免租金整理期。,RPXNMLQLKHGGFAG48CC
五結鄉,土地,五結段988-7地號,275.5,住,,,1100224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,33000,120,,0.0,0,,RPOOMLQLKHGGFAG67CC
