編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOSMLRKKHGGFAH18CC,同安段,29.91,都市：住,,,,15060000
RPQRMLRKKHGGFAH28CC,慈文段,20.97,都市：住,,,,21490000
RPQNMLSKKHGGFHH68CC,樂善段,.00,都市：住,,,,00630000
RPUQMLRKKHGGFAH58CC,中路三段,14.51,都市：住,,,,00560000
RPWNMLRKKHGGFFH98CC,明智段,16.04,都市：住,,,,00040000
RPRNMLRKKHGGFEH48DC,錦興段,137.78,都市：住,,,,01870000
RPWNMLSKKHGGFGH56CC,南華段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,14580000
RPUOMLSKKHGGFCH68CC,潛龍段,601.67,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01150007
RPUOMLSKKHGGFCH68CC,潛龍段,645.84,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01150006
RPOPMLSKKHGGFDH28CC,二重溪段,14.50,都市：其他:市場用地,,,,00510003
RPPRNLSKKHGGFAH38CC,富國段,14.62,都市：住,,,,08530000
RPQOMLSKKHGGFEH48CC,開南段,928.77,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,03090000
RPWNMLSKKHGGFEH98CC,大新段,53.81,都市：住,,,,01720000
RPQOMLSKKHGGFBH18CC,青溪段,19.42,都市：住,,,,04110000
RPVPMLTKKHGGFBH88CC,興南段興南小段,.00,都市：商,,,,02700000
RPXQMLTKKHGGFBH56CC,青昇段,7.80,都市：住,,,,04600000
RPVVNLSKKHGGFAH76CC,中路二段,.00,都市：住,,,,00690000
RPQOMLTKKHGGFAH18CC,中路段,.00,都市：工,,,,16200003
RPPPMLTKKHGGFAH18CC,中山段,.00,都市：住,,,,01440000
RPQOMLTKKHGGFEH58CC,南崁廟口段廟口小段,.00,都市：住,,,,00370000
RPOQMLTKKHGGFHH88CC,大同段,29.21,都市：住,,,,08770000
RPVQMLTKKHGGFHH96CC,山德段,23.86,都市：住,,,,02710000
RPQOMLKLKHGGFHH08CC,大同段,.00,都市：住,,,,03050002
RPQOMLTKKHGGFDH48CC,東勢段上庄子小段,711.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,03000000
RPVPMLSKKHGGFDH98CC,楊湖段,2501.36,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03980000
RPVPMLSKKHGGFDH98CC,楊湖段,2501.64,非都市：特定農業區 ; 非都市編定：農牧用地,,,,04160000
RPSQMLKLKHGGFDH08CC,頭重溪段,.00,都市：住,,,,00390076
RPQOMLTKKHGGFDH48CC,東勢段上庄子小段,82.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,03010003
RPQOMLTKKHGGFDH48CC,東勢段上庄子小段,256.50,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,03010004
RPUQMLKLKHGGFDH28CC,幼獅段,.00,都市：住,,,,12430000
RPWQMLKLKHGGFDH48CC,二重溪段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,01950458
RPOQMLSKKHGGFDH38CC,高上段,2927.89,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00220010
RPPQMLKLKHGGFDH77CC,長岡嶺段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,01330000
