編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLKKNHGGFAI87DA,盧厝段,1480.08,都市：其他:農業區,6646084,2784240,持分移轉,03430006
RPSNMLSJOHGGFAI58EA,下路頭段,61.00,都市：其他:住宅區,1,1,全筆移轉,07760011
RPXOMLNKNHGGFAI68EA,竹圍子段,81.00,都市：其他:住宅區,1,1,全筆移轉,01820025
RPXOMLNKNHGGFAI68EA,竹圍子段,1.00,都市：其他:住宅區,1,1,全筆移轉,01820105
RPXOMLNKNHGGFAI68EA,竹圍子段,76.00,都市：其他:住宅區,1,1,全筆移轉,01820106
RPSOMLOKNHGGFAI28EA,荖藤段,21.17,都市：其他:河川區,4000,309,持分移轉,00100002
RPSOMLOKNHGGFAI28EA,荖藤段,609.55,都市：其他:農業區,10000,3091,持分移轉,00100007
RPVOMLSKNHGGFAI98EA,荖藤段,10.62,都市：其他:河川區,16000000,620000,持分移轉,00100002
RPVOMLSKNHGGFAI98EA,荖藤段,304.87,都市：其他:農業區,100000000,15460000,持分移轉,00100007
RPQNMLTKNHGGFAI48EA,下路頭段,67.00,都市：其他:住宅區,1,1,全筆移轉,07220029
RPSNMLTKNHGGFAI68EA,劉厝段玉山小段,38.38,都市：其他:住宅區,2,1,持分移轉,00500038
RPSNMLTKNHGGFAI68EA,劉厝段玉山小段,38.38,都市：其他:住宅區,2,1,持分移轉,00500038
RPSNMLTKNHGGFAI68EA,劉厝段玉山小段,12.09,都市：其他:住宅區,16,1,持分移轉,00500045
RPSNMLTKNHGGFAI68EA,劉厝段玉山小段,12.09,都市：其他:住宅區,16,1,持分移轉,00500045
RPSNMLTKNHGGFAI68EA,劉厝段玉山小段,.33,都市：其他:住宅區,16,1,持分移轉,00500046
RPSNMLTKNHGGFAI68EA,劉厝段玉山小段,.33,都市：其他:住宅區,16,1,持分移轉,00500046
RPUOMLNKNHGGFAI28DA,盧東段,183.55,都市：其他:住宅區,1,1,全筆移轉,02190021
