編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLKKNHGGFET88DA,1,299.91,住宅（Ｈ－２）,鋼筋混凝土構造,109年6月2日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTOMLMKNHGGFCT76DA,21,6.37,梯間、機械室、電信室、停車空間、水塔、台電配電場,鋼筋混凝土造,88年11月30日,五層,,持分移轉
RPTOMLMKNHGGFCT76DA,21,16.11,住家用,鋼筋混凝土造,88年11月30日,五層,四層 陽台,全筆移轉
RPUNMLNKNHGGFAT76EA,36,182.23,住家用,鋼筋混凝土造,74年8月2日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPSNMLLKNHGGFET66DA,26,29.80,住家用,鋼筋混凝土造,83年11月16日,三層,一層 陽台,全筆移轉
RPSNMLLKNHGGFET66DA,26,20.96,公共設施,鋼筋混凝土造,83年11月16日,三層,,持分移轉
RPRPMLOKNHGGFAT76EA,35,104.79,住家用,加強磚造,75年3月4日,二層,一層 二層 屋頂突出物,全筆移轉
RPQNMLLKNHGGFAT68DA,26,30.80,辦公室,鋼筋混凝土造,84年2月24日,七層,七層 陽台,全筆移轉
RPQNMLLKNHGGFAT68DA,26,15.15,受電室，避難室，水箱，停車空間,鋼筋混凝土造,84年2月24日,七層,,持分移轉
RPSNMLRKNHGGFBT96DA,28,97.21,住商用,鋼筋混凝土造,82年5月22日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,持分移轉
RPXOMLQJNHGGFCT47DA,17,5.97,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPXOMLQJNHGGFCT47DA,17,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPXOMLQJNHGGFCT47DA,17,12.50,見使用執照,鋼筋混凝土造,93年7月12日,六層,六層 陽台,全筆移轉
RPROMLRJNHGGFAT76DA,21,62.91,集合住宅,鋼筋混凝土造,88年12月4日,十四層,十層 陽台,全筆移轉
RPROMLRJNHGGFAT76DA,21,23.05,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,持分移轉
RPQNMLTKNHGGFCT17EA,41,97.80,住商用,加強磚造,69年7月4日,二層,一層 二層 騎樓,全筆移轉
RPVOMLNKNHGGFAT86DA,13,9.78,辦公室,鋼筋混凝土造,97年3月5日,四層,四層 陽台 雨遮,全筆移轉
RPVOMLNKNHGGFAT86DA,13,4.83,辦公室、機電空間、梯廳,鋼筋混凝土造,97年3月5日,四層,,持分移轉
RPTNMLNKNHGGFAT56DA,27,26.53,住家用,鋼筋混凝土造,82年12月4日,十五層,九層,全筆移轉
RPTNMLNKNHGGFAT56DA,27,13.22,走道，梯間，開放空間，地下室等公共設施,鋼筋混凝土造,82年12月4日,十五層,,持分移轉
RPRNMLNKNHGGFDT66DA,7,63.61,梯間、管理委員會空間、電梯機房、水箱、防空避難室兼停車空間,鋼筋混凝土構造,103年10月15日,十四層,,持分移轉
RPRNMLNKNHGGFDT66DA,7,107.17,集合住宅,鋼筋混凝土構造,103年10月15日,十四層,十四層 陽台 雨遮,全筆移轉
RPOOMLRKNHGGFET96DA,40,103.24,住商用,加強磚造,70年5月20日,二層,一層 二層 騎樓,全筆移轉
RPRNMLTKNHGGFBT17EA,43,95.15,住商用,加強磚造,67年8月18日,二層,一層 二層 騎樓,全筆移轉
RPPNMLKLNHGGFBT78EA,27,109.76,住家用,加強磚造,82年11月9日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPTNMLRKNHGGFDT27DA,1,73.82,集合住宅,鋼筋混凝土構造,109年7月13日,五層,二層 陽台,全筆移轉
RPTNMLRKNHGGFDT27DA,1,55.39,本共有部分之項目有停車空間、車道、管委會使用空間、台電配電室、配電室、電信室、樓梯間等７項,鋼筋混凝土構造,109年7月13日,五層,,持分移轉
RPXNMLRKNHGGFDT67DA,26,86.58,住家用,鋼筋混凝土造,83年11月21日,四層,一層 二層 三層 四層 陽台,持分移轉
RPXNMLRKNHGGFDT67DA,26,86.58,住家用,鋼筋混凝土造,83年11月21日,四層,一層 二層 三層 四層 陽台,持分移轉
RPUNMLOJNHGGFDT96DA,45,132.24,住家用,鋼筋混凝土造,65年9月27日,三層,一層 二層 三層 騎樓,全筆移轉
