鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
屏東市,房地(土地+建物)+車位,屏東縣屏東市機場北路５９６號５樓,22.54,住,,,1100208,土地1建物1車位1,五層,5,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,182.9,3,2,2,有,有,有,15000,82,坡道平面,24.01,0,,RPPNMLNLKHGGFAT68CC
麟洛鄉,房地(土地+建物),屏東縣麟洛鄉中山路３４０號,3050.57,工,,,1100126,土地2建物1車位0,見其他登記事項,1,工廠,廠房、防空避難室、機械室、儲藏室,鋼筋混凝土構架造、 鋼架構造、鋼鐵造﹝有牆﹞,0790522,992.0,0,0,0,無,無,無,69000,,,0.0,0,,RPSNMLNLKHGGFAT98CC
屏東市,房地(土地+建物),屏東縣屏東市建興南路２-２號,15.75,住,,,1100218,土地1建物1車位0,見其他登記事項,16,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830701,126.55,3,2,2,有,有,無,15000,119,,0.0,0,,RPROMLPLKHGGFAT66DC
長治鄉,建物,屏東縣長治鄉香楊路１巷３５之９號,0.0,住,,,1100225,土地0建物1車位0,全,1,透天厝,住家用,見其他登記事項,0911230,17.46,1,0,1,有,無,有,3500,200,,0.0,0,,RPTOMLQLKHGGFAT86CC
屏東市,房地(土地+建物),屏東縣屏東市廣勝路１８９號,72.54,住,,,1100209,土地3建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1040506,59.0,0,0,0,無,無,無,20000,339,,0.0,0,,RPQNMLMJLHGGFAT58CC
屏東市,房地(土地+建物),屏東縣屏東市高原一街２號１+２樓,107.0,住,,,1100205,土地1建物1車位0,二層,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,0940113,121.56,1,1,2,有,無,無,10000,82,,0.0,0,,RPTOMLPJLHGGFAT66CC
屏東市,房地(土地+建物),屏東縣屏東市高原一街２號３+４樓,107.0,住,,,1100205,土地1建物0車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0940113,102.4,4,0,2,有,無,無,12000,117,,0.0,0,,RPUOMLPJLHGGFAT76CC
東港鎮,房地(土地+建物),屏東縣東港鎮沿海路５之７號,80.75,其他,,,1100308,土地1建物1車位0,全,4,透天厝,店舖、住宅,鋼筋混凝土造,0941020,206.43,4,3,5,有,無,有,18000,87,,0.0,0,,RPROMLKKLHGGFDT98CC
東港鎮,建物,屏東縣東港鎮船頭路２５之２４６號４樓,0.0,其他,,,1100311,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0830625,119.92,3,1,2,有,無,有,10000,83,,0.0,0,108年度屏東縣政府包租代管計畫,RPQNMLMKLHGGFDT98CC
