編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLKKQHGGFHB48EA,26,147.81,住家用,鋼筋混凝土造,84年5月9日,八層,七層 八層 陽台 露台 花台,全筆移轉
RPWNMLKKQHGGFHB48EA,26,47.85,共用部份,鋼筋混凝土造,84年5月9日,八層,,持分移轉
RPXPMLNJQHGGFBB28DA,29,179.10,住商用,鋼筋混凝土造,81年6月1日,七層,一層 二層 陽台 平台 騎樓 地下層,全筆移轉
RPXPMLNJQHGGFBB28DA,29,33.55,共用部份,鋼筋混凝土造,81年6月1日,七層,,持分移轉
RPOOMLMJQHGGFHB77DA,5,51.68,集合住宅,鋼筋混凝土造,105年11月15日,十二層,九層 陽台 雨遮,全筆移轉
RPOOMLMJQHGGFHB77DA,5,62.96,停車空間、樓梯間、昇降機間、梯廳、消防機械室兼污水機房、車道、蓄水池、防空避難室兼停車空間、台電配電室、電信室、緊急發電機室、管委會空間、水箱、機械室、電梯機房等十五項,鋼筋混凝土造,105年11月15日,十二層,,持分移轉
RPSNMLLKQHGGFAB37DA,27,23.15,住家用,鋼筋混凝土造,84年1月13日,十九層,五層 陽台,全筆移轉
RPSNMLLKQHGGFAB37DA,27,3.81,共用部份,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPSNMLLKQHGGFAB37DA,27,8.34,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPOPMLMJQHGGFAB17DA,27,20.16,住家用,鋼筋混凝土造,83年12月7日,十五層,九層,全筆移轉
RPOPMLMJQHGGFAB17DA,27,10.31,共有部份,鋼筋混凝土造,83年12月7日,十五層,,持分移轉
RPOPMLQJQHGGFFB08DA,3,189.21,停車空間，住宅,鋼筋混凝土造,107年2月6日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPWNMLNJQHGGFBB97DA,29,37.69,住家用,鋼筋混凝土造,81年12月8日,八層,四層 陽台,全筆移轉
RPWNMLNJQHGGFBB97DA,29,11.24,共用部份,鋼筋混凝土造,81年12月8日,八層,,持分移轉
RPUPMLTLPHGGFBB68DA,26,4.53,共用部份,鋼筋混凝土造,84年6月26日,二十四層,,持分移轉
RPUPMLTLPHGGFBB68DA,26,3.46,共用部份,鋼筋混凝土造,84年6月26日,二十四層,,持分移轉
RPUPMLTLPHGGFBB68DA,26,.00,共用部份,鋼筋混凝土造,84年6月26日,二十四層,,
