編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLNJRHGGFLE88DA,30,154.98,住商用,鋼筋混凝土造,81年1月15日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPVNMLTJRHGGFBE88DA,40,21.66,,鋼筋混凝土造,70年10月20日,十一層,八層,全筆移轉
RPPNMLKKQHGGFJE28EA,26,68.49,本共有部分之項目有防空避難室兼停車空間、樓梯間、機械室及水箱等五項。,鋼筋混凝土造,84年12月30日,十七層,,持分移轉
RPVNMLTJRHGGFBE88DA,40,4.92,,鋼筋混凝土造,70年10月20日,十一層,,持分移轉
RPPNMLKKQHGGFJE28EA,26,81.13,住家用,鋼筋混凝土造,84年12月30日,十七層,十四層 陽台,全筆移轉
RPRNMLTJRHGGFHE56EA,26,81.79,住家用,鋼筋混凝土造,85年1月11日,十二層,二層 陽台 花台,全筆移轉
RPRNMLTJRHGGFHE56EA,26,27.41,共有部份,鋼筋混凝土造,85年1月11日,十二層,,持分移轉
RPWNMLTJQHGGFDE56EA,40,79.74,,鋼筋混凝土造,70年5月6日,五層,三層 陽台,全筆移轉
RPUNMLLKQHGGFAE87DA,48,62.72,,鋼筋混凝土造,62年6月5日,四層,一層 二層 三層 四層,持分移轉
RPSOMLPJQHGGFBE18DA,28,28.84,住家用,鋼筋混凝土造,82年4月16日,十層,九層 陽台,全筆移轉
RPSOMLPJQHGGFBE18DA,28,29.84,住家用,鋼筋混凝土造,82年4月16日,十層,九層 陽台,全筆移轉
RPSOMLPJQHGGFBE18DA,28,7.50,見使用執照,鋼筋混凝土造,82年4月16日,十層,,持分移轉
RPSOMLPJQHGGFBE18DA,28,8.12,見使用執照,鋼筋混凝土造,82年4月16日,十層,,持分移轉
RPSOMLLKQHGGFGE48EA,43,73.02,住家用,鋼筋混凝土造,67年5月30日,四層,四層,全筆移轉
RPTNMLLKQHGGFEE18DA,,55.02,住家用,土造,,一層,一層,持分移轉
RPTNMLLKQHGGFAE77DA,13,79.15,共有部份,鋼筋混凝土造,97年10月14日,二十七層,,持分移轉
RPVNMLTJQHGGFLE17DA,29,211.36,住家用,鋼筋混凝土造,81年3月2日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQPMLOJQHGGFDE18DA,26,25.64,住家用,鋼筋混凝土造,84年2月14日,十二層,五層 陽台,全筆移轉
RPQPMLOJQHGGFDE18DA,26,6.64,見使用執照,鋼筋混凝土造,84年2月14日,十二層,,持分移轉
RPWOMLLKQHGGFGE78DA,40,98.32,住家用,鋼筋混凝土造,70年12月16日,五層,三層 陽台,全筆移轉
RPQNMLPKQHGGFLE98DA,28,140.81,住家用,鋼筋混凝土造,82年7月21日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPSOMLOJQHGGFBE08DA,24,73.41,住家用,鋼筋混凝土造,86年4月21日,三十五層,十五層 陽台 花台,全筆移轉
RPSOMLOJQHGGFBE08DA,24,20.64,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,,持分移轉
RPRQMLMJQHGGFDE18DA,37,81.76,,加強磚造,73年4月5日,二層,一層 二層 夾層,全筆移轉
RPVOMLPJQHGGFAE38DA,42,37.70,,鋼筋混凝土造,68年12月5日,十二層,三層 陽台,全筆移轉
RPVOMLPJQHGGFAE38DA,42,10.75,,鋼筋混凝土造,68年12月5日,十二層,,持分移轉
