鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
淡水區,房地(土地+建物)+車位,新北市淡水區新春街120號旁Ｃ２－１５Ｆ,31.22,住,,,1080313,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.7,3,2,2,有,無,8730000,59233,坡道平面,33.42,1250000,,RPPOMLLKNHGGFEF67CB,悠森學,
淡水區,房地(土地+建物)+車位,新北市淡水區新春街１２０號旁Ｃ３－２Ｆ,24.28,住,,,1081110,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.28,2,2,1,有,無,6500000,56537,坡道平面,33.42,1250000,,RPQOMLLKNHGGFEF77CB,悠森學,
淡水區,房地(土地+建物),新北市淡水區新春街120號旁Ｃ３－３Ｆ,21.51,住,,,1070731,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,87.41,2,1,1,有,無,5200000,59490,,0.0,0,,RPROMLLKNHGGFEF87CB,悠森學,
淡水區,房地(土地+建物)+車位,新北市淡水區新春街120號旁Ｃ３－４Ｆ,22.2,住,,,1071207,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.83,2,1,1,有,無,6080000,55257,坡道平面,33.42,1250000,,RPWOMLLKNHGGFEF38CB,悠森學,
淡水區,房地(土地+建物)+車位,新北市淡水區新春街120號旁Ｃ３－９Ｆ,22.2,住,,,1080418,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.83,2,1,1,有,無,6480000,58689,坡道平面,33.42,1350000,,RPPPMLLKNHGGFEF77CB,悠森學,
淡水區,房地(土地+建物)+車位,新北市淡水區新春街120號旁Ｃ３－１０Ｆ,22.2,住,,,1080121,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.83,2,1,1,有,無,6300000,57774,坡道平面,33.42,1250000,,RPSPMLLKNHGGFEF08CB,悠森學,
淡水區,房地(土地+建物),新北市淡水區新春街120號旁Ｃ３－１１Ｆ,21.51,住,,,1080305,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,87.41,2,1,1,有,無,5470000,62579,,0.0,0,,RPVPMLLKNHGGFEF38CB,悠森學,
淡水區,房地(土地+建物)+車位,新北市淡水區新春街120號旁Ｃ３－１２Ｆ,22.2,住,,,1080126,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.83,2,1,1,有,無,6530000,59261,坡道平面,33.42,1350000,,RPOQMLLKNHGGFEF77CB,悠森學,
淡水區,房地(土地+建物)+車位,新北市淡水區新春街120號旁Ｃ３－１３Ｆ,22.2,住,,,1080330,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.83,2,1,1,有,無,6600000,60062,坡道平面,33.42,1350000,,RPQQMLLKNHGGFEF97CB,悠森學,
