編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLLKNHGGFEF87CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
RPQOMLLKNHGGFEF77CB,新興段,24.28,都市：住,10000,35,持分移轉,05460000
RPPPMLLKNHGGFEF77CB,新興段,22.20,都市：住,10000,32,持分移轉,05460000
RPWOMLLKNHGGFEF38CB,新興段,22.20,都市：住,10000,32,持分移轉,05460000
RPPOMLLKNHGGFEF67CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPSPMLLKNHGGFEF08CB,新興段,22.20,都市：住,10000,32,持分移轉,05460000
RPVPMLLKNHGGFEF38CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
RPOQMLLKNHGGFEF77CB,新興段,22.20,都市：住,10000,32,持分移轉,05460000
RPRQMLLKNHGGFEF08CB,新興段,22.20,都市：住,10000,32,持分移轉,05460000
RPQQMLLKNHGGFEF97CB,新興段,22.20,都市：住,10000,32,持分移轉,05460000
RPTQMLLKNHGGFEF28CB,新興段,22.20,都市：住,10000,32,持分移轉,05460000
RPWQMLLKNHGGFEF58CB,新興段,28.44,都市：住,10000,41,持分移轉,05460000
RPQRMLLKNHGGFEF08CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPTRMLLKNHGGFEF38CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPOSMLLKNHGGFEF97CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPRSMLLKNHGGFEF28CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPVSMLLKNHGGFEF68CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPTSMLLKNHGGFEF48CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPXSMLLKNHGGFEF88CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPRTMLLKNHGGFEF38CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPSTMLLKNHGGFEF48CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPVTMLLKNHGGFEF78CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPXTMLLKNHGGFEF98CB,新興段,20.12,都市：住,10000,29,持分移轉,05460000
RPPUMLLKNHGGFEF28CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
RPWTMLLKNHGGFEF88CB,新興段,31.22,都市：住,10000,45,持分移轉,05460000
RPOUMLLKNHGGFEF18CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
RPRUMLLKNHGGFEF48CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
RPQUMLLKNHGGFEF38CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
RPVUMLLKNHGGFEF88CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
RPPVMLLKNHGGFEF38CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
RPVVMLLKNHGGFEF98CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
RPWVMLLKNHGGFEF09CB,新興段,21.51,都市：住,10000,31,持分移轉,05460000
