編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUVMLLKNHGGFEF98CC,7,106.57,住家用,鋼筋混凝土造,103年10月24日,十五層,,
RPWOMLLKNHGGFHF78CC,22,108.93,商業用,鋼筋混凝土造,88年1月6日,十二層,,
RPRRMLLKNHGGFEF28CC,8,68.63,住家用,鋼筋混凝土造,102年7月12日,十五層,,
RPRRMLLKNHGGFEF28CC,8,44.28,本共有部分之項目有管委會空間（一、二、三、四）、陽台、雨遮、門廳（一、二）、門廊、防空避難室兼停車空間、電梯（Ａ、Ｂ、Ｃ、Ｄ、Ｅ棟）、梯（Ｆ、Ｇ）、發電機室、台電配電室、垃圾儲藏室、臨時停車空間、電信機房、蓄水池（Ａ、Ｂ、Ｃ、Ｄ、Ｅ）、污水機房、消防機房等１６項,鋼筋混凝土造,102年7月12日,十五層,,
RPRRMLLKNHGGFEF28CC,8,15.81,本共有部分之項目有樓電梯間、機械室、水箱、陽台等４項,鋼筋混凝土造,102年7月12日,十五層,,
RPVWMLLKNHGGFEF56CC,12,99.24,住家用,鋼筋混凝土造,98年1月7日,七層,,
RPVWMLLKNHGGFEF56CC,12,14.53,共有部分,鋼筋混凝土造,98年1月7日,七層,,
RPVWMLLKNHGGFEF56CC,12,56.26,共有部分,鋼筋混凝土造,98年1月7日,七層,,
RPXPMLLKNHGGFHF98CC,46,61.51,住家用,加強磚造,64年2月18日,四層,,
RPSQMLLKNHGGFHF58CC,27,121.45,住家用,鋼筋混凝土造,83年2月3日,十二層,,
RPSQMLLKNHGGFHF58CC,27,.15,共有部分,鋼筋混凝土造,83年2月3日,十二層,,
RPSQMLLKNHGGFHF58CC,27,25.35,共有部分,鋼筋混凝土造,83年2月3日,十二層,,
RPRVMLLKNHGGFEF68CC,13,97.52,住家用,鋼筋混凝土造,97年6月9日,十五層,,
RPPQMLLKNHGGFHF28CC,41,88.98,住家用,鋼筋混凝土造,69年5月23日,五層,,
RPUQMLLKNHGGFHF78CC,8,105.00,集合住宅,鋼筋混凝土構造,102年5月28日,十四層,,
RPUQMLLKNHGGFHF78CC,8,64.70,本共有部分項目有：警衛室、台電配電室場所、梯廳、排煙室、儲藏室、中央管理室、交誼空間、文教空間、集合空間、門廊、陽台、休閒空間、停車空間、消防水箱、消防水箱室、電梯機房、防空避難室兼停車空間、梯間、電信機房、排風機房、台電管道間室、發電機室兼電氣室、資源回收室、網路機房、水箱、泵浦室、消防泵浦室、汙水機房等２８項。,鋼筋混凝土構造,102年5月28日,十四層,,
RPVRMLLKNHGGFHF98CC,50,63.85,住家用,加強磚造,59年12月15日,四層,,
RPQSMLLKNHGGFHF58CC,46,61.51,住家用,加強磚造,64年2月18日,四層,,
RPXQMLLKNHGGFBF48CC,5,55.53,集合住宅,鋼筋混凝土造,105年8月11日,十八層,,
RPXQMLLKNHGGFBF48CC,5,69.05,本共有部分之項目有梯廳、排煙室、高層建築緩衝空間、等候空間、自行車停車區、中繼機房、水箱、電梯機房、機車停車空間、電信室、防空避難室兼停車空間、防災中心、台電配電室、垃圾貯藏空間、污水機房、消防機房計１６項。,鋼筋混凝土造,105年8月11日,十八層,,
RPVQMLLKNHGGFHF88CC,50,69.16,住家用,加強磚造,60年10月26日,四層,,
RPXQMLLKNHGGFHF09CC,43,107.03,住家用,鋼筋混凝土造,67年6月5日,五層,,
RPSRMLLKNHGGFBF08CC,6,45.15,集合住宅,鋼筋混凝土造,104年3月5日,十五層,,
RPSRMLLKNHGGFBF08CC,6,12.13,本共有部分之項目有：公共服務空間、自行車空間、停車空間、樓梯間、台電配電場所、電信機房、蓄水池、機房、消防機房、垃圾儲藏空間、垃圾暫停車位、發電機房、地下室排風管道及管道間、發電機進排風等１４項。,鋼筋混凝土造,104年3月5日,十五層,,
RPSRMLLKNHGGFBF08CC,6,9.61,本共有部分之項目有：樓梯間、機械室、水箱等３項。,鋼筋混凝土造,104年3月5日,十五層,,
RPOSMLLKNHGGFBF77CC,47,89.00,住家用,鋼筋混凝土造,63年3月8日,四層,,
RPVSMLLKNHGGFBF48CC,25,70.17,住家用,鋼筋混凝土造,85年7月3日,五層,,
RPVSMLLKNHGGFBF48CC,25,5.09,共有部分,鋼筋混凝土造,85年7月3日,五層,,
RPVSMLLKNHGGFBF48CC,25,35.34,共有部分,鋼筋混凝土造,85年7月3日,五層,,
RPWSMLLKNHGGFBF58CC,6,58.61,集合住宅,鋼筋混凝土造,104年3月5日,十五層,,
RPWSMLLKNHGGFBF58CC,6,43.99,本共有部分之項目有：公共服務空間、自行車空間、停車空間、樓梯間、台電配電場所、電信機房、蓄水池、機房、消防機房、垃圾儲藏空間、垃圾暫停車位、發電機房、地下室排風管道及管道間、發電機進排風等１４項。,鋼筋混凝土造,104年3月5日,十五層,,
RPWSMLLKNHGGFBF58CC,6,12.47,本共有部分之項目有：樓梯間、機械室、水箱等３項。,鋼筋混凝土造,104年3月5日,十五層,,
RPUNMLLKNHGGFCF97CC,1,67.11,辦公室,鋼骨鋼筋混凝土構造,109年7月6日,三十一層,,
RPTPMLLKNHGGFAF97DC,,123.82,住家用,鋼筋混凝土造,,五層,,
RPUNMLLKNHGGFCF97CC,1,5.16,本共有部分項目：門廊、通廊、辦公及運動中心專用機車自行車道、電梯空間、電梯間、半戶外平台、停車空間、腳踏車車道、機車車道、自設車位編號１５６至１７１號、雨水回收機房、污水機房及消防機房等１３項。,鋼骨構造、鋼骨鋼筋混凝土構造,109年7月6日,三十一層,,
RPVNMLLKNHGGFCF08CC,27,102.07,住家用,鋼筋混凝土造,83年9月27日,十六層,,
RPUNMLLKNHGGFCF97CC,1,2.60,本共有部分之項目有：行政辦公區門廳、梯廳、電梯、垃圾儲存空間等４項。,鋼骨構造、鋼骨鋼筋混凝土構造,109年7月6日,三十一層,,
RPVNMLLKNHGGFCF08CC,27,7.90,共有部分,鋼筋混凝土造,83年9月27日,十六層,,
RPUNMLLKNHGGFCF97CC,1,19.49,本共有部分之項目有：梯廳、空調機房、緊急升降機、陽台等４項。,鋼骨構造、鋼骨鋼筋混凝土構造,109年7月6日,三十一層,,
RPUNMLLKNHGGFCF97CC,1,16.64,本共有部分之項目有：梯廳、排煙室、空調機房、維修機房、陽台、自來水中繼機房、消防中繼泵浦室、管委會空間、進氣、電信室、台電配電室、緊急升降機、空調機房、排氣、發電機房、機房、辦公棟水池、泵浦室、機械室、排煙機室、消防泵浦室、自來水水箱等２２項。,鋼骨構造、鋼骨鋼筋混凝土構造,109年7月6日,三十一層,,
RPUNMLLKNHGGFCF97CC,1,39.14,本共有部分之項目有：辦公及運動中心專用汽車道、車道、防空避難室兼停車空間、停車空間等４項。,鋼骨構造、鋼骨鋼筋混凝土構造,109年7月6日,三十一層,,
RPTOMLLKNHGGFCF97CC,42,102.57,住家用,鋼筋混凝土造,67年11月23日,四層,,
RPSQMLLKNHGGFDF18CC,24,53.76,住家用,鋼筋混凝土造,85年11月16日,十四層,,
RPSQMLLKNHGGFDF18CC,24,8.62,樓梯間,鋼筋混凝土造,85年11月16日,十四層,,
RPSQMLLKNHGGFDF18CC,24,44.37,防空避難室、停車空間、公共空間、樓梯間、機械室、水箱、門廳、瞭望室,鋼筋混凝土造,85年11月16日,十四層,,
RPUQMLLKNHGGFAF08CC,,72.95,住家用,鋼筋混凝土造,,五層,,
RPQQMLLKNHGGFAF67CC,23,24.54,辦公室,鋼筋混凝土造,86年11月21日,十一層,,
RPQQMLLKNHGGFAF67CC,23,4.92,共有部分,鋼筋混凝土造,86年11月21日,十一層,,
RPRQMLLKNHGGFDF08CC,26,73.30,住家用,鋼筋混凝土造,83年10月26日,十四層,,
RPQQMLLKNHGGFAF67CC,23,6.81,共有部分,鋼筋混凝土造,86年11月21日,十一層,,
RPRQMLLKNHGGFDF08CC,26,9.16,共有部分,鋼筋混凝土造,83年10月26日,十四層,,
RPRQMLLKNHGGFDF08CC,26,15.45,共有部分,鋼筋混凝土造,83年10月26日,十四層,,
RPROMLMKNHGGFAF67CC,,68.75,住家用,鋼筋混凝土造,,四層,,
RPUOMLMKNHGGFAF97CC,45,92.98,住家用,鋼筋混凝土造,64年12月6日,四層,,
RPPRMLMKNHGGFAF77CC,11,86.45,住家用,鋼筋混凝土造,99年2月9日,二十一層,,
RPPRMLMKNHGGFAF77CC,11,40.90,本共有部分之項目有管理委員會、電梯樓梯間、排煙室、梯廳、廊道、機房、中繼層機房、消防水箱、自來水水箱、防空避難室兼停車空間及停車空間等十一項,鋼筋混凝土造,99年2月9日,二十一層,,
RPTRMLLKNHGGFAF08CC,22,42.54,住家用,鋼筋混凝土造,88年5月31日,五層,,
RPTRMLLKNHGGFAF08CC,22,14.65,共有部分,鋼筋混凝土造,88年5月31日,五層,,
RPRNMLMKNHGGFIF38CC,40,72.32,住家用,鋼筋混凝土造,70年9月29日,五層,,
RPTNMLMKNHGGFIF58CC,30,114.33,住家用,鋼筋混凝土造,80年9月12日,七層,,
RPWNMLMKNHGGFIF88CC,37,307.60,廠房、辦公室,鋼筋混凝土造,73年7月17日,一層,,
RPTNMLMKNHGGFIF58CC,30,16.11,公共設施﹙樓電梯間、機械房、水箱、通廊、防空避難室、停車場﹚,鋼筋混凝土造,80年9月12日,七層,,
