編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLKKQHGGFDH08DA,26,25.98,住家用,鋼筋混凝土造,84年3月24日,十五層,十三層 陽台,全筆移轉
RPQOMLKKQHGGFDH08DA,26,9.82,共有部份,鋼筋混凝土造,84年3月24日,十五層,,持分移轉
RPQOMLKKQHGGFDH08DA,26,5.54,共有部份,鋼筋混凝土造,84年3月24日,十五層,,持分移轉
RPROMLMJQHGGFGH58DA,22,87.82,住家用,鋼筋混凝土造,88年7月26日,十八層,十六層 陽台,全筆移轉
RPROMLMJQHGGFGH58DA,22,31.28,共有部份,鋼筋混凝土造,88年7月26日,十八層,,持分移轉
RPROMLMJQHGGFGH58DA,22,14.72,共有部份,鋼筋混凝土造,88年7月26日,十八層,,持分移轉
RPVNMLKKQHGGFAH28EA,31,34.77,停車空間,鋼筋混凝土造,79年10月27日,六層,地下層,持分移轉
RPRPMLKKQHGGFBH08DA,8,35.47,本建物主要用途為：公共服務空間、管理員室、停車空間、電梯間、樓梯間、台電配電室、電信機房、污水處理設施、防空避難室兼停車空間、發電機室、消防泵浦室、水箱等十二項。,鋼筋混凝土造,102年2月20日,十層,,持分移轉
RPVQMLTJQHGGFBH76DA,20,53.63,共有部分,鋼筋混凝土造,90年11月2日,七層,,持分移轉
RPXNMLKKQHGGFDH68DA,38,111.56,住家用,加強磚造,72年8月1日,二層,一層 二層 陽台,全筆移轉
RPQNMLQJQHGGFCH38DA,23,33.30,住家用,鋼筋混凝土造,87年4月7日,十四層,八層 陽台,全筆移轉
RPQNMLQJQHGGFCH38DA,23,.43,共有部份,鋼筋混凝土造,87年4月7日,十四層,,持分移轉
RPQNMLQJQHGGFCH38DA,23,10.45,共有部份,鋼筋混凝土造,87年4月7日,十四層,,持分移轉
RPQNMLQJQHGGFCH38DA,23,.00,共同使用、停車空間,鋼筋混凝土造,87年4月7日,十四層,,
RPQNMLQJQHGGFCH38DA,23,4.61,共同使用，停車空間,鋼筋混凝土造,87年4月7日,十四層,,持分移轉
RPWOMLSJRHGGFCH76DA,14,594.35,儲藏室、機械室、停車空間、住宅、電梯間、樓梯間、水箱,鋼筋混凝土造,96年4月15日,四層,一層 二層 三層 四層 陽台 屋頂突出物 地下一層,全筆移轉
RPWOMLSJRHGGFCH76DA,14,91.48,共用（住宅）,鋼筋混凝土造,96年4月15日,四層,,持分移轉
RPSRMLQJQHGGFAH78DA,26,33.62,停車場,鋼筋混凝土造,84年2月25日,二十三層,地下一層,持分移轉
RPTOMLMKQHGGFFH88EA,41,92.65,住家用,加強磚造,69年12月30日,四層,三層,全筆移轉
RPVNMLQJQHGGFEH09DA,26,29.24,住家用,鋼筋混凝土造,84年2月11日,七層,五層 陽台,全筆移轉
RPVNMLQJQHGGFEH09DA,26,36.98,共有部份,鋼筋混凝土造,84年2月11日,八層,,持分移轉
RPVNMLQJQHGGFEH09DA,26,4.70,共有部份,鋼筋混凝土造,84年2月11日,八層,,持分移轉
RPPNMLQJQHGGFFH58DA,41,110.50,住家用,加強磚造,70年1月31日,三層,一層 二層,全筆移轉
RPVQMLKKQHGGFAH48DA,13,330.32,店舖、住宅（附屬停車空間、樓梯間）,鋼筋混凝土造,97年3月5日,四層,一層 二層 三層 四層 陽台 雨遮 地下一層 見其他登記事項 見其他登記事項,全筆移轉
RPVQMLKKQHGGFAH48DA,13,37.80,共有部份,鋼筋混凝土造,97年3月5日,四層,,持分移轉
RPRPMLOJQHGGFBH38DA,28,88.01,住家用,鋼筋混凝土造,82年3月8日,七層,三層 陽台 雨遮,全筆移轉
RPRPMLOJQHGGFBH38DA,28,15.01,共有部份,鋼筋混凝土造,82年3月8日,七層,,持分移轉
RPVPMLNKQHGGFBH78DA,7,93.05,集合住宅,鋼筋混凝土造,103年6月28日,十四層,六層 陽台 雨遮,全筆移轉
RPVPMLNKQHGGFBH78DA,7,74.31,本共有部分之項目有：防空避難室、停車空間、管理室、〈頂蓋型〉廣場式開放空間、公共服務空間、台電配電場所、電信室、水景機房、發電機房、消防泵浦室、污水機房、雨水機房、防空避難室兼停車空間、車道、樓梯間、梯廳、機械房、水箱、屋簷等項共十九項。,鋼筋混凝土造,103年6月28日,十五層,,持分移轉
RPXNMLNKQHGGFAH68DA,28,35.09,停車場,鋼筋混凝土造,82年8月20日,二十三層,地下三層,持分移轉
RPRQMLMKQHGGFAH28DA,16,123.25,住家用,鋼筋混凝土造,94年4月25日,十五層,九層 陽台 雨遮,全筆移轉
RPRQMLMKQHGGFAH28DA,16,.03,管理員室,鋼筋混凝土造,94年4月25日,十五層,一層,持分移轉
RPRQMLMKQHGGFAH28DA,16,18.91,共有部份,鋼筋混凝土造,94年4月25日,十五層,,持分移轉
RPRQMLMKQHGGFAH28DA,16,22.31,共有部份,鋼筋混凝土造,94年4月25日,十五層,,持分移轉
RPRQMLMKQHGGFAH28DA,16,21.31,共有部份,鋼筋混凝土造,94年4月25日,十五層,,持分移轉
RPXNMLNKQHGGFGH66DA,40,105.84,住家用,加強磚造,70年2月14日,二層,一層 二層 騎樓,全筆移轉
RPUOMLNKQHGGFEH88DA,40,159.83,住家用,加強磚造,70年9月5日,二層,一層 二層 騎樓,全筆移轉
RPQPMLNJQHGGFAH08DA,32,25.96,住家用,鋼筋混凝土造,78年12月30日,七層,三層 陽台,全筆移轉
RPQPMLNJQHGGFAH08DA,32,7.23,共有部份,鋼筋混凝土造,78年12月30日,七層,,持分移轉
RPOOMLNKQHGGFDH18DA,29,160.27,住家用,鋼筋混凝土造,81年9月23日,三層,一層 二層 三層 陽台 平台 雨遮,全筆移轉
RPXNMLNKQHGGFFH66EA,42,66.34,住家用,加強磚造,68年2月5日,二層,一層 二層,全筆移轉
RPPNMLNKQHGGFDH18DA,28,64.59,住家用,鋼筋混凝土造,82年12月30日,六層,六層 陽台 雨遮,全筆移轉
RPPNMLNKQHGGFDH18DA,28,3.79,見其他登記事項,鋼筋混凝土造,82年12月30日,六層,,持分移轉
RPPNMLNKQHGGFDH18DA,28,17.88,防空避難室、停車場、守衛室、管理員室,鋼筋混凝土造,82年12月30日,七層,,持分移轉
RPSNMLNKQHGGFGH88EA,40,79.98,住家用,鋼筋混凝土造,70年12月28日,五層,一層 平台,全筆移轉
RPWNMLMKQHGGFHH56DA,17,16.57,住家用,鋼筋混凝土造,93年11月18日,五層,五層 陽台,全筆移轉
RPWNMLMKQHGGFHH56DA,17,6.69,共有部份,鋼筋混凝土造,93年11月18日,五層,,持分移轉
