鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區華勛街３７巷１２弄２５號三樓,0.0,住,,,1100407,土地0建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840524,122.88000000000001,3,2,2,有,有,有,11600,94,,0.0,0,社會住宅  管理費1400元/月另計,RPOOMLLKNHGGFBH57CC
中壢區,建物,桃園市中壢區龍和一街２５５巷１５號２樓,0.0,住,,,1100506,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840518,112.84,3,1,2,有,有,無,13000,115,,0.0,0,管理費由承租人負擔1000元整,RPPOMLLKNHGGFBH67CC
中壢區,建物,桃園市中壢區五族二街１７６號４樓,0.0,住,,,1100501,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951105,123.09,3,2,2,有,無,有,17000,138,,0.0,0,,RPXQMLLKNHGGFBH68CC
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐三街１０８號７樓之２,19.75,商,,,1100427,土地1建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040706,221.45999999999998,4,2,2,有,有,有,22500,102,坡道平面,0.0,0,,RPWNMLLKNHGGFAH18CC
八德區,建物,桃園市八德區建國路１１８巷５號,0.0,住,,,1100506,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0960814,252.44,4,3,3,有,無,有,18000,71,,0.0,0,,RPQPMLLKNHGGFFH28CC
八德區,建物,桃園市八德區中正北路７２號８樓,0.0,商,,,1100427,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080614,94.39000000000001,2,1,1,有,有,無,12800,136,,0.0,0,管理費由承租人負擔每月1900元整,RPUPMLLKNHGGFFH68CC
八德區,建物,桃園市八德區豐吉路１４６號６樓,0.0,住,,,1100506,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070315,90.38,2,1,1,有,有,有,13600,150,,0.0,0,管理費由承租人負擔2400元整,RPTQMLLKNHGGFFH68CC
龍潭區,建物,桃園市龍潭區中興路４８３巷５４弄８號,0.0,,鄉村區,乙種建築用地,1100413,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0701204,77.6,3,1,2,有,無,有,11000,142,,0.0,0,社會住宅,RPTNMLLKNHGGFCH08CC
平鎮區,建物,桃園市平鎮區廣泰路２３２巷１２０號２樓,0.0,住,,,1100426,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840227,93.44,4,2,2,有,無,無,12300,132,,0.0,0,,RPQOMLLKNHGGFGH28CC
平鎮區,建物,桃園市平鎮區新富五街１４０號２樓,0.0,住,,,1100507,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010920,98.89,2,1,1,有,有,有,14500,147,,0.0,0,管理費由承租人負擔1500元整,RPTOMLLKNHGGFGH58CC
平鎮區,房地(土地+建物),桃園市平鎮區上海路１４２號,104.48,商,,,1100428,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0970319,165.19,0,0,0,無,無,有,35000,212,,0.0,0,整棟1-4樓目前只承租1-2樓,RPUOMLLKNHGGFGH68CC
