編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLLKNHGGFAH18CC,坡道平面,0,,
RPWNMLLKNHGGFAH18CC,坡道平面,0,,
RPVPMLLKNHGGFHH98CC,坡道機械,0,22.30,
RPOQMLLKNHGGFHH38CC,坡道平面,2500,26.81,
RPOPMLMKNHGGFAH67CC,坡道平面,0,,
RPOPMLMKNHGGFDH97CC,坡道平面,0,29.97,
RPVOMLMKNHGGFDH58CC,坡道平面,0,25.10,
RPQPMLMKNHGGFEH28CC,坡道平面,0,,
RPVTMLMKNHGGFBH88CC,坡道平面,0,33.77,
RPSUMLMKNHGGFBH68CC,坡道平面,0,,
RPTNMLNKNHGGFEH48CC,坡道平面,0,25.72,
RPPNMLNKNHGGFAH67CC,坡道平面,0,45.65,
RPPNMLNKNHGGFAH67CC,坡道平面,0,45.65,
RPPSMLOKNHGGFBH38CC,坡道平面,2000,36.58,
RPPUMLOKNHGGFBH58CC,坡道平面,1900,,
RPSNMLQKNHGGFFH88DC,坡道平面,0,,
RPQOMLRKNHGGFCH48CC,坡道平面,0,,
RPOOMLRKNHGGFGH68CC,坡道平面,0,42.46,
RPSOMLRKNHGGFGH09CC,坡道平面,0,,
RPROMLRKNHGGFFH88CC,坡道平面,0,,
RPVQMLRKNHGGFBH09CC,坡道平面,0,,
RPSRMLRKNHGGFBH88CC,坡道平面,0,,
RPRQMLRKNHGGFBH68CC,坡道平面,0,,
RPQRMLRKNHGGFBH68CC,坡道平面,0,,
RPPPMLRKNHGGFDH58CC,坡道平面,0,25.67,
RPSOMLRKNHGGFDH78CC,坡道平面,0,,
RPVSMLRKNHGGFBH66CC,坡道平面,2500,40.81,
RPRPMLRKNHGGFEH88CC,坡道平面,0,81.38,
RPOQMLRKNHGGFAH28CC,坡道平面,0,,
RPSPMLRKNHGGFEH98CC,坡道平面,0,25.19,
RPWPMLRKNHGGFAH98CC,坡道平面,0,,
RPPQMLRKNHGGFAH38CC,坡道平面,0,,
RPRQMLRKNHGGFAH58CC,坡道平面,0,,
RPUQMLRKNHGGFAH88CC,坡道平面,0,,
RPTQMLRKNHGGFAH78CC,坡道平面,0,,
RPPTMLRKNHGGFAH68CC,坡道平面,3000,35.01,
RPWQMLRKNHGGFAH09CC,坡道平面,0,,
RPSPMLSKNHGGFEH56DC,坡道平面,0,27.52,
RPPNMLSKNHGGFFH88EC,坡道平面,0,34.40,
RPUNMLTKNHGGFFH86EC,坡道平面,0,25.78,
RPUNMLTKNHGGFFH66CC,坡道平面,0,14.35,
RPQNMLSKNHGGFFH98EC,坡道平面,0,39.80,
RPVNMLTKNHGGFFH96EC,坡道平面,0,26.19,
RPWNMLTKNHGGFFH86CC,坡道平面,0,29.67,
RPXNMLTKNHGGFFH17EC,坡道平面,0,30.00,
RPVPMLTKNHGGFAH09CC,坡道平面,0,40.77,
RPRVMLTKNHGGFAH66CC,坡道平面,0,,
RPQWMLTKNHGGFAH66CC,坡道平面,0,,
RPOVMLTKNHGGFAH98CC,一樓平面,0,,
RPSPMLKLNHGGFEH38CC,坡道平面,0,30.39,
RPSOMLKLNHGGFDH18CC,坡道平面,1300,32.10,
RPRNMLKLNHGGFFH18CC,坡道平面,0,24.55,
RPRNMLKLNHGGFFH18CC,坡道平面,0,24.54,
RPTNMLLLNHGGFGH58CC,坡道平面,0,,地下三樓
RPPOMLLLNHGGFBH77CC,坡道機械,2000,17.11,地下一樓
RPSPMLLLNHGGFBH18CC,坡道平面,0,,地下一樓
RPVQMLLLNHGGFBH58CC,坡道平面,0,,地下一樓
RPPVMLLLNHGGFBH48CC,坡道平面,0,,地下一樓
RPQUMLLLNHGGFBH48CC,坡道平面,0,,地下一樓
RPSVMLLLNHGGFBH78CC,坡道平面,0,,地下一樓
RPVNMLLLNHGGFDH48CC,坡道平面,0,36.39,地下二樓
RPQOMLLLNHGGFEH18CC,坡道平面,0,,地下一樓
RPSNMLMLNHGGFBH08CC,坡道平面,0,,地下二樓
RPWPMLMLNHGGFBH68CC,坡道平面,0,,地下二樓
RPPNMLMLNHGGFGH28CC,坡道平面,0,,地下一樓
RPQNMLMLNHGGFFH28CC,坡道平面,0,,地下一樓
RPXNMLOLNHGGFFH56CC,坡道平面,0,30.43,地下二樓
RPXNMLOLNHGGFFH56CC,坡道平面,0,30.43,地下二樓
RPTOMLOLNHGGFFH88CC,坡道平面,1535,32.75,地下三樓
RPRTMLOLNHGGFBH78CC,坡道平面,0,31.97,地下一樓
RPRQMLOLNHGGFAH38CC,坡道平面,6000,72.74,地下一樓
RPTSMLOLNHGGFAH78CC,坡道平面,0,23.77,地下四樓
RPTSMLOLNHGGFAH78CC,坡道平面,0,23.77,地下四樓
RPTSMLOLNHGGFAH78CC,坡道平面,0,23.77,地下三樓
RPQQMLPLNHGGFAH38CC,坡道平面,0,,地下三樓
RPPOMLPLNHGGFEH48CC,坡道平面,0,,地下三樓
RPUOMLPLNHGGFEH98CC,坡道平面,0,,地下二樓
RPUPMLPLNHGGFBH78CC,坡道平面,0,37.37,地下一樓
RPQRMLPLNHGGFBH58CC,升降機械,2000,10.15,一樓
RPTSMLPLNHGGFBH98CC,坡道機械,0,,地下二樓
RPQSMLPLNHGGFBH68CC,坡道機械,0,,地下一樓
RPRNMLPLNHGGFFH68CC,坡道平面,0,,地下二樓
RPSPMLPLNHGGFFH98CC,其他,0,,地下一樓
RPRNMLQLNHGGFFH78CC,坡道平面,0,32.75,地下三樓
RPORMLQLNHGGFBH48CC,坡道平面,0,,地下一樓
RPORMLQLNHGGFBH48CC,坡道平面,0,,地下一樓
RPQNMLQLNHGGFAH18CC,坡道平面,0,27.07,地下二樓
RPQOMLQLNHGGFAH28CC,坡道機械,2500,,地下三樓
RPTQMLQLNHGGFAH78CC,坡道平面,0,31.88,地下一樓
RPUNMLRLNHGGFAH68CC,坡道平面,0,,地下三樓
RPWNMLRLNHGGFAH88CC,坡道機械,0,13.55,地下三樓
RPPVMLRLNHGGFBH09CC,坡道平面,0,26.62,地下一樓
RPUNMLRLNHGGFFH56CC,坡道平面,0,33.06,地下三樓
RPQNMLRLNHGGFEH78DC,坡道平面,2500,46.25,地下三樓
RPXNMLRLNHGGFAH09DC,坡道平面,0,6.47,地下一樓
RPXNMLRLNHGGFAH09DC,坡道平面,0,6.47,地下一樓
RPQQMLSLNHGGFBH78CC,坡道平面,0,38.90,地下二樓
RPPNMLLMNHGGFDH97CC,坡道平面,0,,地下三樓
RPQQMLLJOHGGFAH87CC,坡道平面,2000,26.44,
RPQRMLLJOHGGFAH97CC,坡道平面,1000,33.04,
RPOOMLLJOHGGFDH77CC,坡道平面,0,32.57,
RPPNMLRLNHGGFCH38CC,坡道平面,0,,地下三樓
RPTOMLLJOHGGFDH28CC,坡道平面,0,26.45,
RPXOMLPLNHGGFCH09CC,坡道平面,2500,36.46,地下三樓
RPTOMLLJOHGGFBH08CC,坡道平面,0,26.44,地下一樓
RPVOMLLJOHGGFBH28CC,坡道平面,0,26.44,地下一樓
RPSRMLLJOHGGFAH28DC,坡道平面,0,28.22,地下四樓
RPWNMLLJOHGGFHH88CC,坡道平面,0,35.59,
RPWNMLLJOHGGFHH88CC,坡道平面,0,35.59,
RPQSMLLJOHGGFBH18CC,坡道平面,0,26.44,一樓
RPOOMLLJOHGGFHH18CC,坡道平面,1000,26.44,
RPSOMLLJOHGGFFH38CC,坡道平面,800,34.70,
RPXNMLLJOHGGFGH88CC,坡道平面,3000,26.44,
RPXNMLLJOHGGFGH88CC,坡道平面,3000,26.44,
RPVNMLLJOHGGFGH68CC,坡道平面,2000,26.44,
RPTNMLMJOHGGFGH58CC,坡道平面,0,35.19,
RPQNMLMJOHGGFFH18CC,坡道平面,0,31.32,
RPWSMLMJOHGGFBH88CC,坡道平面,0,32.58,
RPTNMLMJOHGGFDH28CC,坡道平面,0,39.81,
RPVNMLMJOHGGFDH48CC,坡道平面,0,29.39,
RPTOMLMJOHGGFDH38CC,坡道平面,0,29.75,
RPWNMLMJOHGGFDH58CC,坡道平面,0,27.32,
RPUOMLMJOHGGFDH48CC,坡道平面,0,29.39,
RPQQMLNJOHGGFAH08CC,坡道平面,0,,
RPVSMLNJOHGGFBH88CC,坡道平面,0,,地下二樓
RPWNMLNJOHGGFFH88CC,坡道平面,0,,
RPROMLNJOHGGFCH18CC,坡道平面,0,13.00,地下二樓
RPUQMLNJOHGGFGH09CC,坡道平面,0,,
RPVNMLNJOHGGFFH78CC,坡道平面,0,,
RPUNMLOJOHGGFFH88DC,坡道平面,0,27.44,地下二樓
RPQNMLOJOHGGFDH18CC,坡道平面,0,29.39,
RPPOMLRJOHGGFFH68CC,坡道平面,200,22.51,地下二樓
RPSOMLRJOHGGFFH98CC,坡道平面,0,,地下二樓
RPVNMLRJOHGGFBH78CC,坡道平面,2000,31.38,地下二樓
RPXPMLRJOHGGFBH56CC,坡道平面,3100,31.08,地下一樓
RPWQMLRJOHGGFBH56CC,坡道平面,0,34.78,
RPVPMLRJOHGGFAH88CC,坡道平面,0,,地下一樓
RPSPMLRJOHGGFAH58CC,坡道平面,2500,37.36,地下四樓
RPOOMLRJOHGGFEH48CC,坡道平面,0,28.29,地下三樓
RPQQMLSJOHGGFAH58CC,坡道平面,0,,地下三樓
RPXPMLSJOHGGFAH56CC,坡道平面,0,,地下三樓
RPTQMLSJOHGGFAH88CC,坡道平面,0,,地下一樓
