編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLKQHGGFDM58DA,32,254.17,住家用,鋼筋混凝土造,78年12月4日,三層,一層 二層 三層 平台 騎樓,全筆移轉
RPTNMLNKQHGGFCM98DA,27,.57,管理室,鋼筋混凝土造,83年7月8日,十二層,地下層,持分移轉
RPTNMLNKQHGGFCM98DA,27,240.42,避難室兼停車場、樓梯、門廳、騎樓、梯間、機械房、水箱、平台、瞭望台,鋼筋混凝土造,83年7月8日,十二層,,持分移轉
RPPNMLMKQHGGFDM58DA,42,119.80,住家用,鋼筋混凝土加強磚造,68年6月1日,二層,一層 二層 騎樓,全筆移轉
RPUNMLTJQHGGFDM07DA,23,95.75,集合住宅,鋼筋混凝土造,87年11月17日,八層,七層 陽台,全筆移轉
RPUNMLTJQHGGFDM07DA,23,22.02,防空避難室，停車空間梯間，門廳，社區辦公室,鋼筋混凝土造,87年11月17日,八層,,持分移轉
RPRNMLNKQHGGFBM68DA,30,88.42,商業用,鋼筋混凝土造,80年3月23日,十二層,十一層 陽台,全筆移轉
RPRNMLNKQHGGFBM68DA,30,123.95,商業用,鋼筋混凝土造,80年3月23日,十二層,十一層 陽台 花台,全筆移轉
RPRNMLNKQHGGFBM68DA,30,113.97,商業用,鋼筋混凝土造,80年3月23日,十二層,十一層 陽台 花台,全筆移轉
RPRNMLNKQHGGFBM68DA,30,126.13,商業用,鋼筋混凝土造,80年3月23日,十二層,十一層 陽台 花台,全筆移轉
RPRNMLNKQHGGFBM68DA,30,31.35,停車空間、辦公室,鋼筋混凝土造,80年3月23日,十二層,地下二層,持分移轉
RPRNMLNKQHGGFBM68DA,30,2.12,樓梯間、人行道、門廊、門廳、機械室、水箱、避難室,鋼筋混凝土造,80年3月23日,十二層,,持分移轉
RPRNMLNKQHGGFBM68DA,30,44.49,樓梯間、人行道、門廊、門廳、機械室、水箱、避難室,鋼筋混凝土造,80年3月23日,十二層,,持分移轉
RPRNMLNKQHGGFBM68DA,30,64.09,樓梯間、人行道、門廊、門廳、機械室、水箱、避難室,鋼筋混凝土造,80年3月23日,十二層,,持分移轉
RPRNMLNKQHGGFBM68DA,30,58.53,樓梯間、人行道、門廊、門廳、機械室、水箱、避難室,鋼筋混凝土造,80年3月23日,十二層,,持分移轉
RPRNMLNKQHGGFBM68DA,30,30.72,樓梯間、人行道、門廊、門廳、機械室、水箱、避難室,鋼筋混凝土造,80年3月23日,十二層,,持分移轉
RPRNMLKKQHGGFBM38DA,41,52.53,住家用,鋼筋混凝土加強磚造,69年8月20日,二層,一層 二層,持分移轉
RPQNMLTKQHGGFDM76DA,3,28.14,商業用,鋼鐵造有牆,107年9月7日,一層,一層,全筆移轉
RPUNMLMKQHGGFCM98DA,47,38.70,住家用,鋼筋混凝土加強磚造,64年1月3日,二層,一層 二層,全筆移轉
RPPNMLLLQHGGFEM68DA,52,66.40,住家用,鋼筋混凝土加強磚造,58年12月16日,二層,一層 二層,全筆移轉
RPRNMLOLQHGGFEM56DA,25,268.80,農舍,鋼筋混凝土造,85年12月27日,三層,一層 二層 三層,全筆移轉
RPRNMLKLQHGGFAM38DA,27,125.80,店舖、集合住宅,鋼筋混凝土造,83年11月9日,十六層,一層 二層 陽台 平台 騎樓,全筆移轉
RPRNMLKLQHGGFAM38DA,27,19.53,騎樓、人行道、梯間、避難室、機械室,鋼筋混凝土造,83年11月9日,十六層,,持分移轉
RPTNMLPJQHGGFCM09DA,2,380.02,住家用,ＲＣ造,108年11月5日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLOLQHGGFEM98DA,2,282.75,停車空間、住宅,ＲＣ造,109年1月21日,四層,一層 二層 三層 四層 陽台,全筆移轉
