鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
草屯鎮,房地(土地+建物),南投縣草屯鎮新富二街５０號８樓之１,26.41,住,,,1100427,土地1建物1車位0,一層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070806,133.5,3,2,2,有,有,無,21000,157,,0.0,0,,RPVNMLSKNHGGFBM76CC
南投市,房地(土地+建物),南投縣南投市中華路１３８號,67.09,,鄉村區,乙種建築用地,1100501,土地2建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0690602,165.06,0,0,0,無,無,無,17000,103,,0.0,0,,RPQNMLPLNHGGFAM58CC
中寮鄉,房地(土地+建物),南投縣中寮鄉永福村永嘉新村２巷１９號,35.75,,山坡地保育區,丙種建築用地,1100522,土地2建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830908,79.93,3,2,2,有,無,有,7000,88,,0.0,0,後院廚房：約9.75平方公尺,RPTNMLPLNHGGFAM88CC
南投市,房地(土地+建物),南投縣南投市中興路６０９號,81.0,住,,,1100524,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0900409,187.55,4,2,3,有,無,無,25000,133,,0.0,0,,RPVNMLQLNHGGFAM56CC
南投市,土地,內興段1047地號,1266.57,農,,,1100510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,45000,36,,0.0,0,,RPTNMLNJOHGGFAM58CC
草屯鎮,房地(土地+建物),南投縣草屯鎮草溪路８４-１１號,103.26,,特定農業區,甲種建築用地,1100613,土地2建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土加強磚造,0680807,98.28,6,3,3,有,無,無,11000,112,,0.0,0,,RPQNMLPKOHGGFBM68CC
南投市,房地(土地+建物),南投縣南投市文化南路８１巷３５號,73.0,住,,,1100630,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0850105,135.91,4,2,2,有,無,有,10000,74,,0.0,0,,RPWNMLTJPHGGFAM96CC
南投市,房地(土地+建物),南投縣南投市仁德路５８號１樓,100.0,住,,,1100716,土地0建物0車位0,一層,3,店面(店鋪),住宅、樓梯間,鋼筋混凝土造,1070417,74.68,0,1,1,有,無,無,16000,214,,0.0,0,110年07月16日簽約，110年08月01日起租。,RPPOMLLLPHGGFAM38CC
草屯鎮,房地(土地+建物),南投縣草屯鎮東山路白宮巷１１號,162.29,住,,,1100712,土地1建物1車位0,一層,1,其他,住家用,鋼筋混凝土加強磚造,0650820,80.66,3,1,2,有,無,無,8000,99,,0.0,0,,RPTNMLLLPHGGFBM78CC
