編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLSKNHGGFBM76CC,建興段,26.41,都市：住,,,,12360000
RPQNMLPLNHGGFAM58CC,營南段,26.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04560000
RPQNMLPLNHGGFAM58CC,營南段,40.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04550000
RPTNMLPLNHGGFAM88CC,二重溪段,34.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,02160004
RPTNMLPLNHGGFAM88CC,二重溪段,1.60,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,02160000
RPPOMLLLPHGGFAM38CC,光興段,100.00,都市：住,,,,04680000
RPVNMLQLNHGGFAM56CC,三塊厝段,81.00,都市：住,,,,00010298
RPTNMLNJOHGGFAM58CC,內興段,1266.57,都市：農,,,,10470000
RPQNMLPKOHGGFBM68CC,保安段,14.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02790000
RPQNMLPKOHGGFBM68CC,保安段,88.51,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02920000
RPWNMLTJPHGGFAM96CC,茄苳腳段,73.00,都市：住,,,,04410063
RPTNMLLLPHGGFBM78CC,新御史段,162.29,都市：住,,,,01980000
