鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
彰化市,房地(土地+建物),彰化縣彰化市泰祥街１２５、１２７號,305.48,住,,,1100511,土地3建物2車位0,全,3,透天厝,住商用,鋼筋混凝土造,0700314,321.6,8,4,6,有,有,無,43236,134,,0.0,0,,RPUPMLOKNHGGFAN09CC
員林市,建物,彰化縣員林市莒光路６５７號,132.72,住,,,1100512,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0720622,297.68,5,3,4,有,無,有,28000,94,,0.0,0,,RPVNMLRKNHGGFDN96CC
員林市,建物,彰化縣員林市員水路二段５１５號,71.0,住,,,1100512,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住工用,鋼筋混凝土造,0800302,242.13,5,2,6,有,無,無,26000,107,,0.0,0,整棟五樓全部出租,RPOOMLRKNHGGFDN98CC
員林市,建物,彰化縣員林市中山路一段７９２號一樓,170.0,商,,,1100507,土地0建物1車位0,一層,2,店面(店鋪),住商用,見其他登記事項,0241006,158.65,0,1,2,有,無,無,15000,95,,0.0,0,,RPPOMLRKNHGGFDN09CC
彰化市,房地(土地+建物),彰化縣彰化市豐國路１１號,72.0,工,,,1100514,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0571210,163.2,4,2,3,有,無,有,15000,92,,0.0,0,,RPRNMLSKNHGGFAN09DC
和美鎮,房地(土地+建物),彰化縣和美鎮孝友路９９號一樓,61.4,住,,,1100601,土地2建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0861120,189.61,0,1,1,有,無,無,20000,105,,0.0,0,,RPOOMLLJOHGGFBN18CC
彰化市,房地(土地+建物),彰化縣彰化市中正路二段９０號,43.0,商,,,1100601,土地1建物1車位0,見其他登記事項,4,店面(店鋪),商業用,鋼筋混凝土加強磚造,0510530,134.95,3,2,2,有,無,有,27000,200,,0.0,0,,RPQOMLLJOHGGFAN28CC
彰化市,建物,彰化縣彰化市埔內街４８０巷２弄２０號,0.0,住,,,1100525,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0600102,86.7,3,2,2,有,無,有,12000,138,,0.0,0,,RPUNMLTJOHGGFAN76CC
花壇鄉,建物,彰化縣花壇鄉中北街３２號,0.0,住,,,1100531,土地0建物1車位1,全,3,透天厝,騎樓、住宅、停車空間、樓梯間,鋼筋混凝土造,1070430,177.9,4,3,3,有,無,有,25000,141,一樓平面,0.0,0,車位面積無法分算。,RPQOMLKKOHGGFAN28CC
秀水鄉,建物,彰化縣秀水鄉平安六街４７巷１５號,0.0,其他,,,1100523,土地0建物1車位0,見其他登記事項,4,其他,停車空間、一般零售場所,鋼筋混凝土造,0961031,195.37,4,2,3,有,有,有,21000,107,,0.0,0,,RPTPMLKKOHGGFAN68CC
彰化市,房地(土地+建物),彰化縣彰化市金馬路二段２３號二樓,13.32,住,,,1100612,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840704,110.33,3,2,2,有,無,無,12000,109,,0.0,0,,RPPNMLNKOHGGFAN38CC
彰化市,房地(土地+建物),彰化縣彰化市和平路２１７號四樓,17.89,商,,,1100613,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831122,106.13,2,2,1,有,無,無,11000,104,,0.0,0,,RPSNMLPKOHGGFAN88CC
