編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUQMLNKNHGGFAO56CC,光復段,.00,都市：住,,,,13210000
RPXQMLNKNHGGFAO86CC,南華段,.00,都市：商,,,,04440000
RPROMLRKNHGGFAO09CC,光復段,.00,都市：住,,,,02310000
RPWPMLRKNHGGFAO07CC,中央段,.00,都市：商,,,,08080001
RPTOMLRKNHGGFAO66CC,崙子段,.00,都市：住,,,,00230000
RPQQMLRKNHGGFAO56CC,民富段,.00,都市：商,,,,23700002
RPPQMLRKNHGGFAO09CC,武陵段,.00,都市：住,,,,03460000
RPRSMLOLNHGGFAO66CC,香中段,.00,都市：住,,,,11820006
RPOQMLRKNHGGFAO09DC,光武段,.00,都市：商,,,,10220000
RPVQMLRKNHGGFAO07CC,虎山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07950000
RPPPMLQLNHGGFAO98CC,崙子段,.00,都市：住,,,,07290000
RPURMLQLNHGGFAO07CC,海埔段,2722.60,非都市：特定農業區 ; 非都市編定：農牧用地,,,,05720007
RPRQMLQLNHGGFAO66CC,虎山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07950000
RPQRMLQLNHGGFAO66CC,中央段,.00,都市：住,,,,08750000
RPTSMLOLNHGGFAO86CC,北門段,.00,都市：商,,,,07630000
RPTSMLOLNHGGFAO86CC,北門段,.00,都市：住,,,,07640000
RPWNMLRLNHGGFAO96CC,光華段,.00,都市：住,,,,03880000
RPOOMLRLNHGGFAO88CC,民主段,.00,都市：住,,,,08580000
RPOPMLSLNHGGFAO09CC,中央段,.00,都市：住,,,,02570000
RPTPMLSLNHGGFAO96CC,民主段,.00,都市：住,,,,00200000
RPOQMLSLNHGGFAO56CC,光復段,.00,都市：住,,,,13530018
RPSPMLSLNHGGFAO86CC,民富段,.00,都市：商,,,,25940000
RPXPMLSLNHGGFAO37CC,民主段,.00,都市：住,,,,08360000
RPRQMLSLNHGGFAO86CC,竹蓮段,.00,都市：商,,,,11600000
RPVQMLSLNHGGFAO27CC,光華段,70.00,都市：住,,,,05540000
RPRQMLSLNHGGFAO86CC,竹蓮段,.00,都市：商,,,,11610000
RPQQMLSLNHGGFAO86DC,香中段,150.19,都市：住,,,,15580000
RPXPMLLJOHGGFAO56CC,東光段,.00,都市：商,,,,00590000
RPWQMLLJOHGGFAO56CC,育賢段,.00,都市：住,,,,04600000
RPUNMLMJOHGGFAO78CC,南華段,416.72,都市：住,,,,00410000
RPPQMLMJOHGGFAO58CC,光武段,.00,都市：商,,,,10660000
RPOPMLMJOHGGFAO38CC,聚吉段,.00,都市：住,,,,00190001
RPUPMLTJOHGGFAO07CC,自由段,.00,都市：住,,,,09250000
RPUQMLSJOHGGFAO07CC,民主段,.00,都市：住,,,,08580000
RPOSMLRJOHGGFAO56CC,香中段,.00,都市：住,,,,14740000
RPUOMLTJOHGGFAO96CC,南門段三小段,.00,都市：商,,,,01570005
RPXPMLTJOHGGFAO37CC,仙宮段,.00,都市：住,,,,00340000
RPXPMLTJOHGGFAO37CC,仙宮段,.00,都市：住,,,,00340001
RPOPMLNJOHGGFAO48CC,東濱段,.00,都市：住,,,,02900000
RPRPMLTJOHGGFAO76CC,科園段龍山小段,84.00,都市：住,,,,03570010
RPROMLTJOHGGFAO66CC,民富段,.00,都市：商,,,,17610000
RPPPMLNJOHGGFAO58CC,富山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00660000
RPVOMLNJOHGGFAO09CC,武陵段,.00,都市：其他:第一種住宅區、道路用地,,,,00940000
RPSPMLLKOHGGFAO78CC,東山段二小段,.00,都市：住,,,,07590000
RPQPMLLKOHGGFAO58CC,北門段,.00,都市：商,,,,07630000
RPQPMLLKOHGGFAO58CC,北門段,.00,都市：住,,,,07640000
RPWQMLTJOHGGFAO37CC,光武段,.00,都市：住,,,,06030000
RPWQMLTJOHGGFAO37CC,光武段,.00,都市：其他:綠地用地,,,,06030001
RPWQMLTJOHGGFAO37CC,光武段,.00,都市：其他:綠地用地,,,,06030002
RPWQMLTJOHGGFAO37CC,光武段,.00,都市：其他:綠地用地,,,,06030003
RPOQMLLKOHGGFAO48CC,福林段,.00,都市：住,,,,02630003
RPRRMLLKOHGGFAO88CC,民主段,.00,都市：住,,,,00200000
RPXQMLLKOHGGFAO76CC,北門段,.00,都市：商,,,,07630000
RPXQMLLKOHGGFAO76CC,北門段,.00,都市：住,,,,07640000
RPURMLLKOHGGFAO56CC,關東段,.00,都市：住,,,,04670001
RPVQMLPKOHGGFAO96CC,自由段,.00,都市：住,,,,10360006
RPWPMLPKOHGGFAO96CC,民主段一小段,.00,都市：商,,,,00270002
RPPQMLPKOHGGFAO98CC,聚吉段,.00,都市：商,,,,00740000
