編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLOLNHGGFDP09CC,27,73.84,住家用,鋼筋混凝土造,83年2月17日,八層,,
RPPNMLKLNHGGFAP28CC,21,16.31,住商用,鋼筋混凝土造,89年8月8日,三層,,
RPUNMLLKOHGGFAP09EC,29,160.20,住家用,加強磚造,80年12月23日,二層,,
RPPNMLPJPHGGFBP88CC,22,16.15,住家用,鋼筋混凝土造,88年4月12日,十二層,,
RPPNMLPJPHGGFBP88CC,22,4.03,共有部份,鋼筋混凝土造,88年4月12日,十二層,,
RPPNMLPJPHGGFBP88CC,22,4.65,共有部份,鋼筋混凝土造,88年4月12日,十二層,,
RPPPMLTLOHGGFAP86CC,25,51.06,住商用,鋼筋混凝土造,85年8月18日,七層,,
RPQNMLTLOHGGFBP86CC,28,232.42,住家用,鋼筋混凝土造,82年10月10日,三層,,
RPXNMLNJOHGGFAP76DC,12,219.46,一般事務所,鋼筋混凝土造,98年2月5日,四層,,
RPQNMLKLNHGGFAP38CC,14,24.18,住家用,鋼筋混凝土造,96年2月8日,三層,,
RPVNMLOJOHGGFAP56CC,7,331.96,住商用,鋼筋混凝土造,103年7月8日,四層,,
RPVNMLOJOHGGFAP56CC,7,96.59,停車空間,鋼筋混凝土造,103年7月8日,,,
RPQNMLQJPHGGFAP09DC,39,213.06,住商用,ＲＣ構架磚造,71年10月9日,三層,,
RPQNMLPJPHGGFAP88CC,15,14.19,住家用,鋼筋混凝土造,95年11月10日,三層,,
RPVNMLPJPHGGFAP76CC,27,118.14,住家用,鋼筋混凝土造,83年9月18日,十四層,,
RPQNMLQKPHGGFAP09CC,14,17.76,住家用,鋼筋混凝土造,96年2月8日,三層,,
RPRNMLQKPHGGFAP56CC,15,14.14,住家用,鋼筋混凝土造,95年11月10日,三層,,
RPTNMLQLPHGGFAP86CC,27,31.20,住家用,鋼筋混凝土造,83年9月18日,十四層,,
RPSNMLKLPHGGFAP78CC,24,121.11,住家用,鋼筋混凝土造,86年2月11日,十三層,,
RPSNMLKLPHGGFAP78CC,24,36.30,共有部份,鋼筋混凝土造,86年2月11日,十四層,,
RPPNMLMJQHGGFAP58CC,14,24.18,住家用,鋼筋混凝土造,96年2月8日,三層,,
RPPNMLTJQHGGFAP66CC,15,17.76,住家用,鋼筋混凝土造,96年2月8日,三層,,
RPSNMLKLPHGGFDP09CC,43,74.52,住家用,加強磚造,67年8月26日,二層,,
RPPNMLLLOHGGFDP78CC,14,22.78,集合住宅,鋼筋混凝土造,96年2月5日,十三層,,
RPPNMLLLOHGGFDP78CC,14,1.53,走廊,鋼筋混凝土造,96年2月5日,十三層,,
