編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXPMLKKQHGGFCT37DA,一樓平面,0,,一樓
RPTNMLKKQHGGFDT86DA,坡道平面,0,,地下一樓
RPUNMLNLQHGGFAT07DA,坡道平面,850000,24.01,地下二樓
RPUOMLPLQHGGFAT37DA,坡道平面,0,,地下一樓
RPRNMLNKQHGGFCT86DA,一樓平面,0,,一樓
RPTNMLNLQHGGFDT27DA,一樓平面,0,14.00,一樓
RPQNMLPLQHGGFDT17DA,一樓平面,0,,一樓
RPPOMLQKQHGGFCT07DA,坡道平面,0,,地下一樓
RPSNMLQLQHGGFAT17DA,坡道平面,750000,24.01,地下一樓
RPXNMLNKQHGGFCT47DA,一樓平面,0,,一樓
RPTNMLMJRHGGFDT07DA,一樓平面,0,,一樓
RPSNMLMKQHGGFDT96DA,坡道平面,0,,地下一樓
RPQNMLLMQHGGFAT56DA,坡道平面,0,14.00,地下一樓
RPQNMLLMQHGGFAT56DA,坡道平面,0,14.00,地下一樓
RPTNMLRJRHGGFDT57DA,一樓平面,0,,一樓
RPUNMLRJRHGGFDT67DA,一樓平面,0,,一樓
RPWNMLRJRHGGFAT57DA,一樓平面,0,,一樓
RPXNMLTKQHGGFAT87DA,坡道平面,0,24.01,地下二樓
RPVNMLQJRHGGFET77DA,一樓平面,0,,一樓
RPSNMLOKPHGGFCT96DA,一樓平面,0,,一樓
RPOOMLRJPHGGFCT86DA,一樓平面,0,,一樓
RPTNMLTKPHGGFCT57DA,一樓平面,0,,一樓
RPVNMLTKPHGGFCT77DA,一樓平面,0,,一樓
RPRNMLRLPHGGFCT27DA,一樓平面,0,,一樓
RPXOMLNLPHGGFAT37DA,一樓平面,0,,一樓
RPTNMLRLPHGGFCT47DA,一樓平面,0,,一樓
RPSNMLRLPHGGFCT37DA,一樓平面,0,,一樓
RPUNMLRLPHGGFCT57DA,一樓平面,0,,一樓
RPUNMLPJPHGGFCT17DA,升降機械,0,,地下一樓
RPVOMLMLPHGGFAT07DA,坡道平面,0,,地下一樓
RPVNMLMJQHGGFCT07DA,一樓平面,0,,一樓
RPWNMLMJQHGGFCT17DA,一樓平面,0,,一樓
RPOOMLMJQHGGFCT09DA,一樓平面,0,,一樓
RPXNMLMJQHGGFCT27DA,一樓平面,0,,一樓
RPPOMLRLPHGGFCT17DA,坡道平面,0,,地下一樓
RPUOMLNJQHGGFAT07EA,一樓平面,0,,一樓
RPVOMLQLPHGGFAT47DA,一樓平面,0,,一樓
RPSOMLQJQHGGFCT27DA,坡道平面,0,,地下一樓
RPVNMLKMPHGGFCT07DA,一樓平面,0,,一樓
RPUNMLNKQHGGFDT27DA,坡道平面,0,,地下一樓
RPPNMLQKQHGGFDT07DA,一樓平面,0,,一樓
RPVNMLRKQHGGFAT47DA,坡道平面,0,,地下一樓
RPTNMLOKPHGGFCT07DA,坡道平面,0,,地下二樓
RPSOMLSKQHGGFAT37DA,一樓平面,0,,一樓
