鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海五街三樓D戶,28.8,住,,,1100311,土地4建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.36,2,2,2,有,無,5500000,61549,,0.0,0,,RPPNMLRKNHGGFAU66CB,羅馬一品,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海五街五樓F戶,30.29,住,,,1100313,土地4建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.88,2,1,2,有,無,7530000,69461,一樓平面,22.87,1000000,,RPTNMLRKNHGGFAU07CB,羅馬一品,
花蓮市,房地(土地+建物),花蓮縣花蓮市四維段296地號B6,1901.59,農,,,1100507,土地2建物1車位0,見其他登記事項,3,其他,住家用,鋼筋混凝土造,,195.24,4,2,6,有,無,12600000,64536,,0.0,0,,RPVNMLKLNHGGFAU66CB,以樂家園6,
花蓮市,房地(土地+建物),花蓮縣花蓮市四維段296地號A2,1901.59,農,,,1100506,土地2建物1車位0,見其他登記事項,3,其他,住家用,鋼筋混凝土造,,181.43,3,3,4,有,無,12750000,70275,,0.0,0,,RPQOMLKLNHGGFAU88CB,以樂家園6,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁恥段951-8地號,87.0,住,,,1100503,土地1建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,164.68,4,2,5,有,無,10600000,64367,,0.0,0,,RPROMLKLNHGGFAU98CB,雄鋒臻品5,
花蓮市,房地(土地+建物),花蓮縣花蓮市德安段1865地號,26.32,住,,,1100121,土地1建物1車位0,五層,5,其他,住家用,,,67.82,2,1,1,有,無,5500000,81097,,0.0,0,,RPOOMLSLOHGGFAU96CB,睿品居,
花蓮市,房地(土地+建物),花蓮縣花蓮市德安段1865地號,26.32,住,,,1100121,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.28,2,1,1,有,無,5750000,65134,,0.0,0,,RPPOMLSLOHGGFAU07CB,睿品居,
花蓮市,房地(土地+建物),花蓮縣花蓮市德安段1865地號,26.32,住,,,1100121,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.28,2,1,1,有,無,6400000,72497,,0.0,0,,RPROMLSLOHGGFAU27CB,睿品居,
花蓮市,房地(土地+建物),花蓮縣花蓮市德安段1865地號,52.64,住,,,1100205,土地2建物2車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,187.09,4,2,2,有,無,11880000,63499,,0.0,0,,RPSOMLSLOHGGFAU37CB,睿品居,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮玉璞段3357-4地號,85.0,住,,,1090829,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,182.13,4,2,5,有,無,8300000,45572,,0.0,0,,RPPNMLQJPHGGFCU86CB,玉里新建案,1棟B號
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉興段71、72、73、77、78地號,18.19,住,,,1100507,土地5建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,50.08,1,1,1,有,無,4100000,81869,一樓平面,0.0,0,,RPPNMLSJPHGGFAU86CB,吉安晴,1棟A3號
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉興段71、72、73、77、78地號,18.19,住,,,1100518,土地5建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,50.08,1,1,1,有,無,3600000,71885,,0.0,0,,RPQNMLSJPHGGFAU96CB,吉安晴,1棟A3號
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福吉段1051地號,94.21,農,,,1100128,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,165.05,4,2,5,有,無,8950000,54226,,0.0,0,,RPOOMLSJPHGGFAU86CB,吉安歸田園居,1棟B號
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市碧雲段496地號,18.22,住,,,1100628,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.69,2,1,1,有,無,5800000,79791,其他,0.0,0,,RPROMLSJPHGGFAU17CB,介林二街新建案,1棟2B號
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,13.87,商,,,1090709,土地1建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.07,2,2,2,有,無,6100000,69263,,0.0,0,,RPPNMLOKPHGGFAU56CB,晴美,B2棟5號
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,13.87,商,,,1090706,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.07,2,2,2,有,無,6050000,68695,,0.0,0,,RPWNMLOKPHGGFAU27CB,晴美,B2棟4號
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,13.87,商,,,1090802,土地1建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.07,2,2,2,有,無,6420000,72897,,0.0,0,,RPOOMLOKPHGGFAU56CB,晴美,B2棟7號
花蓮市,房地(土地+建物),花蓮縣花蓮市建華路220巷,1161.67,農,,,1081220,土地1建物1車位0,見其他登記事項,3,其他,住家用,鋼筋混凝土造,,146.73,4,2,5,有,無,11000000,74968,,0.0,0,,RPPNMLPKPHGGFAU66CB,文華苑,A2棟A2號
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,14.22,商,,,1090922,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.97,2,2,2,有,無,7100000,78048,升降機械,5.73,0,,RPVNMLPKPHGGFAU27CB,晴美,A1棟6號
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,14.22,商,,,1090922,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.97,2,2,2,有,無,7000000,76948,升降機械,5.73,0,,RPSOMLPKPHGGFAU07CB,晴美,A1棟5號
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,14.22,商,,,1090914,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.97,2,2,2,有,無,6850000,75300,升降機械,5.73,0,,RPTOMLPKPHGGFAU17CB,晴美,A1棟4號
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,14.22,商,,,1090928,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.97,2,2,2,有,無,6880000,75629,升降機械,5.73,0,,RPUOMLPKPHGGFAU27CB,晴美,A1棟3號
